distance,rssi
1,-43.0
1,-47.00199900049975
1,-45.3318897030993
1,-46.50299575698814
1,-47.00538643502863
1,-46.33172118519376
1,-45.84959816574951
1,-45.360020080956765
1,-44.97827542158898
1,-44.77485279328384
1,-44.796030583780954
1,-44.813737102343715
1,-45.39382332379516
1,-46.043999917714295
2,-46.75191897077834
2,-47.37390176298059
2,-47.98895374797327
2,-48.59902277967056
2,-49.030698444999
2,-49.36500493459354
2,-49.83069060833304
2,-50.62055421454681
2,-51.39560709891016
2,-52.10951379806325
2,-52.43690094077292
2,-52.83310108193623
2,-53.11144322244317
2,-53.415230656863955
2,-53.828852192898985
2,-54.42810615963915
2,-54.866743462479945
3,-55.524318950587855
3,-56.22483322808902
3,-56.650061404445175
3,-56.85812096372907
3,-57.36224217980631
3,-57.65147924987993
3,-57.81417945372562
3,-57.82105368862172
3,-57.86420694637716
3,-57.94160911792045
3,-57.97960897248674
3,-58.087104774472934
3,-58.189925480517005
3,-58.28835404389098
4,-58.45219784668634
4,-58.747427184220555
4,-59.13360396363503
4,-59.77721410614997
4,-59.98830922407289
4,-60.39363739000485
4,-60.64904252782698
4,-60.894727423123435
4,-61.164444198345336
4,-61.52354265024552
4,-62.26557232389631
4,-62.816047460943025
4,-63.28104816773991
5,-63.56597955090708
5,-63.77561404105831
5,-64.14030635889816
5,-64.29778845812844
5,-64.61142113500478
5,-64.7207065267615
5,-64.729694482238
5,-64.77049087817873
5,-64.80990149081642
5,-64.97596562573837
5,-65.10450276088845
5,-65.26062880985897
5,-65.4433953459965
5,-65.62009482622214
5,-65.82270935056454
5,-66.01864788551944
5,-66.33488251191598
6,-66.4825250841032
6,-66.68858153756715
6,-66.91951848625065
6,-66.95361574672494
6,-66.923547382642
6,-66.95746208089362
6,-66.99028389577705
6,-67.02205025606462
6,-67.05279711067953
6,-67.14540064835165
6,-67.17223739258601
6,-67.22960306880695
6,-67.34787967654758
6,-67.43103651755541
6,-67.54289077586657
7,-67.58853860131366
7,-67.63273895442622
7,-67.64423559202561
7,-67.56148993380506
7,-67.54392504584766
7,-67.49564177939705
7,-67.51141007327105
7,-67.58919254873967
7,-67.69577252671841
7,-67.83023787480967
7,-67.96047341490934
7,-68.11784161797344
7,-68.1453831691249
7,-68.32813432332951
7,-68.69240705832277
7,-68.79561848670792
8,-68.80199511378082
8,-68.83936706199371
8,-68.93795022922815
8,-69.03344642877788
8,-69.18832005499927
8,-69.24480796096206
8,-69.42423522588659
8,-69.53570444501406
8,-69.67485949334457
8,-69.87200126993683
8,-70.00065216297999
8,-70.125284101266
8,-70.18370181850142
9,-70.3337716302328
9,-70.35452916293686
9,-70.37463876832184
9,-70.36296756785185
9,-70.41396372627146
9,-70.5568190457871
9,-70.63292079180181
9,-70.76894347374164
9,-70.93187011422826
9,-71.0274265478856
9,-71.46258468229257
9,-71.66617740175494
9,-71.92570692669602
10,-72.11486524830943
10,-72.26698802092943
10,-72.25867424773936
10,-72.34403464850398
10,-72.39559752036169
10,-72.50782773526069
10,-72.67883395241114
10,-72.81337675694611
10,-72.94372815020917
10,-73.00774953692695
10,-73.06977666552268
10,-73.47234292993218
11,-73.76897047058014
11,-73.93182764501438
11,-73.90281749132099
11,-73.99923952247637
11,-74.09265872422112
11,-74.05864258762178
11,-74.08794820615108
11,-74.17860316984654
11,-74.32869662497312
11,-74.56750779729775
11,-74.70549228844703
11,-74.71466031739526
11,-74.91032175964342
11,-74.94424303245648
11,-74.91484927030037
11,-74.8863706719724
12,-74.92103697617236
12,-74.92349501426047
12,-74.95700536407747
12,-75.05172985920724
12,-75.20576252102235
12,-75.29274286958683
12,-75.50152883122442
12,-75.73494324117634
12,-75.89883483575991
12,-76.18213666921696
12,-76.33210712351548
12,-76.35289724154852
12,-76.4041680088838
13,-76.48497049903274
13,-76.56325762480749
13,-76.67023535981396
13,-76.71162774077963
13,-76.8762417917237
13,-77.06685905069887
13,-77.09590534799158
13,-77.24855708774749
13,-77.36532961478385
13,-77.41621253046408
13,-77.40325696311638
13,-77.48408644280964
13,-77.56239984187542
13,-77.6382754888335
14,-77.9608065785374
14,-78.14878937703254
14,-78.26866643996136
14,-78.47819325327013
14,-78.52556263259233
14,-78.540330466129
14,-78.58576563787193
14,-78.66091353004605
14,-78.70259526236168
14,-78.80523349662644
15,-78.96693078461452
15,-79.21697569343496
15,-79.39698349997282
15,-79.57138814592184
15,-79.70923714072968
15,-79.78054148091258
15,-79.72511876749635
15,-79.73367496189209
15,-79.74196482625756
15,-79.87450408971854
15,-79.94066408571685
15,-80.0981452464618
16,-80.37523182970541
16,-80.58143986587012
16,-80.75010243525429
16,-81.03802231784464
16,-81.06796561728862
16,-81.12810368034705
16,-81.3731306468228
16,-81.36151628435131
16,-81.35026344133674
16,-81.40161444524635
16,-81.45136705124081
16,-81.53069779608431
16,-81.60755922189742
17,-81.7442817449146
17,-81.75224142918069
17,-81.63544626945439
17,-81.58454011212203
17,-81.5663452688114
17,-81.51759000962846
17,-81.47035234709735
17,-81.45571180262753
17,-81.53490724513514
