sender,sequence,rssi
192.168.4.9,47008,-41
192.168.4.9,47024,-43
192.168.4.9,47040,-42
192.168.4.9,47056,-41
192.168.4.9,47072,-40
192.168.4.9,47104,-41
192.168.4.9,47120,-41
192.168.4.9,47136,-41
192.168.4.9,47152,-41
192.168.4.9,47168,-40
192.168.4.9,47184,-40
192.168.4.9,47216,-42
192.168.4.9,47232,-44
192.168.4.9,47248,-43
192.168.4.9,47264,-45
192.168.4.9,47280,-44
192.168.4.9,47296,-44
192.168.4.9,47312,-47
192.168.4.9,47328,-49
192.168.4.9,47344,-47
192.168.4.9,47376,-59
192.168.4.9,47392,-63
192.168.4.9,47408,-57
192.168.4.9,47424,-54
192.168.4.9,47440,-53
192.168.4.9,47456,-54
192.168.4.9,47472,-62
192.168.4.9,47488,-61
192.168.4.9,47504,-53
192.168.4.9,47520,-51
192.168.4.9,47536,-50
192.168.4.9,47568,-50
192.168.4.9,47584,-56
192.168.4.9,47600,-59
192.168.4.9,47616,-60
192.168.4.9,47632,-64
192.168.4.9,47664,-62
192.168.4.9,47680,-58
192.168.4.9,47696,-59
192.168.4.9,47712,-58
192.168.4.9,47776,-67
192.168.4.9,47792,-60
192.168.4.9,47808,-58
192.168.4.9,47840,-61
192.168.4.9,47872,-61
192.168.4.9,47888,-64
192.168.4.9,47920,-64
192.168.4.9,47936,-64
192.168.4.9,47952,-70
192.168.4.9,48000,-63
192.168.4.9,48016,-59
192.168.4.9,48048,-57
192.168.4.9,48064,-63
192.168.4.9,48080,-65
192.168.4.9,48112,-76
192.168.4.9,48128,-76
192.168.4.9,48144,-72
192.168.4.9,48160,-72
192.168.4.9,48192,-69
192.168.4.9,48208,-70
192.168.4.9,48224,-70
192.168.4.9,48240,-63
192.168.4.9,48256,-60
192.168.4.9,48272,-60
192.168.4.9,48288,-61
192.168.4.9,48304,-64
192.168.4.9,48320,-71
192.168.4.9,48336,-71
192.168.4.9,48352,-69
192.168.4.9,48400,-68
192.168.4.9,48416,-69
192.168.4.9,48432,-73
192.168.4.9,48448,-66
192.168.4.9,48464,-75
192.168.4.9,48480,-82
192.168.4.9,48496,-69
192.168.4.9,48528,-64
192.168.4.9,48544,-60
192.168.4.9,48576,-62
192.168.4.9,48592,-63
192.168.4.9,48608,-67
192.168.4.9,48624,-70
192.168.4.9,48640,-70
192.168.4.9,48656,-67
192.168.4.9,48672,-68
192.168.4.9,48704,-72
192.168.4.9,48720,-68
192.168.4.9,48768,-71
192.168.4.9,48784,-66
192.168.4.9,48800,-66
192.168.4.9,48816,-63
192.168.4.9,48832,-65
192.168.4.9,48848,-63
192.168.4.9,48864,-67
192.168.4.9,48880,-68
192.168.4.9,48896,-69
192.168.4.9,48912,-66
192.168.4.9,48928,-69
192.168.4.9,48944,-65
192.168.4.9,48960,-75
192.168.4.9,48976,-76
