sender,sequence,rssi
192.168.4.7,47008,-51
192.168.4.7,47024,-81
192.168.4.7,47040,-82
192.168.4.7,47056,-89
192.168.4.7,47072,-48
192.168.4.7,47104,-51
192.168.4.7,47120,-52
192.168.4.7,47136,-91
192.168.4.7,47152,-90
192.168.4.7,47168,-50
192.168.4.7,47184,-54
192.168.4.7,47216,-60
192.168.4.7,47232,-67
192.168.4.7,47264,-57
192.168.4.7,47280,-55
192.168.4.7,47296,-53
192.168.4.7,47312,-54
192.168.4.7,47328,-53
192.168.4.7,47344,-55
192.168.4.7,47376,-51
192.168.4.7,47392,-57
192.168.4.7,47424,-57
192.168.4.7,47440,-57
192.168.4.7,47456,-58
192.168.4.7,47472,-61
192.168.4.7,47488,-59
192.168.4.7,47504,-60
192.168.4.7,47520,-61
192.168.4.7,47536,-59
192.168.4.7,47568,-60
192.168.4.7,47584,-60
192.168.4.7,47600,-56
192.168.4.7,47616,-54
192.168.4.7,47632,-58
192.168.4.7,47664,-61
192.168.4.7,47680,-60
192.168.4.7,47696,-60
192.168.4.7,47712,-59
192.168.4.7,47744,-60
192.168.4.7,47776,-56
192.168.4.7,47792,-57
192.168.4.7,47808,-57
192.168.4.7,47840,-58
192.168.4.7,47872,-64
192.168.4.7,47920,-71
192.168.4.7,47936,-73
192.168.4.7,47952,-77
192.168.4.7,48000,-69
192.168.4.7,48016,-66
192.168.4.7,48048,-68
192.168.4.7,48064,-67
192.168.4.7,48080,-89
192.168.4.7,48112,-62
192.168.4.7,48128,-62
192.168.4.7,48144,-61
192.168.4.7,48160,-61
192.168.4.7,48176,-59
192.168.4.7,48192,-60
192.168.4.7,48224,-70
192.168.4.7,48256,-65
192.168.4.7,48272,-66
192.168.4.7,48288,-64
192.168.4.7,48304,-67
192.168.4.7,48320,-63
192.168.4.7,48336,-63
192.168.4.7,48352,-61
192.168.4.7,48400,-59
192.168.4.7,48416,-60
192.168.4.7,48448,-60
192.168.4.7,48464,-62
192.168.4.7,48480,-66
192.168.4.7,48528,-67
192.168.4.7,48544,-67
192.168.4.7,48576,-70
192.168.4.7,48592,-71
192.168.4.7,48608,-68
192.168.4.7,48624,-63
192.168.4.7,48640,-63
192.168.4.7,48656,-62
192.168.4.7,48672,-60
192.168.4.7,48704,-64
192.168.4.7,48720,-62
192.168.4.7,48736,-62
192.168.4.7,48768,-70
192.168.4.7,48784,-69
192.168.4.7,48800,-69
192.168.4.7,48816,-69
192.168.4.7,48832,-70
192.168.4.7,48864,-71
192.168.4.7,48880,-67
192.168.4.7,48896,-63
192.168.4.7,48912,-63
192.168.4.7,48928,-63
192.168.4.7,48944,-64
192.168.4.7,48992,-66
192.168.4.7,49008,-66
192.168.4.7,49040,-72
192.168.4.7,49088,-69
192.168.4.7,49104,-73
192.168.4.7,49120,-73
192.168.4.7,49136,-73
192.168.4.7,49168,-70
192.168.4.7,49184,-66
192.168.4.7,49232,-62
192.168.4.7,49248,-67
192.168.4.7,49312,-68
192.168.4.7,49344,-72
192.168.4.7,49376,-74
192.168.4.7,49408,-72
192.168.4.7,49424,-73
192.168.4.7,49440,-76
192.168.4.7,49488,-76
192.168.4.7,49520,-70
192.168.4.7,49536,-84
192.168.4.7,49552,-70
192.168.4.7,49632,-72
192.168.4.7,49648,-75
192.168.4.7,49680,-72
192.168.4.7,49744,-72
192.168.4.7,49776,-72
192.168.4.7,49808,-70
192.168.4.7,49824,-68
192.168.4.7,49840,-68
192.168.4.7,49856,-69
192.168.4.7,49872,-70
192.168.4.7,49904,-69
192.168.4.7,49936,-75
192.168.4.7,49952,-72
192.168.4.7,49968,-71
192.168.4.7,49984,-72
192.168.4.7,50016,-75
192.168.4.7,50032,-71
192.168.4.7,50064,-81
192.168.4.7,50144,-69
192.168.4.7,50160,-72
192.168.4.7,50192,-75
192.168.4.7,50208,-84
192.168.4.7,50224,-75
192.168.4.7,50240,-76
192.168.4.7,50288,-74
192.168.4.7,50320,-74
192.168.4.7,50336,-71
192.168.4.7,50352,-73
192.168.4.7,50400,-81
192.168.4.7,50416,-74
192.168.4.7,50464,-87
192.168.4.7,50480,-84
192.168.4.7,50496,-76
192.168.4.7,50528,-77
192.168.4.7,50560,-85
192.168.4.7,50576,-77
192.168.4.7,50608,-84
192.168.4.7,50624,-68
192.168.4.7,50672,-81
192.168.4.7,50688,-74
192.168.4.7,50720,-78
192.168.4.7,50752,-77
192.168.4.7,50768,-86
192.168.4.7,50784,-87
192.168.4.7,50800,-87
192.168.4.7,50816,-85
192.168.4.7,50832,-73
192.168.4.7,50896,-72
192.168.4.7,50912,-73
192.168.4.7,50960,-75
192.168.4.7,50992,-84
192.168.4.7,51072,-78
192.168.4.7,51088,-84
192.168.4.7,51104,-72
192.168.4.7,51168,-79
192.168.4.7,51184,-91
192.168.4.7,51200,-90
192.168.4.7,51216,-88
192.168.4.7,51248,-78
192.168.4.7,51280,-90
192.168.4.7,51312,-87
192.168.4.7,51328,-88
192.168.4.7,51344,-87
192.168.4.7,51360,-79
192.168.4.7,51376,-75
192.168.4.7,51408,-86
192.168.4.7,51440,-87
192.168.4.7,51488,-78
192.168.4.7,51520,-78
192.168.4.7,51536,-86
192.168.4.7,51552,-77
192.168.4.7,51648,-78
192.168.4.7,51664,-77
192.168.4.7,51680,-79
192.168.4.7,51696,-79
192.168.4.7,51744,-81
192.168.4.7,51824,-79
192.168.4.7,51984,-78
192.168.4.7,52000,-77
192.168.4.7,52016,-76
192.168.4.7,52048,-77
192.168.4.7,52064,-77
192.168.4.7,52080,-77
192.168.4.7,52096,-76
192.168.4.7,52112,-75
192.168.4.7,52128,-76
192.168.4.7,52144,-82
192.168.4.7,52192,-78
192.168.4.7,52224,-78
192.168.4.7,52240,-74
192.168.4.7,52272,-77
192.168.4.7,52288,-75
192.168.4.7,52304,-79
192.168.4.7,52320,-78
192.168.4.7,52352,-77
192.168.4.7,52416,-78
192.168.4.7,52432,-78
192.168.4.7,52448,-80
192.168.4.7,52480,-81
192.168.4.7,52512,-81
192.168.4.7,52544,-73
192.168.4.7,52560,-78
192.168.4.7,52592,-82
192.168.4.7,52608,-82
192.168.4.7,52624,-79
192.168.4.7,52640,-78
192.168.4.7,52656,-75
192.168.4.7,52672,-80
192.168.4.7,52752,-80
192.168.4.7,52768,-80
192.168.4.7,52784,-78
192.168.4.7,52848,-76
192.168.4.7,52896,-80
192.168.4.7,52928,-82
192.168.4.7,52944,-79
192.168.4.7,52960,-78
192.168.4.7,53024,-90
192.168.4.7,53040,-80
192.168.4.7,53072,-82
192.168.4.7,53120,-79
192.168.4.7,53248,-75
192.168.4.7,53296,-76
192.168.4.7,53424,-83
192.168.4.7,53872,-79
192.168.4.7,53904,-80
192.168.4.7,53984,-91
192.168.4.7,54112,-79
