sender,sequence,rssi
192.168.4.5, 47536, -71
192.168.4.5, 47600, -68
192.168.4.5, 47696, -70
192.168.4.5, 47760, -72
192.168.4.5, 48368, -67
192.168.4.5, 48384, -71
192.168.4.5, 48576, -72
192.168.4.5, 48880, -72
192.168.4.5, 49120, -73
192.168.4.5, 49408, -74
192.168.4.5, 49520, -69
192.168.4.5, 49568, -68
192.168.4.5, 49584, -73
192.168.4.5, 49600, -72
192.168.4.5, 49648, -71
192.168.4.5, 49664, -74
192.168.4.5, 49680, -72
192.168.4.5, 49808, -78
192.168.4.5, 49840, -77
192.168.4.5, 49904, -75
192.168.4.5, 49936, -81
192.168.4.5, 49952, -77
192.168.4.5, 49968, -77
192.168.4.5, 50016, -76
192.168.4.5, 50048, -75
192.168.4.5, 50064, -77
192.168.4.5, 50080, -74
192.168.4.5, 50112, -77
192.168.4.5, 50144, -77
192.168.4.5, 50208, -75
192.168.4.5, 50224, -78
192.168.4.5, 50336, -75
192.168.4.5, 50416, -74
192.168.4.5, 50432, -75
192.168.4.5, 50448, -79
192.168.4.5, 50464, -81
192.168.4.5, 50480, -77
192.168.4.5, 50496, -79
192.168.4.5, 50512, -78
192.168.4.5, 50528, -77
192.168.4.5, 50544, -76
192.168.4.5, 50624, -78
192.168.4.5, 50656, -76
192.168.4.5, 50704, -74
192.168.4.5, 50720, -79
192.168.4.5, 50736, -79
192.168.4.5, 50752, -77
192.168.4.5, 50768, -81
192.168.4.5, 50784, -76
192.168.4.5, 50928, -75
192.168.4.5, 50992, -78
192.168.4.5, 51008, -79
192.168.4.5, 51088, -82
192.168.4.5, 51120, -80
192.168.4.5, 51184, -78
192.168.4.5, 51200, -75
192.168.4.5, 51216, -92
192.168.4.5, 51232, -72
192.168.4.5, 51248, -72
192.168.4.5, 51264, -73
192.168.4.5, 51280, -74
192.168.4.5, 51328, -76
192.168.4.5, 51376, -82
192.168.4.5, 51392, -76
192.168.4.5, 51408, -80
192.168.4.5, 51424, -81
192.168.4.5, 51440, -78
192.168.4.5, 51472, -72
192.168.4.5, 51488, -71
192.168.4.5, 51504, -71
192.168.4.5, 51520, -70
192.168.4.5, 51536, -70
192.168.4.5, 51584, -74
192.168.4.5, 51600, -72
192.168.4.5, 51616, -72
192.168.4.5, 51632, -72
192.168.4.5, 51648, -73
192.168.4.5, 51680, -77
192.168.4.5, 51696, -75
192.168.4.5, 51712, -72
192.168.4.5, 51728, -72
192.168.4.5, 51744, -74
192.168.4.5, 51760, -74
192.168.4.5, 51776, -75
192.168.4.5, 51840, -73
192.168.4.5, 51856, -72
192.168.4.5, 51888, -79
192.168.4.5, 51904, -82
192.168.4.5, 51920, -75
192.168.4.5, 51936, -79
192.168.4.5, 51952, -76
192.168.4.5, 51968, -71
192.168.4.5, 52000, -69
192.168.4.5, 52016, -73
192.168.4.5, 52032, -75
192.168.4.5, 52048, -77
192.168.4.5, 52080, -74
192.168.4.5, 52096, -75
192.168.4.5, 52112, -73
192.168.4.5, 52144, -70
192.168.4.5, 52160, -78
192.168.4.5, 52176, -75
192.168.4.5, 52192, -72
192.168.4.5, 52208, -74
192.168.4.5, 52224, -77
192.168.4.5, 52240, -75
192.168.4.5, 52272, -77
192.168.4.5, 52336, -73
192.168.4.5, 52352, -80
192.168.4.5, 52368, -78
192.168.4.5, 52384, -69
192.168.4.5, 52400, -75
192.168.4.5, 52416, -72
192.168.4.5, 52496, -74
192.168.4.5, 52512, -64
192.168.4.5, 52528, -66
192.168.4.5, 52608, -74
192.168.4.5, 52624, -73
192.168.4.5, 52656, -77
192.168.4.5, 52672, -69
192.168.4.5, 52688, -69
192.168.4.5, 52720, -69
192.168.4.5, 52736, -70
192.168.4.5, 52752, -70
192.168.4.5, 52784, -74
192.168.4.5, 52832, -72
192.168.4.5, 52848, -71
192.168.4.5, 52880, -68
192.168.4.5, 52896, -64
192.168.4.5, 52912, -67
192.168.4.5, 52928, -72
