sender, sequence, rssi
192.168.4.6, 58032, -74
192.168.4.6, 58080, -75
192.168.4.6, 58096, -72
192.168.4.6, 58112, -75
192.168.4.6, 58128, -77
192.168.4.6, 58144, -77
192.168.4.6, 58192, -74
192.168.4.6, 58208, -73
192.168.4.6, 58224, -79
192.168.4.6, 58480, -79
192.168.4.6, 58512, -74
192.168.4.6, 58528, -74
192.168.4.6, 58544, -74
192.168.4.6, 58560, -70
192.168.4.6, 58576, -70
192.168.4.6, 58624, -68
192.168.4.6, 58640, -71
192.168.4.6, 58656, -76
192.168.4.6, 58672, -76
192.168.4.6, 58688, -77
192.168.4.6, 58704, -77
192.168.4.6, 58736, -76
192.168.4.6, 58752, -74
192.168.4.6, 58784, -74
192.168.4.6, 58848, -74
192.168.4.6, 58864, -72
192.168.4.6, 58880, -70
192.168.4.6, 58912, -70
192.168.4.6, 58928, -70
192.168.4.6, 58944, -69
192.168.4.5, 50144, -75
192.168.4.5, 50192, -77
192.168.4.5, 50208, -79
192.168.4.5, 50224, -77
192.168.4.5, 50256, -77
192.168.4.5, 50304, -76
192.168.4.5, 50320, -77
192.168.4.5, 50336, -76
192.168.4.5, 50352, -74
192.168.4.5, 50368, -73
192.168.4.5, 50400, -73
192.168.4.5, 50416, -72
192.168.4.5, 50432, -74
192.168.4.5, 50464, -72
192.168.4.5, 50496, -72
192.168.4.5, 50512, -72
192.168.4.5, 50544, -73
192.168.4.5, 50592, -73
192.168.4.5, 50624, -72
192.168.4.5, 50640, -71
192.168.4.5, 50656, -71
192.168.4.5, 50672, -72
192.168.4.5, 50688, -77
192.168.4.5, 50736, -77
192.168.4.5, 50752, -78
192.168.4.5, 50768, -74
192.168.4.5, 50784, -77
192.168.4.5, 50832, -65
192.168.4.5, 50848, -65
192.168.4.5, 50864, -67
192.168.4.6, 58960, -79
192.168.4.6, 58976, -75
192.168.4.6, 58992, -78
192.168.4.6, 59008, -73
192.168.4.6, 59024, -70
192.168.4.6, 59040, -76
192.168.4.6, 59056, -73
192.168.4.6, 59072, -73
192.168.4.6, 59088, -73
192.168.4.6, 59104, -72
192.168.4.6, 59200, -76
192.168.4.6, 59216, -70
192.168.4.6, 59232, -67
192.168.4.6, 59248, -68
192.168.4.6, 59264, -72
192.168.4.6, 59280, -74
192.168.4.6, 59296, -69
192.168.4.6, 59312, -73
192.168.4.6, 59328, -72
192.168.4.6, 59344, -74
192.168.4.6, 59360, -71
192.168.4.6, 59376, -71
192.168.4.6, 59424, -76
192.168.4.6, 59456, -73
192.168.4.6, 59472, -77
192.168.4.6, 59536, -76
192.168.4.6, 59568, -78
192.168.4.6, 59584, -79
192.168.4.6, 59632, -74
192.168.4.6, 59648, -72
192.168.4.5, 50880, -68
192.168.4.5, 50896, -67
192.168.4.5, 50912, -65
192.168.4.5, 50928, -65
192.168.4.5, 50944, -65
192.168.4.5, 50976, -65
192.168.4.5, 50992, -64
192.168.4.5, 51008, -65
192.168.4.5, 51024, -64
192.168.4.5, 51040, -65
192.168.4.5, 51072, -63
192.168.4.5, 51088, -65
192.168.4.5, 51104, -65
192.168.4.5, 51120, -63
192.168.4.5, 51152, -64
192.168.4.5, 51168, -63
192.168.4.5, 51184, -63
192.168.4.5, 51200, -63
192.168.4.5, 51216, -64
192.168.4.5, 51232, -64
192.168.4.5, 51248, -64
192.168.4.5, 51264, -65
192.168.4.5, 51280, -64
192.168.4.5, 51344, -62
192.168.4.5, 51360, -63
192.168.4.5, 51376, -63
192.168.4.5, 51392, -63
192.168.4.5, 51408, -62
192.168.4.5, 51424, -64
192.168.4.5, 51440, -63
192.168.4.10, 58864, -73
192.168.4.10, 58880, -73
192.168.4.10, 58912, -70
192.168.4.10, 58928, -69
192.168.4.10, 58944, -67
192.168.4.10, 58960, -73
192.168.4.10, 58976, -64
192.168.4.10, 59008, -66
192.168.4.10, 59024, -66
192.168.4.10, 59040, -75
192.168.4.10, 59056, -67
192.168.4.10, 59072, -66
192.168.4.10, 59088, -68
192.168.4.10, 59104, -65
192.168.4.10, 59200, -68
192.168.4.10, 59216, -69
192.168.4.10, 59232, -66
192.168.4.10, 59248, -76
192.168.4.10, 59264, -71
192.168.4.10, 59280, -68
192.168.4.10, 59296, -69
192.168.4.10, 59312, -64
192.168.4.10, 59328, -61
192.168.4.10, 59344, -61
192.168.4.10, 59360, -64
192.168.4.10, 59376, -61
192.168.4.10, 59424, -63
192.168.4.10, 59456, -61
192.168.4.10, 59472, -58
192.168.4.10, 59536, -57
192.168.4.10, 59568, -58
192.168.4.10, 59584, -59
192.168.4.10, 59616, -59
192.168.4.10, 59632, -60
192.168.4.10, 59648, -55
192.168.4.10, 59664, -56
192.168.4.10, 59680, -57
192.168.4.10, 59696, -54
192.168.4.10, 59744, -44
192.168.4.10, 59760, -43
192.168.4.10, 59776, -54
192.168.4.10, 59792, -45
192.168.4.10, 59808, -56
192.168.4.10, 59824, -55
192.168.4.10, 59840, -73
192.168.4.10, 59856, -58
192.168.4.10, 59872, -59
192.168.4.10, 59936, -61
192.168.4.10, 59952, -59
192.168.4.10, 59968, -58
192.168.4.10, 60048, -66
192.168.4.10, 60064, -68
192.168.4.10, 60080, -67
192.168.4.10, 60096, -70
192.168.4.10, 60128, -73
192.168.4.10, 60144, -75
192.168.4.10, 60160, -77
192.168.4.10, 60176, -71
192.168.4.10, 60192, -67
192.168.4.10, 60208, -65
192.168.4.10, 60224, -67
192.168.4.10, 60240, -69
192.168.4.10, 60256, -66
192.168.4.10, 60288, -69
192.168.4.10, 60352, -71
192.168.4.10, 60368, -69
192.168.4.10, 60384, -68
192.168.4.10, 60400, -67
192.168.4.10, 60416, -70
192.168.4.10, 60432, -68
192.168.4.10, 60448, -69
192.168.4.10, 60464, -70
192.168.4.10, 60480, -71
192.168.4.10, 60496, -71
192.168.4.10, 60512, -72
192.168.4.10, 60528, -71
192.168.4.10, 60560, -74
192.168.4.10, 60576, -81
192.168.4.10, 60608, -76
192.168.4.10, 60624, -74
192.168.4.10, 60640, -73
192.168.4.10, 60720, -73
192.168.4.10, 60736, -71
192.168.4.10, 60752, -70
192.168.4.10, 60784, -72
192.168.4.10, 60800, -71
192.168.4.10, 60816, -73
192.168.4.10, 60864, -73
192.168.4.10, 60944, -74
192.168.4.10, 60960, -73
192.168.4.6, 59664, -74
192.168.4.6, 59680, -77
192.168.4.6, 59696, -78
192.168.4.6, 59744, -72
192.168.4.6, 59776, -68
192.168.4.6, 59792, -70
192.168.4.6, 59808, -69
192.168.4.6, 59824, -70
192.168.4.6, 59840, -72
192.168.4.6, 59856, -72
192.168.4.6, 59872, -68
192.168.4.6, 59936, -69
192.168.4.6, 59952, -76
192.168.4.6, 59968, -79
192.168.4.6, 60048, -73
192.168.4.6, 60064, -75
192.168.4.6, 60080, -75
192.168.4.6, 60096, -73
192.168.4.6, 60128, -75
192.168.4.6, 60144, -75
192.168.4.6, 60160, -74
192.168.4.6, 60176, -74
192.168.4.6, 60192, -73
192.168.4.6, 60208, -73
192.168.4.6, 60224, -77
192.168.4.6, 60240, -71
192.168.4.6, 60256, -72
192.168.4.6, 60288, -73
192.168.4.6, 60352, -71
192.168.4.6, 60368, -68
192.168.4.5, 51456, -63
192.168.4.5, 51504, -64
192.168.4.5, 51520, -64
192.168.4.5, 51536, -64
192.168.4.5, 51552, -63
192.168.4.5, 51584, -63
192.168.4.5, 51600, -63
192.168.4.5, 51616, -63
192.168.4.5, 51632, -63
192.168.4.5, 51648, -62
192.168.4.5, 51680, -63
192.168.4.5, 51696, -63
192.168.4.5, 51728, -63
192.168.4.5, 51744, -63
192.168.4.5, 51760, -63
192.168.4.5, 51776, -65
192.168.4.5, 51792, -64
192.168.4.5, 51808, -64
192.168.4.5, 51840, -64
192.168.4.5, 51872, -64
192.168.4.5, 51904, -64
192.168.4.5, 51936, -66
192.168.4.5, 51968, -64
192.168.4.5, 51984, -64
192.168.4.5, 52000, -64
192.168.4.5, 52016, -63
192.168.4.5, 52032, -64
192.168.4.5, 52048, -65
192.168.4.5, 52064, -63
192.168.4.5, 52080, -64
192.168.4.6, 60384, -74
192.168.4.6, 60400, -70
192.168.4.6, 60416, -72
192.168.4.6, 60432, -70
192.168.4.6, 60448, -70
192.168.4.6, 60464, -72
192.168.4.6, 60480, -71
192.168.4.6, 60496, -72
192.168.4.6, 60512, -70
192.168.4.6, 60528, -68
192.168.4.6, 60560, -69
192.168.4.6, 60576, -72
192.168.4.6, 60592, -70
192.168.4.6, 60608, -69
192.168.4.6, 60624, -75
192.168.4.6, 60640, -68
192.168.4.6, 60720, -69
192.168.4.6, 60736, -71
192.168.4.6, 60752, -67
192.168.4.6, 60784, -67
192.168.4.6, 60800, -74
192.168.4.6, 60816, -68
192.168.4.6, 60864, -70
192.168.4.6, 60912, -68
192.168.4.6, 60944, -74
192.168.4.6, 60960, -68
192.168.4.6, 60976, -71
192.168.4.6, 60992, -75
192.168.4.6, 61008, -63
192.168.4.6, 61040, -64
192.168.4.10, 60976, -77
192.168.4.10, 60992, -80
192.168.4.10, 61008, -74
192.168.4.10, 61024, -73
192.168.4.10, 61040, -77
192.168.4.10, 61056, -71
192.168.4.10, 61120, -78
