sender, sequence, rssi
192.168.4.7, 33792, -65
192.168.4.7, 33840, -62
192.168.4.7, 33920, -63
192.168.4.7, 33968, -68
192.168.4.7, 34000, -69
192.168.4.7, 34032, -68
192.168.4.7, 34048, -69
192.168.4.7, 34080, -69
192.168.4.7, 34096, -68
192.168.4.7, 34112, -63
192.168.4.7, 34176, -62
192.168.4.7, 34208, -61
192.168.4.7, 34352, -63
192.168.4.7, 34368, -64
192.168.4.7, 34384, -65
192.168.4.7, 34400, -63
192.168.4.7, 34416, -65
192.168.4.7, 34464, -63
192.168.4.7, 34480, -65
192.168.4.7, 34496, -62
192.168.4.7, 34512, -66
192.168.4.7, 34544, -64
192.168.4.7, 34624, -66
192.168.4.7, 34656, -66
192.168.4.7, 34704, -62
192.168.4.7, 34752, -61
192.168.4.7, 34784, -60
192.168.4.7, 34832, -59
192.168.4.7, 34864, -63
192.168.4.7, 34896, -66
192.168.4.6, 30832, -84
192.168.4.6, 30896, -84
192.168.4.6, 30944, -79
192.168.4.6, 30992, -78
192.168.4.6, 31008, -76
192.168.4.6, 31024, -76
192.168.4.6, 31040, -74
192.168.4.6, 31056, -75
192.168.4.6, 31072, -76
192.168.4.6, 31088, -75
192.168.4.6, 31104, -76
192.168.4.6, 31136, -75
192.168.4.6, 31168, -72
192.168.4.6, 31184, -75
192.168.4.6, 31200, -74
192.168.4.6, 31216, -74
192.168.4.6, 31232, -74
192.168.4.6, 31248, -75
192.168.4.6, 31280, -76
192.168.4.6, 31296, -73
192.168.4.6, 31312, -74
192.168.4.6, 31328, -73
192.168.4.6, 31344, -74
192.168.4.6, 31408, -74
192.168.4.6, 31424, -73
192.168.4.6, 31440, -74
192.168.4.6, 31456, -74
192.168.4.6, 31472, -75
192.168.4.6, 31504, -78
192.168.4.6, 31520, -77
192.168.4.10, 31984, -65
192.168.4.10, 32000, -65
192.168.4.10, 32048, -70
192.168.4.10, 32064, -64
192.168.4.10, 32080, -65
192.168.4.10, 32096, -66
192.168.4.10, 32112, -65
192.168.4.10, 32128, -66
192.168.4.10, 32144, -64
192.168.4.10, 32176, -65
192.168.4.10, 32192, -65
192.168.4.10, 32208, -65
192.168.4.10, 32224, -65
192.168.4.10, 32256, -65
192.168.4.10, 32304, -65
192.168.4.10, 32368, -69
192.168.4.10, 32416, -67
192.168.4.10, 32432, -69
192.168.4.10, 32448, -69
192.168.4.10, 32464, -68
192.168.4.10, 32480, -66
192.168.4.10, 32496, -65
192.168.4.10, 32512, -64
192.168.4.10, 32528, -63
192.168.4.10, 32544, -63
192.168.4.10, 32560, -67
192.168.4.10, 32608, -64
192.168.4.10, 32624, -64
192.168.4.10, 32640, -64
192.168.4.10, 32656, -65
192.168.4.7, 34960, -67
192.168.4.7, 35008, -62
192.168.4.7, 35056, -61
192.168.4.7, 35072, -63
192.168.4.7, 35088, -66
192.168.4.7, 35120, -61
192.168.4.7, 35136, -61
192.168.4.7, 35152, -64
192.168.4.7, 35168, -63
192.168.4.7, 35200, -61
192.168.4.7, 35216, -63
192.168.4.7, 35232, -66
192.168.4.7, 35248, -61
192.168.4.7, 35344, -67
192.168.4.7, 35376, -66
192.168.4.7, 35392, -66
192.168.4.7, 35456, -70
192.168.4.7, 35472, -72
192.168.4.7, 35488, -70
192.168.4.7, 35504, -69
192.168.4.7, 35520, -72
192.168.4.7, 35536, -71
192.168.4.7, 35552, -68
192.168.4.7, 35568, -69
192.168.4.7, 35584, -70
192.168.4.7, 35648, -66
192.168.4.7, 35664, -70
192.168.4.7, 35760, -69
192.168.4.7, 35792, -69
192.168.4.7, 35808, -70
192.168.4.10, 32672, -64
192.168.4.10, 32704, -66
192.168.4.10, 32736, -67
192.168.4.10, 32752, -65
192.168.4.10, 32768, -69
192.168.4.10, 32784, -68
192.168.4.10, 32800, -68
192.168.4.10, 32816, -68
192.168.4.10, 32864, -64
192.168.4.10, 32880, -65
192.168.4.10, 32896, -66
