sender,sequence,rssi
192.168.4.5,32736,-90
192.168.4.5,47536,-59
192.168.4.6,47536,-66
192.168.4.12,47536,-66
192.168.4.3,47536,-64
192.168.4.7,47536,-61
192.168.4.11,47536,-78
192.168.4.5,47552,-56
192.168.4.6,47552,-70
192.168.4.12,47552,-67
192.168.4.3,47552,-64
192.168.4.7,47552,-73
192.168.4.11,47552,-81
192.168.4.5,47568,-56
192.168.4.6,47568,-70
192.168.4.12,47568,-68
192.168.4.3,47568,-65
192.168.4.7,47568,-73
192.168.4.11,47568,-77
192.168.4.5,47584,-59
192.168.4.3,47584,-62
192.168.4.7,47584,-69
192.168.4.5,47632,-60
192.168.4.6,47632,-65
192.168.4.12,47632,-66
192.168.4.3,47632,-60
192.168.4.7,47632,-62
192.168.4.11,47632,-76
192.168.4.5,47664,-50
192.168.4.6,47664,-67
192.168.4.12,47664,-65
192.168.4.3,47664,-62
192.168.4.7,47664,-87
192.168.4.11,47664,-73
192.168.4.5,47696,-59
192.168.4.6,47696,-61
192.168.4.3,47696,-59
192.168.4.7,47696,-54
192.168.4.11,47696,-72
192.168.4.5,47744,-49
192.168.4.6,47744,-62
192.168.4.3,47744,-60
192.168.4.7,47744,-55
192.168.4.11,47744,-62
192.168.4.5,47792,-64
192.168.4.6,47792,-75
192.168.4.12,47792,-68
192.168.4.3,47792,-61
192.168.4.7,47792,-54
192.168.4.11,47792,-56
192.168.4.3,47808,-69
192.168.4.7,47808,-61
192.168.4.11,47808,-71
192.168.4.5,47824,-54
192.168.4.6,47824,-58
192.168.4.12,47824,-77
192.168.4.3,47824,-61
192.168.4.7,47824,-60
192.168.4.11,47824,-76
192.168.4.5,47856,-55
192.168.4.6,47856,-68
192.168.4.3,47856,-66
192.168.4.7,47856,-67
192.168.4.5,47888,-60
192.168.4.6,47888,-74
192.168.4.12,47888,-69
192.168.4.3,47888,-59
192.168.4.7,47888,-57
192.168.4.11,47888,-55
192.168.4.5,47936,-68
192.168.4.6,47936,-76
192.168.4.12,47936,-70
192.168.4.3,47936,-62
192.168.4.7,47936,-52
192.168.4.11,47936,-56
192.168.4.3,47952,-69
192.168.4.7,47952,-57
192.168.4.11,47952,-62
192.168.4.5,48000,-49
192.168.4.6,48000,-62
192.168.4.3,48000,-60
192.168.4.7,48000,-78
192.168.4.11,48000,-69
192.168.4.5,48032,-58
192.168.4.6,48032,-69
192.168.4.3,48032,-60
192.168.4.7,48032,-73
192.168.4.11,48032,-70
192.168.4.5,48064,-57
192.168.4.6,48064,-67
192.168.4.12,48064,-76
192.168.4.3,48064,-61
192.168.4.7,48064,-71
192.168.4.11,48064,-69
192.168.4.5,48080,-55
192.168.4.6,48080,-70
192.168.4.12,48080,-76
192.168.4.3,48080,-59
192.168.4.7,48080,-70
192.168.4.11,48080,-69
192.168.4.5,48128,-48
192.168.4.6,48128,-69
192.168.4.3,48128,-56
192.168.4.7,48128,-67
192.168.4.11,48128,-64
192.168.4.5,48160,-50
192.168.4.3,48160,-56
192.168.4.7,48160,-60
192.168.4.11,48160,-60
192.168.4.5,48176,-56
192.168.4.6,48176,-68
192.168.4.3,48176,-55
192.168.4.11,48176,-61
192.168.4.5,48192,-57
192.168.4.6,48192,-66
192.168.4.3,48192,-58
192.168.4.7,48192,-70
192.168.4.11,48192,-70
192.168.4.5,48208,-55
192.168.4.6,48208,-66
192.168.4.12,48208,-75
192.168.4.3,48208,-59
192.168.4.7,48208,-71
192.168.4.11,48208,-72
192.168.4.5,48224,-50
192.168.4.6,48224,-69
192.168.4.12,48224,-75
192.168.4.3,48224,-56
192.168.4.7,48224,-66
192.168.4.11,48224,-65
192.168.4.5,48240,-57
192.168.4.6,48240,-69
192.168.4.3,48240,-58
192.168.4.7,48240,-71
192.168.4.11,48240,-74
192.168.4.5,48256,-58
192.168.4.6,48256,-68
192.168.4.3,48256,-58
192.168.4.11,48256,-63
192.168.4.5,48272,-58
192.168.4.6,48272,-69
192.168.4.11,48272,-61
192.168.4.5,48288,-58
192.168.4.6,48288,-67
192.168.4.3,48288,-59
192.168.4.7,48288,-65
192.168.4.5,48304,-55
192.168.4.6,48304,-65
192.168.4.3,48304,-56
192.168.4.7,48304,-71
192.168.4.5,48336,-55
192.168.4.6,48336,-65
192.168.4.3,48336,-56
192.168.4.7,48336,-71
192.168.4.5,48352,-54
192.168.4.10,48352,-60
192.168.4.6,48352,-65
192.168.4.3,48352,-57
192.168.4.7,48352,-72
192.168.4.11,48352,-67
192.168.4.5,48384,-53
192.168.4.10,48384,-60
192.168.4.6,48384,-67
192.168.4.3,48384,-58
192.168.4.11,48384,-71
192.168.4.5,48416,-49
192.168.4.10,48416,-59
192.168.4.6,48416,-68
192.168.4.3,48416,-56
192.168.4.7,48416,-73
192.168.4.11,48416,-72
192.168.4.5,48448,-55
192.168.4.10,48448,-60
192.168.4.6,48448,-66
192.168.4.3,48448,-57
192.168.4.7,48448,-75
192.168.4.5,48480,-56
192.168.4.10,48480,-59
192.168.4.6,48480,-67
192.168.4.3,48480,-57
192.168.4.7,48480,-73
192.168.4.5,48528,-49
192.168.4.10,48528,-57
192.168.4.6,48528,-67
192.168.4.12,48528,-78
192.168.4.3,48528,-57
192.168.4.11,48528,-77
192.168.4.5,48560,-48
192.168.4.10,48560,-56
192.168.4.6,48560,-65
192.168.4.12,48560,-76
192.168.4.3,48560,-56
192.168.4.11,48560,-72
192.168.4.5,48576,-48
192.168.4.10,48576,-55
192.168.4.6,48576,-66
192.168.4.12,48576,-76
192.168.4.3,48576,-54
192.168.4.7,48576,-86
192.168.4.11,48576,-73
192.168.4.5,48608,-51
192.168.4.10,48608,-57
192.168.4.6,48608,-64
192.168.4.12,48608,-76
192.168.4.3,48608,-56
192.168.4.11,48608,-79
192.168.4.5,48624,-54
192.168.4.10,48624,-60
192.168.4.6,48624,-63
192.168.4.12,48624,-73
192.168.4.3,48624,-59
192.168.4.7,48624,-80
192.168.4.11,48624,-88
192.168.4.5,48640,-47
192.168.4.10,48640,-57
192.168.4.6,48640,-61
192.168.4.12,48640,-70
192.168.4.7,48640,-70
192.168.4.11,48640,-72
192.168.4.5,48656,-53
192.168.4.10,48656,-55
192.168.4.6,48656,-60
192.168.4.12,48656,-69
192.168.4.3,48656,-54
192.168.4.7,48656,-70
192.168.4.11,48656,-69
192.168.4.5,48688,-51
192.168.4.10,48688,-55
192.168.4.6,48688,-62
192.168.4.12,48688,-74
192.168.4.3,48688,-53
192.168.4.11,48688,-71
192.168.4.5,48704,-53
192.168.4.10,48704,-59
192.168.4.6,48704,-63
192.168.4.12,48704,-71
192.168.4.3,48704,-84
192.168.4.5,48720,-55
192.168.4.10,48720,-63
192.168.4.6,48720,-65
192.168.4.12,48720,-72
192.168.4.3,48720,-61
192.168.4.5,48736,-48
192.168.4.10,48736,-59
192.168.4.6,48736,-63
192.168.4.12,48736,-70
192.168.4.3,48736,-57
192.168.4.11,48736,-78
192.168.4.5,48752,-45
192.168.4.10,48752,-56
192.168.4.6,48752,-62
192.168.4.12,48752,-71
192.168.4.11,48752,-72
192.168.4.5,48768,-51
192.168.4.10,48768,-57
192.168.4.6,48768,-63
192.168.4.12,48768,-67
192.168.4.3,48768,-55
192.168.4.11,48768,-76
192.168.4.5,48816,-50
192.168.4.10,48816,-63
192.168.4.6,48816,-65
192.168.4.12,48816,-69
192.168.4.3,48816,-58
192.168.4.7,48816,-71
192.168.4.5,48864,-53
192.168.4.10,48864,-62
192.168.4.6,48864,-68
192.168.4.3,48864,-61
192.168.4.5,48880,-53
192.168.4.10,48880,-59
192.168.4.3,48880,-56
192.168.4.5,48896,-53
192.168.4.10,48896,-61
192.168.4.6,48896,-66
192.168.4.12,48896,-72
192.168.4.3,48896,-57
192.168.4.7,48896,-74
192.168.4.5,48912,-55
192.168.4.10,48912,-63
192.168.4.6,48912,-66
192.168.4.12,48912,-72
192.168.4.3,48912,-58
192.168.4.7,48912,-70
192.168.4.11,48912,-80
192.168.4.5,48928,-53
192.168.4.10,48928,-59
192.168.4.6,48928,-66
192.168.4.12,48928,-73
192.168.4.3,48928,-58
192.168.4.11,48928,-83
192.168.4.5,48960,-52
192.168.4.10,48960,-63
192.168.4.6,48960,-65
192.168.4.12,48960,-72
192.168.4.3,48960,-58
192.168.4.7,48960,-72
192.168.4.5,49008,-50
192.168.4.10,49008,-61
192.168.4.6,49008,-66
192.168.4.12,49008,-74
192.168.4.3,49008,-60
192.168.4.7,49008,-71
192.168.4.5,49024,-53
192.168.4.10,49024,-62
192.168.4.6,49024,-66
192.168.4.12,49024,-71
192.168.4.3,49024,-58
192.168.4.7,49024,-72
192.168.4.11,49024,-82
192.168.4.5,49056,-48
192.168.4.10,49056,-58
192.168.4.6,49056,-66
192.168.4.12,49056,-71
192.168.4.3,49056,-57
192.168.4.7,49056,-73
192.168.4.11,49056,-85
192.168.4.5,49088,-53
192.168.4.10,49088,-60
192.168.4.6,49088,-65
192.168.4.12,49088,-71
192.168.4.3,49088,-60
192.168.4.5,49120,-54
192.168.4.10,49120,-63
192.168.4.6,49120,-66
192.168.4.12,49120,-72
192.168.4.3,49120,-61
192.168.4.7,49120,-72
192.168.4.11,49120,-82
192.168.4.5,49136,-49
192.168.4.10,49136,-63
192.168.4.6,49136,-64
192.168.4.12,49136,-72
192.168.4.3,49136,-61
192.168.4.7,49136,-75
192.168.4.5,49168,-53
192.168.4.10,49168,-61
192.168.4.6,49168,-66
192.168.4.3,49168,-65
192.168.4.7,49168,-84
192.168.4.5,49184,-53
192.168.4.10,49184,-62
192.168.4.6,49184,-65
192.168.4.12,49184,-72
192.168.4.3,49184,-58
192.168.4.7,49184,-74
192.168.4.5,49200,-54
192.168.4.10,49200,-60
192.168.4.6,49200,-66
192.168.4.12,49200,-71
192.168.4.3,49200,-58
192.168.4.7,49200,-74
192.168.4.5,49216,-53
192.168.4.10,49216,-62
192.168.4.6,49216,-66
192.168.4.12,49216,-71
192.168.4.3,49216,-60
192.168.4.7,49216,-83
192.168.4.5,49232,-55
192.168.4.10,49232,-63
192.168.4.6,49232,-65
192.168.4.12,49232,-70
192.168.4.3,49232,-57
192.168.4.7,49232,-74
192.168.4.11,49232,-78
192.168.4.5,49248,-49
192.168.4.10,49248,-65
192.168.4.6,49248,-66
192.168.4.12,49248,-73
192.168.4.3,49248,-59
192.168.4.7,49248,-69
192.168.4.5,49264,-48
192.168.4.10,49264,-63
192.168.4.6,49264,-64
192.168.4.12,49264,-70
192.168.4.3,49264,-57
192.168.4.7,49264,-69
192.168.4.5,49296,-54
192.168.4.10,49296,-65
192.168.4.6,49296,-65
192.168.4.12,49296,-72
192.168.4.3,49296,-58
192.168.4.7,49296,-69
192.168.4.11,49296,-81
192.168.4.5,49312,-58
