sender, sequence, rssi
192.168.4.5, 32736, -90
192.168.4.5, 47536, -59
192.168.4.5, 47552, -56
192.168.4.5, 47568, -56
192.168.4.5, 47584, -59
192.168.4.5, 47632, -60
192.168.4.5, 47664, -50
192.168.4.5, 47696, -59
192.168.4.5, 47744, -49
192.168.4.5, 47792, -64
192.168.4.5, 47824, -54
192.168.4.5, 47856, -55
192.168.4.5, 47888, -60
192.168.4.5, 47936, -68
192.168.4.5, 48000, -49
192.168.4.5, 48032, -58
192.168.4.5, 48064, -57
192.168.4.5, 48080, -55
192.168.4.5, 48128, -48
192.168.4.5, 48160, -50
192.168.4.5, 48176, -56
192.168.4.5, 48192, -57
192.168.4.5, 48208, -55
192.168.4.5, 48224, -50
192.168.4.5, 48240, -57
192.168.4.5, 48256, -58
192.168.4.5, 48272, -58
192.168.4.5, 48288, -58
192.168.4.5, 48304, -55
192.168.4.5, 48336, -55
192.168.4.5, 48352, -54
192.168.4.5, 48384, -53
192.168.4.5, 48416, -49
192.168.4.5, 48448, -55
192.168.4.5, 48480, -56
192.168.4.5, 48528, -49
192.168.4.5, 48560, -48
192.168.4.5, 48576, -48
192.168.4.5, 48608, -51
192.168.4.5, 48624, -54
192.168.4.5, 48640, -47
192.168.4.5, 48656, -53
192.168.4.5, 48688, -51
192.168.4.5, 48704, -53
192.168.4.5, 48720, -55
192.168.4.5, 48736, -48
192.168.4.5, 48752, -45
192.168.4.5, 48768, -51
192.168.4.5, 48816, -50
192.168.4.5, 48864, -53
192.168.4.5, 48880, -53
192.168.4.5, 48896, -53
192.168.4.5, 48912, -55
192.168.4.5, 48928, -53
192.168.4.5, 48960, -52
192.168.4.5, 49008, -50
192.168.4.5, 49024, -53
192.168.4.5, 49056, -48
192.168.4.5, 49088, -53
192.168.4.5, 49120, -54
192.168.4.5, 49136, -49
192.168.4.5, 49168, -53
192.168.4.5, 49184, -53
192.168.4.5, 49200, -54
192.168.4.5, 49216, -53
192.168.4.5, 49232, -55
192.168.4.5, 49248, -49
192.168.4.5, 49264, -48
192.168.4.5, 49296, -54
192.168.4.5, 49312, -58
192.168.4.5, 49344, -56
192.168.4.5, 49360, -54
192.168.4.5, 49376, -49
192.168.4.5, 49392, -53
192.168.4.5, 49408, -49
192.168.4.5, 49472, -49
192.168.4.5, 49504, -55
192.168.4.5, 49520, -54
192.168.4.5, 49536, -50
192.168.4.5, 49584, -50
192.168.4.5, 49616, -54
192.168.4.5, 49648, -51
192.168.4.5, 49664, -54
192.168.4.5, 49680, -54
192.168.4.5, 49696, -53
192.168.4.5, 49728, -53
192.168.4.5, 49760, -50
192.168.4.5, 49776, -50
192.168.4.5, 49792, -55
192.168.4.5, 49840, -54
192.168.4.5, 49856, -54
192.168.4.5, 49872, -49
192.168.4.5, 49888, -49
192.168.4.5, 49920, -51
192.168.4.5, 49936, -56
192.168.4.5, 49952, -53
192.168.4.5, 49968, -56
192.168.4.5, 49984, -54
192.168.4.5, 50000, -55
192.168.4.5, 50016, -49
192.168.4.5, 50032, -48
192.168.4.5, 50048, -51
192.168.4.5, 50064, -50
192.168.4.5, 50096, -55
192.168.4.5, 50112, -49
192.168.4.5, 50160, -49
192.168.4.5, 50176, -50
192.168.4.5, 50208, -54
192.168.4.5, 50224, -50
192.168.4.5, 50288, -55
192.168.4.5, 50368, -50
192.168.4.5, 50384, -53
192.168.4.5, 50400, -50
192.168.4.5, 50416, -54
192.168.4.5, 50432, -49
192.168.4.5, 50448, -55
192.168.4.5, 50480, -52
192.168.4.5, 50496, -46
192.168.4.5, 50512, -52
192.168.4.5, 50560, -47
192.168.4.5, 50576, -48
192.168.4.5, 50608, -52
192.168.4.5, 50656, -46
192.168.4.5, 50688, -47
192.168.4.5, 50720, -48
192.168.4.5, 50736, -47
192.168.4.5, 50784, -54
192.168.4.5, 50800, -54
192.168.4.5, 50832, -49
192.168.4.5, 50848, -51
192.168.4.5, 50864, -54
192.168.4.5, 50896, -51
192.168.4.5, 50928, -55
192.168.4.5, 50944, -54
192.168.4.5, 50960, -55
192.168.4.5, 50992, -54
192.168.4.5, 51008, -54
192.168.4.5, 51024, -53
192.168.4.5, 51056, -50
192.168.4.5, 51104, -55
192.168.4.5, 51120, -54
192.168.4.5, 51136, -50
192.168.4.5, 51152, -55
192.168.4.5, 51168, -55
192.168.4.5, 51184, -50
192.168.4.5, 51200, -54
192.168.4.5, 51216, -55
192.168.4.5, 51248, -49
192.168.4.5, 51280, -49
192.168.4.5, 51344, -54
192.168.4.5, 51360, -55
192.168.4.5, 51376, -53
192.168.4.5, 51392, -50
192.168.4.5, 51408, -52
192.168.4.5, 51424, -49
192.168.4.5, 51456, -54
192.168.4.5, 51488, -50
192.168.4.5, 51520, -49
192.168.4.5, 51536, -49
192.168.4.5, 51552, -53
192.168.4.5, 51568, -53
192.168.4.5, 51600, -54
192.168.4.5, 51632, -54
192.168.4.5, 51648, -49
192.168.4.5, 51664, -48
192.168.4.5, 51696, -52
192.168.4.5, 51712, -53
192.168.4.5, 51728, -53
192.168.4.5, 51760, -49
192.168.4.5, 51776, -54
192.168.4.5, 51792, -49
192.168.4.5, 51808, -49
192.168.4.5, 51824, -54
192.168.4.5, 51840, -54
192.168.4.5, 51888, -65
192.168.4.5, 51904, -49
192.168.4.5, 51936, -55
192.168.4.5, 51952, -50
192.168.4.5, 52000, -49
192.168.4.5, 52032, -53
192.168.4.5, 52064, -54
192.168.4.5, 52080, -54
192.168.4.5, 52096, -56
192.168.4.5, 52112, -56
192.168.4.5, 52128, -48
192.168.4.5, 52160, -53
192.168.4.5, 52224, -53
192.168.4.5, 52240, -53
192.168.4.5, 52256, -54
192.168.4.5, 52272, -49
192.168.4.5, 52288, -50
192.168.4.5, 52320, -49
192.168.4.5, 52336, -50
192.168.4.5, 52352, -53
192.168.4.5, 52368, -49
192.168.4.5, 52400, -55
192.168.4.5, 52416, -54
192.168.4.5, 52464, -49
192.168.4.5, 52480, -50
192.168.4.5, 52496, -54
192.168.4.5, 52512, -54
192.168.4.5, 52528, -55
192.168.4.5, 52544, -56
192.168.4.5, 52560, -51
192.168.4.5, 52576, -52
192.168.4.5, 52608, -56
192.168.4.5, 52624, -50
192.168.4.5, 52656, -53
192.168.4.5, 52672, -48
192.168.4.5, 52688, -54
192.168.4.5, 52720, -49
192.168.4.5, 52736, -53
192.168.4.5, 52768, -50
192.168.4.5, 52816, -49
192.168.4.5, 52864, -49
192.168.4.5, 52880, -53
192.168.4.5, 52896, -50
192.168.4.5, 52912, -48
192.168.4.5, 52928, -53
192.168.4.5, 52976, -54
192.168.4.5, 52992, -53
192.168.4.5, 53024, -48
192.168.4.5, 53040, -54
192.168.4.5, 53136, -50
192.168.4.5, 53184, -54
192.168.4.5, 53216, -48
192.168.4.5, 53232, -53
192.168.4.5, 53264, -54
192.168.4.5, 53312, -54
192.168.4.5, 53344, -53
192.168.4.5, 53360, -50
192.168.4.5, 53376, -49
192.168.4.5, 53392, -54
192.168.4.5, 53408, -53
192.168.4.5, 53440, -55
192.168.4.5, 53504, -54
192.168.4.5, 53536, -54
192.168.4.5, 53648, -55
192.168.4.5, 53712, -54
192.168.4.5, 53776, -55
192.168.4.5, 53808, -57
192.168.4.5, 53840, -53
192.168.4.5, 53856, -55
192.168.4.5, 53872, -54
192.168.4.5, 53888, -55
192.168.4.5, 53904, -54
192.168.4.5, 53920, -55
192.168.4.5, 53936, -56
192.168.4.5, 53952, -54
192.168.4.5, 53984, -54
192.168.4.5, 54000, -49
192.168.4.5, 54032, -55
192.168.4.5, 54048, -50
192.168.4.5, 54064, -56
192.168.4.5, 54080, -56
192.168.4.5, 54096, -58
192.168.4.5, 54112, -55
192.168.4.5, 54160, -56
192.168.4.5, 54208, -51
192.168.4.5, 54224, -52
192.168.4.5, 54240, -56
192.168.4.5, 54272, -50
192.168.4.5, 54288, -57
192.168.4.5, 54304, -55
192.168.4.5, 54320, -56
192.168.4.5, 54336, -56
192.168.4.5, 54352, -58
192.168.4.5, 54368, -52
192.168.4.5, 54384, -55
192.168.4.5, 54416, -57
192.168.4.5, 54432, -57
192.168.4.5, 54448, -55
192.168.4.5, 54464, -58
192.168.4.5, 54480, -53
192.168.4.5, 54512, -54
192.168.4.5, 54544, -54
192.168.4.5, 54576, -53
192.168.4.5, 54592, -52
192.168.4.5, 54608, -48
192.168.4.5, 54640, -48
192.168.4.5, 54656, -48
192.168.4.5, 54688, -54
192.168.4.5, 54704, -49
192.168.4.5, 54736, -51
192.168.4.5, 54752, -51
192.168.4.5, 54768, -51
192.168.4.5, 54784, -51
192.168.4.5, 54800, -49
192.168.4.5, 54864, -79
192.168.4.5, 54912, -76
192.168.4.5, 54960, -49
192.168.4.5, 54976, -48
192.168.4.5, 55008, -53
192.168.4.5, 55040, -55
192.168.4.5, 55072, -50
192.168.4.5, 55088, -54
192.168.4.5, 55120, -55
192.168.4.5, 55136, -54
192.168.4.5, 55152, -51
192.168.4.5, 55168, -50
192.168.4.5, 55200, -56
192.168.4.5, 55232, -55
192.168.4.5, 55248, -52
192.168.4.5, 55280, -48
192.168.4.5, 55312, -53
192.168.4.5, 55344, -54
192.168.4.5, 55424, -52
192.168.4.5, 55440, -55
192.168.4.5, 55456, -54
192.168.4.5, 55472, -54
192.168.4.5, 55488, -55
192.168.4.5, 55536, -56
192.168.4.5, 55552, -51
192.168.4.5, 55568, -55
192.168.4.5, 55600, -58
192.168.4.5, 55616, -58
192.168.4.5, 55648, -50
192.168.4.5, 55664, -56
192.168.4.5, 55696, -52
192.168.4.5, 55712, -52
192.168.4.5, 55728, -57
192.168.4.5, 55744, -52
192.168.4.5, 55760, -52
192.168.4.5, 55776, -56
192.168.4.5, 55824, -55
192.168.4.5, 55840, -52
192.168.4.5, 55856, -57
192.168.4.5, 55872, -56
192.168.4.5, 55888, -51
192.168.4.5, 55920, -49
192.168.4.5, 55968, -55
192.168.4.5, 55984, -57
192.168.4.5, 56016, -52
192.168.4.5, 56032, -51
192.168.4.5, 56080, -55
192.168.4.5, 56128, -63
192.168.4.5, 56160, -55
192.168.4.5, 56176, -50
192.168.4.5, 56192, -49
192.168.4.5, 56208, -55
192.168.4.5, 56224, -50
192.168.4.5, 56240, -50
192.168.4.5, 56256, -50
192.168.4.5, 56272, -49
192.168.4.5, 56288, -49
192.168.4.5, 56304, -50
192.168.4.5, 56320, -55
192.168.4.5, 56368, -50
192.168.4.5, 56400, -50
192.168.4.5, 56432, -54
192.168.4.5, 56480, -54
192.168.4.5, 56496, -54
192.168.4.5, 56528, -54
192.168.4.5, 56544, -54
192.168.4.5, 56560, -49
192.168.4.5, 56576, -50
192.168.4.5, 56592, -55
192.168.4.5, 56656, -52
192.168.4.5, 56688, -56
192.168.4.5, 56704, -53
