rssi,node,sequence
-55.0,192.168.4.7,42192
-68.0,192.168.4.6,42192
-54.0,192.168.4.10,42192
-61.0,192.168.4.5,42192
-74.0,192.168.4.12,42192
-60.0,192.168.4.3,42192
-40.0,192.168.4.11,42192
-61.00049975012494,192.168.4.3,42288
-56.00049975012494,192.168.4.7,42288
-55.5007496251874,192.168.4.10,42288
-42.00099950024988,192.168.4.11,42288
-62.00049975012494,192.168.4.5,42288
-60.66644451849383,192.168.4.3,42336
-57.66977474375008,192.168.4.7,42336
-55.3335551486168,192.168.4.10,42336
-60.99866777674176,192.168.4.5,42336
-47.34287971275642,192.168.4.11,42336
-55.50074862743329,192.168.4.10,42368
-62.25337044476907,192.168.4.5,42368
-44.998997007236646,192.168.4.11,42368
-61.79999824534563,192.168.4.5,42384
-61.50274588180098,192.168.4.3,42384
-58.50524064115982,192.168.4.7,42384
-46.80997510598608,192.168.4.11,42384
-69.00049975012493,192.168.4.6,42384
-58.01556508785232,192.168.4.10,42384
-48.18745397247661,192.168.4.11,42400
-60.41556122049749,192.168.4.7,42400
-59.86303529064538,192.168.4.10,42400
-61.66544667920832,192.168.4.5,42400
-62.00518683407111,192.168.4.3,42448
-60.34566805089472,192.168.4.7,42448
-60.60638949070836,192.168.4.10,42448
-60.99032438805381,192.168.4.5,42448
-48.59444876818207,192.168.4.11,42448
-67.33089103498966,192.168.4.6,42464
-60.6100256597767,192.168.4.5,42464
-61.16515311378004,192.168.4.10,42464
-48.13731966845703,192.168.4.11,42464
-60.295647501407146,192.168.4.7,42464
-60.19987691584182,192.168.4.5,42480
-62.05529986401229,192.168.4.10,42480
-48.46255966753839,192.168.4.11,42480
-66.74613180086361,192.168.4.6,42480
-62.17250428791367,192.168.4.3,42480
-60.3852245254062,192.168.4.7,42480
-48.92913678219804,192.168.4.11,42496
-62.72636929853389,192.168.4.3,42496
-60.5686853079765,192.168.4.7,42496
-66.79720941398901,192.168.4.6,42496
-59.97366739047204,192.168.4.5,42496
-62.87223959096937,192.168.4.10,42496
-63.015521494795145,192.168.4.3,42512
-60.61303664921066,192.168.4.7,42512
-66.83131672747929,192.168.4.6,42512
-48.653616397044026,192.168.4.11,42512
-63.44862882560275,192.168.4.10,42512
-59.976144287680576,192.168.4.5,42512
-48.51006649641335,192.168.4.11,42528
-63.58330285176995,192.168.4.10,42528
-66.42160568211283,192.168.4.6,42528
-60.9316211047347,192.168.4.7,42528
-60.06502486846481,192.168.4.5,42528
-60.05977596082181,192.168.4.5,42544
-75.50074962518741,192.168.4.12,42544
-61.3716054252062,192.168.4.7,42544
-63.6976608299516,192.168.4.10,42544
-48.38817160048204,192.168.4.11,42544
-63.1273718416887,192.168.4.3,42544
-66.62234020917963,192.168.4.6,42544
-63.41831117047583,192.168.4.10,42560
-66.32440616540015,192.168.4.6,42560
-48.05665546130928,192.168.4.11,42560
-62.80578962276146,192.168.4.3,42560
-59.904164686637024,192.168.4.5,42560
-61.341608862312704,192.168.4.7,42560
-62.72999546095733,192.168.4.3,42576
-48.0526269880078,192.168.4.11,42576
-61.315801108776206,192.168.4.7,42576
-65.98256324891872,192.168.4.6,42576
-64.59734826944947,192.168.4.10,42576
-74.66577840686472,192.168.4.12,42576
-59.48435043999645,192.168.4.5,42576
-59.04824327575956,192.168.4.5,42592
-64.15364139828377,192.168.4.10,42592
-62.57981511867489,192.168.4.3,42592
-47.712810864854525,192.168.4.11,42592
-61.08003184786087,192.168.4.7,42592
-64.01603617295137,192.168.4.10,42608
-62.7751761739293,192.168.4.3,42608
-47.9867374468075,192.168.4.11,42608
-65.70201746489029,192.168.4.6,42624
-63.77130058412141,192.168.4.10,42624
-61.07464927908359,192.168.4.7,42624
-47.80472689803604,192.168.4.11,42624
-62.792161090108245,192.168.4.3,42624
-58.85347816622781,192.168.4.5,42624
-63.3180251246452,192.168.4.10,42640
-58.37489044425455,192.168.4.5,42640
-60.94209119315457,192.168.4.7,42640
-47.52448232780092,192.168.4.11,42640
-65.29383686081835,192.168.4.6,42640
-73.74613105248568,192.168.4.12,42640
-62.73583466140708,192.168.4.3,42640
-62.75360118987736,192.168.4.3,42688
-47.439104778893366,192.168.4.11,42720
-60.88468054420646,192.168.4.7,42720
-63.07619719752501,192.168.4.10,42720
-65.02795327071301,192.168.4.6,42720
-58.29469741979191,192.168.4.5,42720
-62.769344648289504,192.168.4.3,42720
-63.07208787922225,192.168.4.10,42752
-62.96621945363432,192.168.4.3,42752
-47.79293415438607,192.168.4.11,42752
-58.27819310031744,192.168.4.5,42800
-63.02651661330266,192.168.4.3,42800
-63.172473966740334,192.168.4.10,42800
-48.11613511800516,192.168.4.11,42800
-60.94973361136237,192.168.4.7,42800
-48.3118639317258,192.168.4.11,42848
-60.840540166659785,192.168.4.7,42848
-58.371050224155326,192.168.4.5,42848
-63.13704014728751,192.168.4.3,42848
-63.16378207710631,192.168.4.10,42848
-63.25354193806984,192.168.4.10,42864
-58.40379954221913,192.168.4.5,42864
-65.17693680588053,192.168.4.6,42864
-60.95699993296946,192.168.4.7,42864
-48.49215112780176,192.168.4.11,42864
-63.23750965625523,192.168.4.3,42864
-63.38135210344268,192.168.4.3,42880
-61.06337863214255,192.168.4.7,42880
-58.33305454272806,192.168.4.5,42880
-48.65881928236588,192.168.4.11,42880
-65.02214622437569,192.168.4.6,42912
-61.16097538549873,192.168.4.7,42912
-48.62833682608819,192.168.4.11,42912
-58.36565684486693,192.168.4.5,42912
-63.36213372250396,192.168.4.3,42912
-48.8256512464426,192.168.4.11,42928
-61.250872445999065,192.168.4.7,42928
-63.43154711277467,192.168.4.10,42928
-58.39579634257002,192.168.4.5,42928
-63.49108056882127,192.168.4.3,42928
-65.0206567726256,192.168.4.6,42928
-48.7451394750784,192.168.4.11,42944
-61.19143983936025,192.168.4.7,42944
-58.33121520154427,192.168.4.5,42944
-63.46774789539955,192.168.4.3,42944
-58.36140071209243,192.168.4.5,42976
-64.95544270992411,192.168.4.6,42976
-63.50411678072182,192.168.4.10,42976
-63.44610598971746,192.168.4.3,42976
-61.182582241094224,192.168.4.7,42976
-48.8855998619381,192.168.4.11,42976
-58.38956313356342,192.168.4.5,42992
-63.887577309614905,192.168.4.10,42992
-63.42597105679239,192.168.4.3,42992
-61.264611143453465,192.168.4.7,42992
-49.1018720095403,192.168.4.11,42992
-64.0689363923238,192.168.4.10,43008
-62.17904805467562,192.168.4.7,43008
-58.41590595156026,192.168.4.5,43008
-49.346590599474304,192.168.4.11,43008
-65.08003718834377,192.168.4.6,43008
-63.45128590656011,192.168.4.3,43008
-49.577017942979246,192.168.4.11,43024
-62.12816736574352,192.168.4.7,43024
-58.482892384497,192.168.4.5,43024
-63.474965137436456,192.168.4.3,43024
-64.15226959179827,192.168.4.10,43024
-62.2918951806118,192.168.4.7,43040
-50.35558995995078,192.168.4.11,43040
-58.62882031581762,192.168.4.5,43040
-63.62402794822939,192.168.4.3,43040
-64.95871517768823,192.168.4.6,43040
-64.23040439016842,192.168.4.10,43040
-63.72260914741198,192.168.4.3,43088
-58.76622624630476,192.168.4.5,43088
-62.23829329753072,192.168.4.7,43088
-50.49941194136679,192.168.4.11,43088
-62.26933970502486,192.168.4.7,43120
-63.7746743278944,192.168.4.3,43120
-50.59666002003858,192.168.4.11,43120
-58.89585236378007,192.168.4.5,43120
-50.68885191055906,192.168.4.11,43136
-62.25854319824871,192.168.4.7,43136
-64.26233559830123,192.168.4.10,43136
-59.01835358036736,192.168.4.5,43136
-63.86387671153783,192.168.4.3,43136
