sender, sequence, rssi
192.168.4.11, 42192, -40
192.168.4.11, 42288, -44
192.168.4.11, 42336, -58
192.168.4.11, 42368, -38
192.168.4.11, 42384, -54
192.168.4.11, 42400, -55
192.168.4.11, 42448, -51
192.168.4.11, 42464, -45
192.168.4.11, 42480, -51
192.168.4.11, 42496, -53
192.168.4.11, 42512, -46
192.168.4.11, 42528, -47
192.168.4.11, 42544, -47
192.168.4.11, 42560, -44
192.168.4.11, 42576, -48
192.168.4.11, 42592, -43
192.168.4.11, 42608, -52
192.168.4.11, 42624, -45
192.168.4.11, 42640, -43
192.168.4.11, 42720, -46
192.168.4.11, 42752, -54
192.168.4.11, 42800, -54
192.168.4.11, 42848, -52
192.168.4.11, 42864, -52
192.168.4.11, 42880, -52
192.168.4.11, 42912, -48
192.168.4.11, 42928, -53
192.168.4.11, 42944, -47
192.168.4.11, 42976, -52
192.168.4.11, 42992, -54
192.168.4.11, 43008, -55
192.168.4.11, 43024, -55
192.168.4.11, 43040, -69
192.168.4.11, 43088, -54
192.168.4.11, 43120, -53
192.168.4.11, 43136, -53
192.168.4.11, 43168, -45
192.168.4.11, 43184, -51
192.168.4.11, 43216, -52
192.168.4.11, 43232, -51
192.168.4.11, 43248, -51
192.168.4.11, 43264, -45
192.168.4.11, 43280, -51
192.168.4.11, 43296, -52
192.168.4.11, 43312, -51
192.168.4.11, 43328, -73
192.168.4.11, 43360, -51
192.168.4.11, 43392, -47
192.168.4.11, 43408, -51
192.168.4.11, 43424, -50
192.168.4.11, 43440, -45
192.168.4.11, 43456, -44
192.168.4.11, 43472, -51
192.168.4.11, 43488, -52
192.168.4.11, 43504, -50
192.168.4.11, 43520, -51
192.168.4.11, 43552, -44
192.168.4.11, 43600, -51
192.168.4.11, 43632, -52
192.168.4.11, 43664, -52
192.168.4.11, 43680, -53
192.168.4.11, 43696, -52
192.168.4.11, 43712, -51
192.168.4.11, 43728, -45
192.168.4.11, 43744, -52
192.168.4.11, 43776, -51
192.168.4.11, 43856, -52
192.168.4.11, 43936, -51
192.168.4.11, 43968, -53
192.168.4.11, 44000, -52
192.168.4.11, 44080, -51
192.168.4.11, 44096, -48
