rssi,node,millis
-63.0,192.168.4.7,4176
-69.0,192.168.4.11,4176
-65.0,192.168.4.10,4176
-62.0,192.168.4.5,4176
-73.0,192.168.4.12,4192
-66.49875062468766,192.168.4.11,4192
-60.0,192.168.4.6,4192
-59.999000499750125,192.168.4.5,4192
-62.999000499750125,192.168.4.10,4192
-58.99766910863213,192.168.4.5,4208
-65.49625187406296,192.168.4.12,4208
-87.0,192.168.4.3,4208
-64.66278173675708,192.168.4.11,4208
-65.50124937531234,192.168.4.7,4208
-64.00199900049975,192.168.4.6,4208
-65.33655281739254,192.168.4.10,4208
-67.67110663411896,192.168.4.7,4224
-66.00474163928814,192.168.4.10,4224
-63.661117289907686,192.168.4.12,4224
-58.74738017829715,192.168.4.5,4224
-63.24213878875938,192.168.4.11,4224
-64.33521992835556,192.168.4.6,4224
-61.99001821817971,192.168.4.12,4304
-63.74937468877868,192.168.4.6,4304
-79.99650174912544,192.168.4.3,4304
-64.79660343445225,192.168.4.10,4304
-58.39581188800448,192.168.4.5,4304
-61.98623690261557,192.168.4.11,4304
-61.31579240931606,192.168.4.11,4320
-63.19620774164653,192.168.4.6,4320
-58.32924035520848,192.168.4.5,4320
-60.78484232689792,192.168.4.12,4320
-64.15805336127411,192.168.4.10,4320
-81.66711162879108,192.168.4.3,4320
-62.82682794247741,192.168.4.6,4336
-59.81189069922877,192.168.4.12,4336
-63.55635438044202,192.168.4.10,4336
-79.9945087351504,192.168.4.3,4336
-58.13689011399735,192.168.4.5,4336
-60.69126750101314,192.168.4.11,4336
-59.11557694900932,192.168.4.12,4352
-70.76410160215119,192.168.4.7,4352
-60.476178167434085,192.168.4.11,4352
-63.23124640092264,192.168.4.10,4352
-66.61426633824843,192.168.4.6,4352
-79.39202146342843,192.168.4.3,4352
-57.99230450774298,192.168.4.5,4352
-59.96762254317423,192.168.4.11,4368
-57.87956501893921,192.168.4.5,4368
-62.97774601200732,192.168.4.10,4368
-66.28179332368676,192.168.4.6,4368
-58.5921726367255,192.168.4.12,4368
-57.68629261002665,192.168.4.5,4384
-62.671549557470605,192.168.4.10,4384
-65.68170869781521,192.168.4.6,4384
-59.4568105383682,192.168.4.11,4384
-81.17617553370391,192.168.4.3,4384
-58.0704384396889,192.168.4.12,4384
-72.01874793807734,192.168.4.7,4400
-81.72950928975416,192.168.4.3,4400
-57.433614626858,192.168.4.5,4400
-57.857538848181456,192.168.4.12,4400
-62.42025833491459,192.168.4.10,4400
-65.09746845302392,192.168.4.6,4400
-59.03759414548668,192.168.4.11,4400
-80.74649802688154,192.168.4.3,4416
-57.22235333404347,192.168.4.5,4416
-64.71205248570047,192.168.4.6,4416
-58.77390158745423,192.168.4.11,4416
-57.58875310596948,192.168.4.12,4416
-62.123346823281125,192.168.4.10,4416
-58.54998797429248,192.168.4.11,4432
-73.02473368501606,192.168.4.7,4432
-61.95194699376058,192.168.4.10,4432
-56.63935383691974,192.168.4.5,4432
-57.36402429233196,192.168.4.12,4432
-64.38981041891238,192.168.4.6,4432
-61.80448194677602,192.168.4.10,4448
-56.666599814168826,192.168.4.5,4448
-57.17319660641393,192.168.4.12,4448
-73.02115455031688,192.168.4.7,4448
-63.954736611458685,192.168.4.6,4448
-58.35734232477377,192.168.4.11,4448
-61.818384212138746,192.168.4.10,4480
-74.79893396733746,192.168.4.7,4480
-56.69030615626348,192.168.4.5,4480
-63.5804178059069,192.168.4.6,4480
-57.00901666674554,192.168.4.12,4480
-58.33193358249948,192.168.4.11,4480
-63.46804256812503,192.168.4.6,4496
-74.93539164689585,192.168.4.7,4496
-57.008375538769286,192.168.4.12,4496
-56.71113471962126,192.168.4.5,4496
-81.34336836482458,192.168.4.3,4496
-58.242353942566254,192.168.4.11,4496
-61.763343507396655,192.168.4.10,4496
-56.73879089716405,192.168.4.12,4512
-61.7145702736424,192.168.4.10,4512
-58.162974713347474,192.168.4.11,4512
-56.7934857542322,192.168.4.5,4512
-63.436564208185054,192.168.4.6,4512
-63.21698763772471,192.168.4.6,4528
-56.92794982276743,192.168.4.5,4528
-61.79290383126782,192.168.4.10,4528
-58.09210351373468,192.168.4.11,4528
-56.499903789828096,192.168.4.12,4528
-58.08673140618903,192.168.4.11,4576
-62.8990665617054,192.168.4.6,4576
-81.8222017142858,192.168.4.3,4576
-56.3475606834232,192.168.4.12,4576
-56.99047912933673,192.168.4.5,4576
-61.92163679162125,192.168.4.10,4576
-56.21063487082484,192.168.4.12,4608
-82.21517366416926,192.168.4.3,4608
-62.6716463032616,192.168.4.6,4608
-57.96986549738848,192.168.4.11,4608
-57.047016627959344,192.168.4.5,4608
-62.038034045452974,192.168.4.10,4608
-56.19883841463933,192.168.4.12,4624
-62.14384295796266,192.168.4.10,4624
-82.5437332051753,192.168.4.3,4624
-57.863630562176695,192.168.4.11,4624
-62.35400978441682,192.168.4.6,4624
-57.09841106423983,192.168.4.5,4624
-57.7665916055252,192.168.4.11,4640
-57.19742650756389,192.168.4.5,4640
-62.44877215416712,192.168.4.10,4640
-62.06526779501458,192.168.4.6,4640
-56.242045095109546,192.168.4.12,4640
-57.77835430828419,192.168.4.11,4672
-62.728528343934414,192.168.4.10,4672
-57.28826786843471,192.168.4.5,4672
-56.28151169039523,192.168.4.12,4672
-61.69738038792524,192.168.4.6,4672
-61.4102587864984,192.168.4.6,4688
-63.035096762021816,192.168.4.10,4688
-74.42789388921742,192.168.4.7,4688
-56.41851091877185,192.168.4.12,4688
-57.83807202809727,192.168.4.11,4688
-81.69262680368573,192.168.4.3,4688
-57.42082550011063,192.168.4.5,4688
-57.9407915460997,192.168.4.11,4704
-74.10545942648962,192.168.4.7,4704
-63.27099382897405,192.168.4.10,4704
-61.09690603558435,192.168.4.6,4704
-81.11146677389686,192.168.4.3,4704
-56.74023392207047,192.168.4.12,4704
-57.59088254375564,192.168.4.5,4704
-73.8358755055258,192.168.4.7,4752
-63.48979696316222,192.168.4.10,4752
-80.67691236091456,192.168.4.3,4752
-56.990140784534056,192.168.4.12,4752
-57.98979933359043,192.168.4.11,4752
-57.70234834248589,192.168.4.5,4752
-60.75971128314207,192.168.4.6,4752
-63.512824907555895,192.168.4.10,4816
-58.08052946615317,192.168.4.11,4816
-57.26820682733821,192.168.4.12,4816
-57.98659199003216,192.168.4.5,4816
-60.539487475238616,192.168.4.6,4816
-73.52623772026132,192.168.4.7,4816
-60.37973319140081,192.168.4.6,4848
-63.490209174245685,192.168.4.10,4848
-58.16517869642785,192.168.4.11,4848
-80.56413105750421,192.168.4.3,4848
-58.29588540151072,192.168.4.5,4848
-58.02339402727051,192.168.4.12,4848
-73.10874333764177,192.168.4.7,4848
-58.2012046097844,192.168.4.11,4864
-63.42590062538046,192.168.4.10,4864
-60.18658563486211,192.168.4.6,4864
-80.27250948897616,192.168.4.3,4864
-58.3751647598187,192.168.4.12,4864
-72.67438257395625,192.168.4.7,4864
-58.74736125953391,192.168.4.12,4880
-72.22549473479718,192.168.4.7,4880
