rssi,node,sequence
-67.0,192.168.4.9,19056
-71.0,192.168.4.11,19056
-61.0,192.168.4.5,19056
-65.0,192.168.4.6,19056
-67.0,192.168.4.3,19056
-61.0,192.168.4.7,19056
-71.0,192.168.4.11,19072
-61.0,192.168.4.5,19072
-66.00049975012493,192.168.4.6,19072
-68.00049975012493,192.168.4.3,19072
-59.99950024987506,192.168.4.7,19072
-78.0,192.168.4.10,19072
-67.0,192.168.4.9,19072
-60.66611162912396,192.168.4.5,19088
-68.33422126024591,192.168.4.3,19088
-59.99966711063012,192.168.4.7,19088
-67.33388837087604,192.168.4.9,19088
-71.0,192.168.4.11,19088
-68.6714398563782,192.168.4.6,19088
-71.0,192.168.4.11,19104
-77.49975012493753,192.168.4.10,19104
-59.99975062381459,192.168.4.7,19104
-60.74987543665773,192.168.4.5,19104
-68.25211957257616,192.168.4.6,19104
-67.25012456334227,192.168.4.9,19104
-68.25037393952768,192.168.4.3,19104
-60.80019984011991,192.168.4.5,19120
-71.20119736658297,192.168.4.11,19120
-60.20099816422936,192.168.4.7,19120
-68.1999993622337,192.168.4.3,19120
-68.00019641192684,192.168.4.6,19120
-67.19980015988008,192.168.4.9,19120
-77.33288936987704,192.168.4.10,19120
-68.33654303056973,192.168.4.6,19152
-71.16735801639197,192.168.4.11,19152
-60.503571970978456,192.168.4.7,19152
-68.50274115731722,192.168.4.3,19152
-67.16619580564212,192.168.4.9,19152
-60.49742454122708,192.168.4.5,19152
-60.570150674121685,192.168.4.5,19200
-68.42999104670118,192.168.4.3,19200
-60.43070163589923,192.168.4.7,19200
-68.28784293441755,192.168.4.6,19232
-67.1421461270582,192.168.4.9,19232
-60.50310295956254,192.168.4.7,19232
-71.43255394293708,192.168.4.11,19232
-68.24812991528658,192.168.4.3,19232
-60.497640956727466,192.168.4.5,19232
-60.44110207513266,192.168.4.5,19248
-67.25124490518095,192.168.4.9,19248
-68.37841251524848,192.168.4.6,19248
-71.63189610946769,192.168.4.11,19248
-68.5607803408204,192.168.4.3,19248
-60.33232971610933,192.168.4.7,19248
-67.22270001603289,192.168.4.9,19264
-68.44903343325389,192.168.4.6,19264
-71.90094539823902,192.168.4.11,19264
-68.60594453610815,192.168.4.3,19264
-60.49857257877946,192.168.4.5,19264
-67.30262842438016,192.168.4.9,19280
-72.11678754002898,192.168.4.11,19280
-60.45167585829601,192.168.4.5,19280
-68.40286010460989,192.168.4.6,19280
-68.64301017054467,192.168.4.3,19280
-60.50381335716015,192.168.4.7,19280
-72.29392621974222,192.168.4.11,19296
-68.93442936383396,192.168.4.3,19296
-77.75112356471509,192.168.4.10,19296
-68.36496628829516,192.168.4.6,19296
-60.83267157104072,192.168.4.7,19296
-60.41246602420657,192.168.4.5,19296
-67.36822457075269,192.168.4.9,19296
-68.42009335789565,192.168.4.6,19312
-67.33625911574401,192.168.4.9,19312
-60.62133575639864,192.168.4.5,19312
-69.10116541044664,192.168.4.3,19312
-72.35522025454685,192.168.4.11,19312
-60.93400697160884,192.168.4.7,19312
-68.38618277431291,192.168.4.6,19328
-60.72549062746248,192.168.4.5,19328
-77.19760474835005,192.168.4.10,19328
-69.01797492960452,192.168.4.3,19328
-72.32654632789294,192.168.4.11,19328
-67.30911576145006,192.168.4.9,19328
-61.100777114373216,192.168.4.7,19328
-69.08780159213704,192.168.4.3,19360
-61.24425897784509,192.168.4.7,19360
-60.74500955207657,192.168.4.5,19360
-67.36131045578567,192.168.4.9,19360
-72.22632884391658,192.168.4.11,19360
-68.35700756559018,192.168.4.6,19360
-76.82798998686575,192.168.4.10,19360
-67.4067243261759,192.168.4.9,19376
-72.13913101881057,192.168.4.11,19376
-69.01464113111798,192.168.4.3,19376
-68.3316226262892,192.168.4.6,19376
-76.85288102134831,192.168.4.10,19376
-60.76215902019684,192.168.4.5,19376
-61.297995766148006,192.168.4.7,19376
-61.345209296406814,192.168.4.7,19392
-71.99526304449654,192.168.4.11,19392
-60.7773556827634,192.168.4.5,19392
-67.44662528065336,192.168.4.9,19392
-69.01370564754666,192.168.4.3,19392
-68.30931923530409,192.168.4.6,19392
-76.87159108528324,192.168.4.10,19408
-68.95193084326986,192.168.4.3,19408
-68.41734395463597,192.168.4.6,19408
-60.79092353567408,192.168.4.5,19408
-61.13146977626994,192.168.4.7,19408
-71.93167149410561,192.168.4.11,19408
-67.4819827236379,192.168.4.9,19408
-76.8861801104162,192.168.4.10,19424
-60.68646461277794,192.168.4.5,19424
-68.39191118608413,192.168.4.6,19424
-67.45261089514943,192.168.4.9,19424
-68.89640771870377,192.168.4.3,19424
-71.93583540508743,192.168.4.11,19424
-61.06251847453522,192.168.4.7,19424
-68.42737908924222,192.168.4.6,19456
-68.84620504173661,192.168.4.3,19456
-67.4262115287574,192.168.4.9,19456
-61.00054512212997,192.168.4.7,19456
-60.70402393922511,192.168.4.5,19456
-71.88125107668019,192.168.4.11,19456
-76.89788401212769,192.168.4.10,19456
-68.85449921077945,192.168.4.3,19488
-62.34461752967682,192.168.4.7,19488
-68.45944831623302,192.168.4.6,19488
-60.71998594154575,192.168.4.5,19488
-67.51435043317323,192.168.4.9,19488
-76.8134272703502,192.168.4.10,19488
-71.88790152570381,192.168.4.11,19488
-71.84001695633467,192.168.4.11,19504
-68.54253033809307,192.168.4.6,19504
-76.74281391404956,192.168.4.10,19504
-68.86207541448876,192.168.4.3,19504
-62.272102245593096,192.168.4.7,19504
-67.59447158138792,192.168.4.9,19504
-60.73456623048908,192.168.4.5,19504
-62.1537942312298,192.168.4.7,19520
-68.91942154675463,192.168.4.3,19520
-60.647152120851175,192.168.4.5,19520
-76.76357437145748,192.168.4.10,19520
-67.66765722990338,192.168.4.9,19520
-71.79627740265559,192.168.4.11,19520
-68.6184205591557,192.168.4.6,19520
-76.78143577677885,192.168.4.10,19536
-67.68440576727944,192.168.4.9,19536
-68.87447745315079,192.168.4.3,19536
-71.75614870710368,192.168.4.11,19536
-68.58725502531203,192.168.4.6,19536
-60.56663436557275,192.168.4.5,19536
-61.99485759920141,192.168.4.7,19536
-60.49219898705454,192.168.4.5,19552
-76.72587196896893,192.168.4.10,19552
-68.88044139629707,192.168.4.3,19552
-68.60743124245897,192.168.4.6,19552
-71.67030287049812,192.168.4.11,19552
-61.84845994217043,192.168.4.7,19552
-67.65094995261403,192.168.4.9,19552
-67.5725084940721,192.168.4.9,19568
-71.63845482159545,192.168.4.11,19568
-60.423157458371335,192.168.4.5,19568
-68.57857040839978,192.168.4.6,19568
-68.83970485884886,192.168.4.3,19568
-61.7606342066352,192.168.4.7,19584
-71.70145121906242,192.168.4.11,19584
-60.404058304274685,192.168.4.5,19584
-67.49975118004096,192.168.4.9,19584
-68.8469397581546,192.168.4.3,19584
-67.52232984221517,192.168.4.9,19600
-71.71492617751983,192.168.4.11,19600
-68.89779006307538,192.168.4.3,19600
-60.38623921101963,192.168.4.5,19600
-68.69060586885324,192.168.4.6,19600
-77.01332988359691,192.168.4.10,19600
-61.81797757016373,192.168.4.7,19600
-71.85979892527239,192.168.4.11,19632
-60.32641738628427,192.168.4.5,19632
-68.90220083495682,192.168.4.3,19632
-68.6594354672726,192.168.4.6,19632
-77.14026661003922,192.168.4.10,19632
-61.91646285455453,192.168.4.7,19632
-67.54339524044279,192.168.4.9,19632
-60.354901109599474,192.168.4.5,19648
-68.90633645885926,192.168.4.3,19648
-67.60625362299484,192.168.4.9,19648
-68.63035416399853,192.168.4.6,19648
-71.86584916829926,192.168.4.11,19648
-68.8687317509627,192.168.4.3,19664
-68.60315183411191,192.168.4.6,19664
-71.87152199163951,192.168.4.11,19664
-61.92014686789915,192.168.4.7,19664
-67.62290393823548,192.168.4.9,19664
-60.29868505433965,192.168.4.5,19664
-71.87685265877566,192.168.4.11,19680
-68.61993331440124,192.168.4.6,19680
-61.880438811580525,192.168.4.7,19680
-68.87408211421595,192.168.4.3,19680
-60.24575194337599,192.168.4.5,19680
-67.59705909836835,192.168.4.9,19680
-60.19581586248207,192.168.4.5,19696
-68.55272083662378,192.168.4.6,19696
-61.80092087609705,192.168.4.7,19696
-71.88187202190464,192.168.4.11,19696
-67.65424157396039,192.168.4.9,19696
-77.2535979961767,192.168.4.10,19696
-60.10916079768519,192.168.4.5,19712
-61.684708171248346,192.168.4.7,19712
-67.66810133217652,192.168.4.9,19712
-68.8390444525085,192.168.4.3,19712
-61.53452313150706,192.168.4.7,19728
-71.92669228444632,192.168.4.11,19728
-67.64173556753303,192.168.4.9,19728
-68.53019248513534,192.168.4.6,19728
-68.84539635734515,192.168.4.3,19728
-60.14380560874534,192.168.4.5,19728
-77.29713327158841,192.168.4.10,19744
-60.17664914326019,192.168.4.5,19744
-67.69455858487474,192.168.4.9,19744
-71.92958527968784,192.168.4.11,19744
-68.8902989895432,192.168.4.3,19744
-68.54902476245314,192.168.4.6,19744
-61.47301163105468,192.168.4.7,19744
-68.81778730207994,192.168.4.3,19760
-60.28356765898403,192.168.4.5,19760
-71.81565346322122,192.168.4.11,19760
-61.335953668649225,192.168.4.7,19760
-67.70627528818697,192.168.4.9,19760
-68.52735820234746,192.168.4.6,19776
-60.27295795546141,192.168.4.5,19776
-71.78436507480723,192.168.4.11,19776
-67.67952908860461,192.168.4.9,19776
-71.75466166427155,192.168.4.11,19792
-68.78681821288315,192.168.4.3,19792
-60.26286016412337,192.168.4.5,19792
-61.28399831877777,192.168.4.7,19792
-67.72893459884632,192.168.4.9,19792
-77.33649682299607,192.168.4.10,19792
-68.54573928137525,192.168.4.6,19792
-61.196384362904126,192.168.4.7,19808
-68.52480477502127,192.168.4.6,19808
-68.75737935516997,192.168.4.3,19808
-60.216635387264965,192.168.4.5,19808
-71.80125608401171,192.168.4.11,19808
-67.73896237713615,192.168.4.9,19808
-60.208784416226834,192.168.4.5,19824
-68.76635484973525,192.168.4.3,19824
-77.37227957928845,192.168.4.10,19824
-67.71191395803142,192.168.4.9,19824
-71.80860840532421,192.168.4.11,19824
-68.58066948750682,192.168.4.6,19824
-68.59635876755901,192.168.4.6,19840
-60.27309518536962,192.168.4.5,19840
-67.75859481815213,192.168.4.9,19840
-61.15107804186664,192.168.4.7,19840
-77.3528950388704,192.168.4.10,19840
-71.77901071575904,192.168.4.11,19840
-68.81151026235611,192.168.4.3,19840
-68.57429710466575,192.168.4.6,19856
-71.75077899127011,192.168.4.11,19856
-77.3855061338088,192.168.4.10,19856
-61.29508572244565,192.168.4.7,19856
-68.81834122146168,192.168.4.3,19856
-67.73135866820733,192.168.4.9,19856
-60.2989657482552,192.168.4.5,19856
-60.323711175448665,192.168.4.5,19872
-68.58987921098586,192.168.4.6,19872
-71.75972687833806,192.168.4.11,19872
-61.28416933773338,192.168.4.7,19872
-68.8248633932623,192.168.4.3,19872
-67.74091962079414,192.168.4.9,19872
-77.26889541117686,192.168.4.10,19872
-61.2005613335037,192.168.4.7,19904
-68.56850170355315,192.168.4.6,19904
-68.83109651004318,192.168.4.3,19904
-77.25611940411828,192.168.4.10,19904
-60.347399564124814,192.168.4.5,19904
-71.73268817727799,192.168.4.11,19904
-67.75006475834618,192.168.4.9,19904
-67.75881924745384,192.168.4.9,19936
-68.83705854257305,192.168.4.3,19936
-60.37009323383509,192.168.4.5,19936
-61.12081192822379,192.168.4.7,19936
-71.74212387208271,192.168.4.11,19936
-68.54809054693655,192.168.4.6,19936
-61.00876410032845,192.168.4.7,19968
-68.52858398888917,192.168.4.6,19968
-60.32277209671349,192.168.4.5,19968
-68.87779292742617,192.168.4.3,19968
-71.78618353644923,192.168.4.11,19968
-77.29053750381075,192.168.4.10,19968
-67.73243190165255,192.168.4.9,19968
-60.93727212925619,192.168.4.7,19984
-67.67259608497424,192.168.4.9,19984
-68.50992578983522,192.168.4.6,19984
-71.79361883672746,192.168.4.11,19984
-60.277375912518906,192.168.4.5,19984
-68.95159101843912,192.168.4.3,19984
-68.49206460410052,192.168.4.6,20016
-68.88418574709833,192.168.4.3,20016
-60.23379938144658,192.168.4.5,20016
-60.9041878695681,192.168.4.7,20016
-71.76620833292552,192.168.4.11,20016
-67.68383225216394,192.168.4.9,20016
-67.72873213182964,192.168.4.9,20048
-60.19194529384619,192.168.4.5,20048
-68.4749534423732,192.168.4.6,20048
-68.81952242115986,192.168.4.3,20048
-60.83748982469553,192.168.4.7,20048
-71.73991284733178,192.168.4.11,20048
-60.11797925672855,192.168.4.5,20064
-61.64294799892176,192.168.4.7,20064
-68.42401057777768,192.168.4.6,20064
-68.92802155495507,192.168.4.3,20064
-77.32255899669111,192.168.4.10,20064
-71.782899587902,192.168.4.11,20064
-67.67008847616628,192.168.4.9,20064
-61.55166420773614,192.168.4.7,20096
-68.44377794508934,192.168.4.6,20096
-71.79026426955338,192.168.4.11,20096
-60.11401776950135,192.168.4.5,20096
-67.61373222194558,192.168.4.9,20096
-68.89654034655099,192.168.4.3,20096
-60.21047353663258,192.168.4.5,20128
-61.46409370434789,192.168.4.7,20128
-71.76359721884795,192.168.4.11,20128
-68.86628706571564,192.168.4.3,20128
-67.59312442676554,192.168.4.9,20128
-68.46275296052636,192.168.4.6,20128
-60.20346967056495,192.168.4.5,20144
-68.87077685566658,192.168.4.3,20144
-71.73795728253145,192.168.4.11,20144
-67.60672308829871,192.168.4.9,20144
-68.41313209714431,192.168.4.6,20144
-77.30833404751549,192.168.4.10,20144
-61.41414746364064,192.168.4.7,20144
-61.4679442250722,192.168.4.7,20160
-68.39919117256117,192.168.4.6,20160
-71.7467153168213,192.168.4.11,20160
-60.196726532968135,192.168.4.5,20160
-68.87509577259755,192.168.4.3,20160
-67.61981004859365,192.168.4.9,20160
-61.51964263863788,192.168.4.7,20176
-68.45294285653449,192.168.4.6,20176
-60.25625915420924,192.168.4.5,20176
-71.75514379683996,192.168.4.11,20176
-68.87925217389153,192.168.4.3,20176
-67.59926907838442,192.168.4.9,20176
-71.76325851518966,192.168.4.11,20192
-60.24782956846163,192.168.4.5,20192
-61.53577199564768,192.168.4.7,20192
-77.38133627059203,192.168.4.10,20192
-68.47122668928992,192.168.4.6,20192
-68.91639459802677,192.168.4.3,20192
-67.67852594500576,192.168.4.9,20192
-67.68910075986678,192.168.4.9,20208
-71.77107421336575,192.168.4.11,20208
-77.23835002836122,192.168.4.10,20208
-61.48444317441884,192.168.4.7,20208
-68.88614107657862,192.168.4.3,20208
-68.48882252346273,192.168.4.6,20208
-60.23970482860633,192.168.4.5,20208
-71.77860467429397,192.168.4.11,20224
-68.47262257814911,192.168.4.6,20224
-60.29723047476392,192.168.4.5,20224
-61.40176908852344,192.168.4.7,20224
-67.6992931491889,192.168.4.9,20224
-68.88988643959237,192.168.4.3,20224
-68.45701958645132,192.168.4.6,20240
-60.320128246426655,192.168.4.5,20240
-71.78586280510422,192.168.4.11,20240
-77.47740602359113,192.168.4.10,20240
-67.67644056689794,192.168.4.9,20240
-68.89349635602973,192.168.4.3,20240
-61.35531340883109,192.168.4.7,20240
-71.79286071130934,192.168.4.11,20256
-67.68698284249818,192.168.4.9,20256
-68.47488080186587,192.168.4.6,20256
-68.83161775569737,192.168.4.3,20256
-61.37659685992875,192.168.4.7,20256
-60.30972693693655,192.168.4.5,20256
-68.83710401832494,192.168.4.3,20272
-68.49209608777525,192.168.4.6,20272
-60.29968999802246,192.168.4.5,20272
-71.79960976340182,192.168.4.11,20272
-67.69715310509523,192.168.4.9,20272
-77.66174245527401,192.168.4.10,20272
-61.36420879311864,192.168.4.7,20272
-61.38505230339978,192.168.4.7,20304
-67.67456132409349,192.168.4.9,20304
-68.50869415678748,192.168.4.6,20304
-60.29000225044994,192.168.4.5,20304
-71.77362958604076,192.168.4.11,20304
-77.75547172338803,192.168.4.10,20304
-69.13481631955068,192.168.4.3,20304
-60.3129004580164,192.168.4.5,20320
-69.13044749332802,192.168.4.3,20352
-77.72565799799285,192.168.4.10,20352
-67.68508142073776,192.168.4.9,20352
-61.405148514634654,192.168.4.7,20352
-71.78096529290352,192.168.4.11,20352
-60.30283099469303,192.168.4.5,20352
-68.49211978605851,192.168.4.6,20352
-68.47613028729315,192.168.4.6,20384
-77.93077759943313,192.168.4.10,20384
-69.09390476573746,192.168.4.3,20384
-61.35936569582286,192.168.4.7,20384
-60.325220870498825,192.168.4.5,20384
-67.66298679215349,192.168.4.9,20384
-71.78804578596626,192.168.4.11,20384
-61.315198448882576,192.168.4.7,20400
-71.82713264106063,192.168.4.11,20400
-68.46070092019974,192.168.4.6,20400
-67.64165118520108,192.168.4.9,20400
-69.05862513506304,192.168.4.3,20400
-77.89507306022465,192.168.4.10,20400
-60.314796259960005,192.168.4.5,20400
-61.27257843455026,192.168.4.7,20416
-68.41348245482813,192.168.4.6,20416
-77.78543846990358,192.168.4.10,20416
-60.3047239331064,192.168.4.5,20416
-69.0889195607603,192.168.4.3,20416
-71.83269569309859,192.168.4.11,20416
-67.58892886697797,192.168.4.9,20416
-71.83806874127598,192.168.4.11,20432
-77.64380602841607,192.168.4.10,20432
-68.4323982901237,192.168.4.6,20432
-61.199115301452885,192.168.4.7,20432
-60.23110562269431,192.168.4.5,20432
-67.57005137592428,192.168.4.9,20432
-69.05394845111209,192.168.4.3,20432
-68.4506643055719,192.168.4.6,20448
-67.58380815649245,192.168.4.9,20448
-71.81120533543377,192.168.4.11,20448
-77.54600121606659,192.168.4.10,20448
-61.16044251539661,192.168.4.7,20448
-60.19184349111735,192.168.4.5,20448
-69.08427313147986,192.168.4.3,20448
-68.46830645242626,192.168.4.6,20464
-61.15527930779207,192.168.4.7,20464
-71.81724607292529,192.168.4.11,20464
-60.21757870859887,192.168.4.5,20464
-77.48941255861605,192.168.4.10,20464
-67.59710230417157,192.168.4.9,20464
-69.04958036422704,192.168.4.3,20464
-61.11817702695978,192.168.4.7,20480
-67.60995142292634,192.168.4.9,20480
-71.8230836637704,192.168.4.11,20480
-77.43543552832035,192.168.4.10,20480
-68.51740326676598,192.168.4.6,20480
-60.2106597271144,192.168.4.5,20480
-69.0799390057819,192.168.4.3,20480
-68.53284459391591,192.168.4.6,20496
-60.20396954610938,192.168.4.5,20496
-67.59052791726916,192.168.4.9,20496
-61.01822716504808,192.168.4.7,20496
-71.82872583804296,192.168.4.11,20496
-77.24028479235145,192.168.4.10,20496
-68.9498225485762,192.168.4.3,20496
-67.5717491877144,192.168.4.9,20512
-60.98564762671782,192.168.4.7,20512
-60.19749980131217,192.168.4.5,20512
-68.88773171989826,192.168.4.3,20512
-68.48388192749525,192.168.4.6,20512
-71.802335603676,192.168.4.11,20512
-77.16055299331032,192.168.4.10,20512
-71.77682141057358,192.168.4.11,20528
-60.15955996130507,192.168.4.5,20528
-67.55359144295856,192.168.4.9,20528
-68.50034184393002,192.168.4.6,20528
-68.85950193871834,192.168.4.3,20528
-77.04899035026912,192.168.4.10,20528
-71.7521509340829,192.168.4.11,20544
-60.92222136500685,192.168.4.7,20544
-60.15451017570688,192.168.4.5,20544
-67.53603198162631,192.168.4.9,20544
-68.86396390908972,192.168.4.3,20544
-68.45256443543823,192.168.4.6,20544
-77.01224733421944,192.168.4.10,20544
-67.51904912484478,192.168.4.9,20560
-68.83655969060497,192.168.4.3,20560
-60.89281009768054,192.168.4.7,20560
-71.76001250084765,192.168.4.11,20560
-60.18124117764887,192.168.4.5,20560
-76.94227300710008,192.168.4.10,20560
-68.43817293100523,192.168.4.6,20560
-71.76761591532134,192.168.4.11,20576
-67.47097395403854,192.168.4.9,20576
-60.89622349028172,192.168.4.7,20576
-60.20710232417099,192.168.4.5,20576
-68.81005535149514,192.168.4.3,20576
-68.42425733232827,192.168.4.6,20576
-68.41080024169455,192.168.4.6,20592
-71.77497045335494,192.168.4.11,20592
-77.01334406911626,192.168.4.10,20592
-68.84771495794973,192.168.4.3,20592
-67.45608364392682,192.168.4.9,20592
-60.20056669926466,192.168.4.5,20592
-67.44167788044685,192.168.4.9,20608
-77.11584304312782,192.168.4.10,20608
-68.39778504500917,192.168.4.6,20608
-71.78208498634581,192.168.4.11,20608
-60.22577355184558,192.168.4.5,20608
-60.89952357306044,192.168.4.7,20608
-68.85252960105699,192.168.4.3,20608
-60.87095629252475,192.168.4.7,20624
-69.17304549859848,192.168.4.3,20624
-71.72579641920169,192.168.4.11,20624
-68.3535476640778,192.168.4.6,20624
-60.1871543507165,192.168.4.5,20624
-77.21423346525562,192.168.4.10,20624
