sender,sequence,rssi
192.168.4.5, 13216, -70
192.168.4.5, 13296, -73
192.168.4.5, 13312, -75
192.168.4.5, 13376, -72
192.168.4.5, 13424, -69
192.168.4.5, 13440, -65
192.168.4.5, 13456, -65
192.168.4.5, 13472, -62
192.168.4.5, 13504, -68
192.168.4.5, 13520, -67
192.168.4.5, 13536, -63
192.168.4.5, 13584, -68
192.168.4.5, 13600, -62
192.168.4.5, 13632, -69
192.168.4.5, 13664, -62
192.168.4.5, 13680, -61
192.168.4.5, 13696, -60
192.168.4.5, 13712, -64
192.168.4.5, 13728, -66
192.168.4.5, 13760, -67
192.168.4.5, 13776, -65
192.168.4.5, 13792, -67
192.168.4.5, 13808, -67
192.168.4.5, 13888, -59
192.168.4.5, 13904, -56
192.168.4.5, 13920, -48
192.168.4.5, 13936, -47
192.168.4.5, 13952, -42
192.168.4.5, 13968, -38
192.168.4.5, 13984, -38
192.168.4.5, 14000, -39
192.168.4.5, 14016, -41
192.168.4.5, 14032, -67
192.168.4.5, 14080, -60
192.168.4.5, 14096, -59
192.168.4.5, 14112, -62
192.168.4.5, 14128, -62
192.168.4.5, 14144, -60
192.168.4.5, 14160, -63
192.168.4.5, 14208, -59
192.168.4.5, 14256, -60
192.168.4.5, 14288, -59
192.168.4.5, 14336, -59
192.168.4.5, 14352, -59
192.168.4.5, 14384, -57
192.168.4.5, 14416, -59
192.168.4.5, 14432, -60
192.168.4.5, 14464, -60
192.168.4.5, 14480, -58
192.168.4.5, 14512, -58
192.168.4.5, 14560, -59
192.168.4.5, 14592, -58
192.168.4.5, 14608, -62
192.168.4.5, 14688, -60
192.168.4.5, 14704, -61
192.168.4.5, 14720, -61
192.168.4.5, 14736, -60
192.168.4.5, 14800, -60
192.168.4.5, 14864, -61
192.168.4.5, 14880, -63
192.168.4.5, 14896, -62
192.168.4.5, 14912, -61
192.168.4.5, 14928, -60
192.168.4.5, 14944, -62
192.168.4.5, 14960, -60
192.168.4.5, 14976, -59
192.168.4.5, 14992, -60
192.168.4.5, 15008, -60
192.168.4.5, 15056, -59
192.168.4.5, 15072, -61
192.168.4.5, 15088, -60
192.168.4.5, 15104, -61
192.168.4.5, 15120, -61
192.168.4.5, 15136, -60
192.168.4.5, 15184, -60
192.168.4.5, 15248, -60
192.168.4.5, 15264, -61
192.168.4.5, 15328, -62
192.168.4.5, 15344, -61
192.168.4.5, 15408, -60
192.168.4.5, 15440, -60
192.168.4.5, 15472, -61
192.168.4.5, 15488, -61
192.168.4.5, 15504, -60
192.168.4.5, 15536, -60
192.168.4.5, 15552, -61
192.168.4.5, 15584, -60
192.168.4.5, 15600, -60
192.168.4.5, 15616, -61
192.168.4.5, 15632, -60
192.168.4.5, 15696, -59
192.168.4.5, 15712, -60
192.168.4.5, 15728, -61
192.168.4.5, 15744, -65
192.168.4.5, 15840, -60
192.168.4.5, 15872, -61
192.168.4.5, 15888, -60
192.168.4.5, 15904, -62
192.168.4.5, 15920, -58
192.168.4.5, 15952, -60
192.168.4.5, 15968, -61
192.168.4.5, 15984, -59
192.168.4.5, 16000, -60
192.168.4.5, 16016, -59
192.168.4.5, 16032, -61
192.168.4.5, 16064, -60
192.168.4.5, 16080, -58
192.168.4.5, 16096, -60
192.168.4.5, 16176, -60
192.168.4.5, 16192, -59
192.168.4.5, 16208, -60
192.168.4.5, 16224, -58
192.168.4.5, 16240, -58
192.168.4.5, 16272, -59
192.168.4.5, 16288, -58
192.168.4.5, 16304, -59
192.168.4.5, 16320, -58
192.168.4.5, 16336, -58
192.168.4.5, 16352, -60
192.168.4.5, 16400, -60
192.168.4.6, 13216, -82
192.168.4.6, 13296, -78
192.168.4.6, 13312, -79
192.168.4.6, 13328, -75
192.168.4.6, 13376, -76
192.168.4.6, 13392, -68
192.168.4.6, 13424, -71
192.168.4.6, 13440, -70
192.168.4.6, 13456, -67
192.168.4.6, 13472, -64
192.168.4.6, 13488, -71
192.168.4.6, 13504, -68
192.168.4.6, 13520, -71
192.168.4.6, 13536, -73
192.168.4.6, 13584, -67
192.168.4.6, 13600, -67
192.168.4.6, 13632, -64
192.168.4.6, 13664, -64
192.168.4.6, 13680, -72
192.168.4.6, 13696, -72
192.168.4.6, 13712, -69
192.168.4.6, 13728, -67
192.168.4.6, 13760, -70
192.168.4.6, 13776, -65
192.168.4.6, 13792, -60
192.168.4.6, 13808, -64
192.168.4.6, 13888, -72
