sender,sequence,rssi
192.168.4.5, 7392, -71
192.168.4.5, 7424, -70
192.168.4.5, 7440, -68
192.168.4.5, 7456, -68
192.168.4.5, 7472, -65
192.168.4.5, 7488, -66
192.168.4.5, 7504, -65
192.168.4.5, 7536, -65
192.168.4.5, 7552, -63
192.168.4.5, 7568, -68
192.168.4.5, 7584, -68
192.168.4.5, 7616, -68
192.168.4.5, 7632, -64
192.168.4.5, 7648, -65
192.168.4.5, 7664, -63
192.168.4.5, 7728, -68
192.168.4.5, 7792, -67
192.168.4.5, 7808, -69
192.168.4.5, 7824, -68
192.168.4.5, 7840, -67
192.168.4.5, 7856, -68
192.168.4.5, 7872, -67
192.168.4.5, 7888, -66
192.168.4.5, 7904, -67
192.168.4.5, 7920, -66
192.168.4.5, 7936, -66
192.168.4.5, 7952, -66
192.168.4.5, 7984, -66
192.168.4.5, 8000, -65
192.168.4.5, 8016, -66
192.168.4.5, 8032, -64
192.168.4.5, 8048, -67
192.168.4.5, 8064, -64
192.168.4.5, 8080, -65
192.168.4.5, 8096, -64
192.168.4.5, 8128, -66
192.168.4.5, 8160, -65
192.168.4.5, 8176, -65
192.168.4.5, 8192, -65
192.168.4.5, 8208, -66
192.168.4.5, 8224, -64
192.168.4.5, 8256, -66
192.168.4.5, 8272, -66
192.168.4.5, 8288, -68
192.168.4.5, 8304, -66
192.168.4.5, 8352, -67
192.168.4.5, 8368, -67
192.168.4.5, 8384, -71
192.168.4.5, 8432, -75
192.168.4.5, 8448, -69
192.168.4.5, 8496, -72
192.168.4.5, 8528, -70
192.168.4.5, 8544, -69
192.168.4.5, 8560, -70
192.168.4.5, 8576, -70
192.168.4.5, 8608, -76
192.168.4.5, 8624, -68
192.168.4.5, 8640, -69
192.168.4.5, 8656, -70
192.168.4.5, 8672, -68
192.168.4.5, 8736, -71
192.168.4.5, 8752, -70
192.168.4.5, 8768, -71
192.168.4.5, 8784, -70
192.168.4.5, 8816, -70
192.168.4.5, 8832, -70
192.168.4.5, 8864, -67
192.168.4.5, 8880, -67
192.168.4.5, 8896, -67
192.168.4.5, 8912, -66
192.168.4.5, 8928, -66
192.168.4.5, 8960, -67
192.168.4.5, 8976, -66
192.168.4.5, 9008, -66
192.168.4.5, 9024, -65
192.168.4.5, 9040, -65
192.168.4.5, 9056, -66
192.168.4.5, 9072, -67
192.168.4.5, 9088, -67
192.168.4.5, 9104, -66
192.168.4.5, 9120, -65
192.168.4.5, 9136, -64
192.168.4.5, 9152, -64
192.168.4.5, 9184, -65
192.168.4.5, 9200, -68
192.168.4.5, 9216, -64
192.168.4.5, 9232, -64
192.168.4.5, 9248, -63
192.168.4.5, 9280, -67
192.168.4.5, 9296, -65
192.168.4.5, 9312, -64
192.168.4.5, 9328, -67
192.168.4.5, 9360, -64
192.168.4.5, 9376, -68
192.168.4.5, 9408, -71
192.168.4.5, 9440, -66
192.168.4.5, 9456, -68
192.168.4.5, 9472, -67
192.168.4.5, 9488, -64
192.168.4.5, 9504, -66
192.168.4.5, 9520, -69
192.168.4.5, 9552, -67
192.168.4.5, 9568, -67
192.168.4.5, 9584, -66
192.168.4.5, 9632, -69
192.168.4.5, 9648, -70
192.168.4.5, 9664, -67
192.168.4.5, 9696, -65
192.168.4.5, 9712, -70
192.168.4.5, 9728, -63
192.168.4.5, 9760, -67
192.168.4.5, 9776, -66
192.168.4.5, 9792, -67
192.168.4.5, 9808, -66
192.168.4.5, 9824, -66
192.168.4.5, 9872, -65
192.168.4.5, 9888, -68
192.168.4.5, 9904, -66
192.168.4.5, 9936, -65
192.168.4.5, 9952, -65
192.168.4.5, 9968, -68
192.168.4.5, 9984, -68
192.168.4.5, 10000, -70
192.168.4.5, 10032, -72
192.168.4.5, 10048, -71
192.168.4.5, 10064, -66
192.168.4.5, 10080, -67
192.168.4.5, 10112, -63
192.168.4.5, 10128, -65
192.168.4.5, 10144, -64
192.168.4.5, 10160, -66
192.168.4.5, 10176, -71
192.168.4.5, 10192, -67
192.168.4.5, 10208, -66
192.168.4.5, 10224, -63
192.168.4.5, 10240, -67
192.168.4.5, 10256, -67
192.168.4.5, 10288, -66
192.168.4.5, 10304, -67
192.168.4.5, 10320, -71
192.168.4.5, 10336, -67
192.168.4.5, 10352, -67
192.168.4.5, 10368, -66
192.168.4.5, 10400, -67
192.168.4.5, 10416, -67
192.168.4.5, 10432, -68
192.168.4.5, 10464, -65
192.168.4.5, 10480, -64
192.168.4.5, 10496, -66
192.168.4.5, 10512, -74
192.168.4.5, 10528, -67
192.168.4.5, 10544, -65
192.168.4.5, 10560, -65
192.168.4.5, 10576, -63
192.168.4.5, 10592, -66
192.168.4.5, 10608, -65
192.168.4.5, 10624, -65
192.168.4.5, 10656, -67
192.168.4.5, 10672, -66
192.168.4.5, 10704, -65
192.168.4.5, 10720, -66
192.168.4.5, 10736, -67
192.168.4.5, 10752, -66
192.168.4.5, 10768, -68
192.168.4.5, 10816, -69
192.168.4.5, 10832, -78
192.168.4.5, 10848, -68
192.168.4.5, 10864, -70
192.168.4.5, 10880, -65
192.168.4.5, 10896, -64
192.168.4.5, 10928, -68
192.168.4.5, 10944, -70
192.168.4.5, 10960, -67
192.168.4.5, 10992, -67
192.168.4.5, 11008, -68
192.168.4.5, 11024, -68
192.168.4.5, 11040, -64
192.168.4.5, 11056, -64
192.168.4.5, 11072, -65
192.168.4.5, 11088, -63
192.168.4.5, 11104, -62
192.168.4.5, 11136, -64
192.168.4.5, 11168, -65
192.168.4.5, 11184, -64
192.168.4.5, 11200, -63
192.168.4.5, 11232, -63
192.168.4.5, 11248, -66
