rssi,node,sequence
-65.0,192.168.4.11,1008
-56.0,192.168.4.10,1008
-54.99950024987506,192.168.4.10,1024
-63.99950024987506,192.168.4.11,1024
-64.33355548150617,192.168.4.11,1040
-55.33355548150617,192.168.4.10,1040
-55.24987518715686,192.168.4.10,1056
-64.75162256646209,192.168.4.11,1056
-64.60039808542558,192.168.4.11,1072
-55.19960095752647,192.168.4.10,1072
-64.83579688869845,192.168.4.11,1136
-55.16603010709781,192.168.4.10,1136
-64.71485131815908,192.168.4.11,1168
-55.28671129875287,192.168.4.10,1168
-55.37742479694805,192.168.4.10,1184
-54.99370272160733,192.168.4.10,1232
-54.685865466315306,192.168.4.10,1248
-54.433227661126935,192.168.4.10,1264
-54.22199996068144,192.168.4.10,1280
-54.12335823967834,192.168.4.10,1296
-54.03849114230112,192.168.4.10,1328
-53.46691611312383,192.168.4.10,1344
-53.502768848776725,192.168.4.10,1360
-53.59843325702173,192.168.4.10,1376
-53.56196498103382,192.168.4.10,1392
-53.52918733561522,192.168.4.10,1408
-53.61155915318066,192.168.4.10,1424
-53.68643783073647,192.168.4.10,1440
-53.70276496464823,192.168.4.10,1456
-53.76813960622326,192.168.4.10,1472
-53.97500568449566,192.168.4.10,1488
-54.11873200752169,192.168.4.10,1504
-54.29831172695231,192.168.4.10,1520
-54.37511719477151,192.168.4.10,1536
-54.4026747152136,192.168.4.10,1552
-54.471605757181145,192.168.4.10,1568
-54.53623681778536,192.168.4.10,1616
-54.51398787403043,192.168.4.10,1632
-54.49303823956816,192.168.4.10,1648
-54.51335984822681,192.168.4.10,1664
-54.53256447945532,192.168.4.10,1680
-54.628523253149005,192.168.4.10,1696
-77.0,192.168.4.9,1696
-54.68113296927377,192.168.4.10,1728
-75.99950024987507,192.168.4.9,1728
-54.65533889344665,192.168.4.10,1744
-76.33355548150617,192.168.4.9,1744
-76.24987518715686,192.168.4.9,1760
-76.40079832410945,192.168.4.9,1776
-76.33338812348977,192.168.4.9,1808
-76.14043767161976,192.168.4.9,1840
-75.99540089971336,192.168.4.9,1856
-75.99592342098705,192.168.4.9,1872
-76.09917087303212,192.168.4.9,1888
-75.90171871888319,192.168.4.9,1904
-75.73663113653267,192.168.4.9,1920
-75.5964475935155,192.168.4.9,1936
-75.55138736765755,192.168.4.9,1952
-75.4410763323853,192.168.4.9,1968
-75.41141159567673,192.168.4.9,1984
-75.57680741828378,192.168.4.9,2000
-75.72447577528936,192.168.4.9,2016
-75.74054623456458,192.168.4.9,2032
-75.81108104726417,192.168.4.9,2048
-75.65947931946748,192.168.4.9,2080
-75.67721017891343,192.168.4.9,2128
-75.54229117726926,192.168.4.9,2144
-75.41801632962976,192.168.4.9,2160
-75.35064222846073,192.168.4.9,2176
-75.24188197982889,192.168.4.9,2192
-75.36636926001707,192.168.4.9,2208
-75.48251317107805,192.168.4.9,2224
-75.67746098612744,192.168.4.9,2256
-75.86024777839802,192.168.4.9,2272
-75.99051889792194,192.168.4.9,2288
-76.07242334873567,192.168.4.9,2304
-75.98935006874667,192.168.4.9,2320
-75.95030663355756,192.168.4.9,2336
-75.95223921273332,192.168.4.9,2352
-75.95407131194008,192.168.4.9,2368
-75.955810602381,192.168.4.9,2384
-76.10712422767877,192.168.4.9,2400
-76.17714916813314,192.168.4.9,2432
