sender, sequence, rssi
192.168.4.11, 52304, -64
192.168.4.11, 52352, -62
192.168.4.11, 52368, -61
192.168.4.11, 52384, -63
192.168.4.11, 52400, -60
192.168.4.11, 52416, -63
192.168.4.11, 52432, -63
192.168.4.11, 52448, -63
192.168.4.11, 52464, -64
192.168.4.11, 52480, -66
192.168.4.11, 52496, -65
192.168.4.11, 52512, -67
192.168.4.11, 52528, -63
192.168.4.11, 52544, -68
192.168.4.11, 52560, -61
192.168.4.11, 52576, -71
192.168.4.11, 52592, -64
192.168.4.11, 52608, -66
192.168.4.11, 52624, -64
192.168.4.11, 52640, -70
192.168.4.11, 52656, -62
192.168.4.11, 52672, -62
192.168.4.11, 52688, -61
192.168.4.11, 52704, -66
192.168.4.11, 52720, -65
192.168.4.11, 52736, -63
192.168.4.11, 52752, -61
192.168.4.11, 52768, -62
192.168.4.11, 52784, -62
192.168.4.11, 52800, -62
192.168.4.11, 52832, -63
192.168.4.11, 52864, -61
192.168.4.11, 52880, -62
192.168.4.11, 52896, -62
192.168.4.11, 52912, -64
192.168.4.11, 52928, -64
192.168.4.11, 52944, -76
192.168.4.11, 52960, -63
192.168.4.11, 52976, -62
192.168.4.11, 52992, -62
192.168.4.11, 53008, -63
192.168.4.11, 53072, -62
192.168.4.11, 53104, -63
192.168.4.11, 53120, -64
192.168.4.11, 53136, -63
192.168.4.11, 53152, -64
192.168.4.11, 53168, -62
192.168.4.11, 53184, -63
192.168.4.11, 53200, -76
192.168.4.11, 53216, -64
192.168.4.11, 53232, -63
192.168.4.11, 53248, -65
192.168.4.11, 53264, -64
192.168.4.11, 53296, -64
192.168.4.11, 53312, -64
192.168.4.11, 53328, -64
192.168.4.11, 53344, -65
192.168.4.11, 53360, -64
192.168.4.11, 53376, -66
192.168.4.11, 53392, -66
192.168.4.11, 53440, -64
192.168.4.11, 53456, -65
192.168.4.11, 53488, -64
192.168.4.11, 53504, -63
192.168.4.11, 53520, -75
192.168.4.11, 53536, -77
192.168.4.11, 53552, -63
192.168.4.11, 53568, -65
192.168.4.11, 53584, -63
192.168.4.11, 53600, -64
192.168.4.11, 53616, -64
192.168.4.11, 53632, -65
192.168.4.11, 53648, -65
192.168.4.11, 53664, -64
192.168.4.11, 53680, -64
192.168.4.11, 53696, -65
192.168.4.11, 53712, -63
192.168.4.11, 53728, -64
192.168.4.11, 53744, -65
192.168.4.11, 53760, -63
192.168.4.11, 53776, -65
192.168.4.11, 53792, -65
192.168.4.11, 53808, -64
192.168.4.11, 53824, -65
192.168.4.11, 53840, -65
192.168.4.11, 53856, -65
192.168.4.11, 53872, -64
192.168.4.11, 53888, -63
192.168.4.11, 53920, -66
192.168.4.11, 53968, -66
192.168.4.11, 54000, -68
192.168.4.11, 54016, -67
192.168.4.11, 54032, -66
192.168.4.11, 54048, -68
192.168.4.11, 54064, -66
192.168.4.11, 54080, -66
192.168.4.11, 54096, -66
192.168.4.11, 54112, -67
192.168.4.11, 54128, -66
192.168.4.11, 54144, -66
192.168.4.11, 54160, -64
192.168.4.11, 54176, -64
192.168.4.11, 54192, -63
192.168.4.11, 54208, -64
192.168.4.11, 54224, -64
192.168.4.11, 54240, -64
192.168.4.11, 54256, -64
192.168.4.11, 54272, -65
192.168.4.11, 54288, -65
192.168.4.11, 54304, -66
192.168.4.11, 54320, -65
192.168.4.11, 54336, -66
192.168.4.11, 54352, -67
192.168.4.11, 54368, -66
192.168.4.11, 54384, -64
192.168.4.11, 54400, -67
192.168.4.11, 54416, -65
192.168.4.11, 54432, -66
192.168.4.11, 54480, -65
192.168.4.11, 54496, -65
192.168.4.11, 54512, -66
192.168.4.11, 54528, -66
192.168.4.11, 54544, -67
192.168.4.11, 54560, -65
192.168.4.11, 54576, -65
192.168.4.11, 54592, -69
192.168.4.11, 54608, -68
192.168.4.11, 54624, -69
192.168.4.11, 54640, -67
192.168.4.11, 54656, -64
192.168.4.11, 54672, -65
192.168.4.11, 54688, -65
192.168.4.11, 54704, -64
192.168.4.11, 54720, -64
192.168.4.11, 54736, -65
192.168.4.11, 54752, -63
192.168.4.11, 54768, -64
192.168.4.11, 54784, -65
192.168.4.11, 54800, -66
192.168.4.11, 54832, -63
192.168.4.11, 54848, -65
192.168.4.11, 54880, -65
192.168.4.11, 54912, -65
192.168.4.11, 54928, -65
192.168.4.11, 54944, -66
192.168.4.11, 54960, -64
192.168.4.11, 54976, -65
192.168.4.11, 55008, -66
192.168.4.11, 55024, -67
192.168.4.11, 55040, -67
192.168.4.11, 55056, -67
192.168.4.11, 55072, -65
192.168.4.11, 55088, -64
192.168.4.11, 55120, -65
192.168.4.11, 55136, -65
192.168.4.11, 55152, -65
192.168.4.11, 55168, -64
192.168.4.11, 55184, -66
192.168.4.11, 55200, -66
192.168.4.11, 55216, -66
192.168.4.11, 55232, -66
192.168.4.11, 55248, -65
192.168.4.11, 55280, -66
192.168.4.11, 55296, -65
192.168.4.11, 55312, -66
192.168.4.11, 55328, -65
192.168.4.11, 55344, -64
192.168.4.11, 55360, -64
192.168.4.11, 55376, -65
192.168.4.11, 55392, -65
192.168.4.11, 55408, -66
192.168.4.11, 55424, -65
192.168.4.11, 55440, -65
192.168.4.11, 55456, -66
192.168.4.11, 55472, -66
192.168.4.11, 55488, -66
192.168.4.11, 55536, -65
192.168.4.11, 55552, -65
192.168.4.11, 55568, -65
192.168.4.11, 55584, -66
192.168.4.11, 55632, -67
192.168.4.11, 55664, -66
192.168.4.11, 55680, -65
192.168.4.11, 55696, -66
192.168.4.11, 55712, -65
192.168.4.11, 55728, -64
192.168.4.11, 55744, -65
192.168.4.11, 55760, -66
192.168.4.11, 55776, -64
192.168.4.11, 55824, -64
192.168.4.11, 55856, -65
192.168.4.11, 55872, -67
192.168.4.11, 55888, -64
192.168.4.11, 55920, -67
192.168.4.11, 55952, -65
192.168.4.11, 56000, -67
192.168.4.11, 56032, -69
192.168.4.11, 56064, -68
192.168.4.11, 56080, -67
192.168.4.11, 56096, -69
192.168.4.11, 56112, -69
192.168.4.11, 56128, -66
192.168.4.11, 56144, -66
192.168.4.11, 56160, -65
192.168.4.11, 56208, -66
192.168.4.11, 56224, -65
192.168.4.11, 56240, -65
192.168.4.11, 56256, -65
192.168.4.11, 56288, -65
192.168.4.11, 56304, -65
192.168.4.11, 56320, -64
192.168.4.11, 56336, -65
192.168.4.11, 56352, -66
192.168.4.11, 56368, -66
192.168.4.11, 56384, -66
192.168.4.11, 56400, -66
192.168.4.11, 56416, -65
192.168.4.11, 56432, -67
192.168.4.11, 56448, -67
192.168.4.11, 56464, -66
192.168.4.11, 56480, -67
192.168.4.11, 56496, -67
192.168.4.11, 56512, -65
192.168.4.11, 56528, -64
192.168.4.11, 56544, -64
192.168.4.11, 56560, -66
