sender, sequence, rssi
192.168.4.5, 23536, -83
192.168.4.5, 23568, -86
192.168.4.5, 23584, -84
192.168.4.5, 23600, -82
192.168.4.5, 23648, -73
192.168.4.5, 23664, -65
192.168.4.5, 23680, -60
192.168.4.5, 23696, -56
192.168.4.5, 23712, -61
192.168.4.5, 23728, -55
192.168.4.5, 23744, -47
192.168.4.5, 23760, -47
192.168.4.5, 23776, -55
192.168.4.5, 23792, -54
192.168.4.5, 23808, -50
192.168.4.5, 23824, -57
192.168.4.5, 23840, -55
192.168.4.5, 23872, -56
192.168.4.5, 23920, -53
192.168.4.5, 23936, -54
192.168.4.5, 23952, -52
192.168.4.5, 23968, -54
192.168.4.5, 23984, -53
192.168.4.5, 24000, -54
192.168.4.5, 24016, -55
192.168.4.5, 24032, -49
192.168.4.5, 24048, -53
192.168.4.5, 24064, -50
192.168.4.5, 24096, -49
192.168.4.5, 24112, -53
192.168.4.5, 24128, -54
192.168.4.5, 24144, -53
192.168.4.5, 24176, -56
192.168.4.5, 24192, -53
192.168.4.5, 24208, -53
192.168.4.5, 24224, -54
192.168.4.5, 24240, -54
192.168.4.5, 24256, -54
192.168.4.5, 24304, -49
192.168.4.5, 24336, -54
192.168.4.5, 24352, -52
192.168.4.5, 24368, -52
192.168.4.5, 24384, -54
192.168.4.5, 24400, -53
192.168.4.5, 24416, -54
192.168.4.5, 24432, -55
192.168.4.5, 24448, -54
192.168.4.5, 24464, -53
192.168.4.5, 24480, -54
192.168.4.5, 24496, -54
192.168.4.5, 24512, -55
192.168.4.5, 24544, -54
192.168.4.5, 24560, -52
192.168.4.5, 24592, -56
192.168.4.5, 24608, -53
192.168.4.5, 24624, -53
192.168.4.5, 24640, -55
192.168.4.5, 24656, -55
192.168.4.5, 24720, -54
192.168.4.5, 24736, -55
192.168.4.5, 24752, -55
192.168.4.5, 24784, -58
192.168.4.5, 24816, -59
192.168.4.5, 24832, -53
192.168.4.5, 24848, -56
192.168.4.5, 24864, -57
192.168.4.5, 24896, -57
192.168.4.5, 24912, -56
192.168.4.5, 24928, -52
192.168.4.5, 24944, -54
192.168.4.5, 24960, -56
192.168.4.5, 24976, -55
192.168.4.5, 25008, -56
192.168.4.5, 25040, -57
192.168.4.5, 25072, -56
192.168.4.5, 25088, -52
192.168.4.5, 25104, -57
192.168.4.5, 25120, -57
192.168.4.5, 25136, -52
192.168.4.5, 25152, -56
192.168.4.5, 25168, -57
192.168.4.5, 25184, -57
192.168.4.5, 25216, -56
192.168.4.5, 25232, -58
192.168.4.5, 25248, -57
192.168.4.5, 25264, -57
192.168.4.5, 25328, -57
192.168.4.5, 25344, -57
192.168.4.5, 25376, -59
192.168.4.5, 25408, -57
192.168.4.5, 25424, -58
192.168.4.5, 25440, -57
192.168.4.5, 25456, -57
192.168.4.5, 25488, -53
192.168.4.5, 25504, -53
192.168.4.5, 25520, -54
192.168.4.5, 25536, -54
192.168.4.5, 25552, -55
192.168.4.5, 25584, -51
192.168.4.5, 25600, -55
192.168.4.5, 25616, -55
192.168.4.5, 25632, -55
192.168.4.5, 25648, -55
192.168.4.5, 25664, -53
192.168.4.5, 25680, -53
192.168.4.5, 25696, -55
192.168.4.5, 25712, -53
192.168.4.5, 25728, -54
192.168.4.5, 25760, -51
192.168.4.5, 25792, -55
192.168.4.5, 25824, -54
192.168.4.5, 25840, -50
192.168.4.5, 25872, -54
192.168.4.5, 25888, -51
192.168.4.5, 25904, -54
192.168.4.5, 25952, -53
192.168.4.5, 25968, -55
192.168.4.5, 25984, -55
192.168.4.5, 26000, -49
192.168.4.5, 26016, -56
192.168.4.5, 26032, -53
192.168.4.5, 26048, -54
192.168.4.5, 26064, -50
192.168.4.5, 26080, -54
192.168.4.5, 26096, -54
192.168.4.5, 26128, -55
192.168.4.5, 26160, -54
192.168.4.5, 26176, -54
192.168.4.5, 26192, -53
192.168.4.5, 26208, -54
192.168.4.5, 26224, -54
192.168.4.5, 26240, -54
192.168.4.5, 26256, -50
192.168.4.5, 26272, -54
192.168.4.5, 26288, -53
192.168.4.5, 26320, -54
192.168.4.5, 26336, -53
192.168.4.5, 26352, -62
192.168.4.5, 26368, -55
192.168.4.5, 26432, -55
192.168.4.5, 26448, -54
192.168.4.5, 26464, -49
192.168.4.5, 26496, -49
192.168.4.5, 26512, -54
192.168.4.5, 26528, -51
192.168.4.5, 26544, -54
192.168.4.5, 26560, -55
192.168.4.5, 26576, -50
192.168.4.5, 26592, -49
192.168.4.5, 26608, -62
192.168.4.5, 26624, -51
192.168.4.5, 26640, -54
192.168.4.5, 26672, -55
192.168.4.5, 26688, -49
192.168.4.5, 26704, -55
192.168.4.5, 26720, -54
192.168.4.5, 26736, -53
192.168.4.5, 26752, -54
192.168.4.5, 26768, -54
192.168.4.5, 26784, -55
192.168.4.5, 26800, -49
192.168.4.5, 26832, -50
192.168.4.5, 26864, -53
192.168.4.5, 26880, -50
192.168.4.5, 26912, -69
192.168.4.5, 26928, -55
192.168.4.5, 26944, -53
192.168.4.5, 26976, -52
192.168.4.5, 26992, -52
192.168.4.5, 27008, -52
192.168.4.5, 27040, -57
192.168.4.5, 27056, -52
192.168.4.5, 27072, -67
192.168.4.5, 27088, -56
192.168.4.5, 27104, -57
192.168.4.5, 27136, -58
192.168.4.5, 27152, -57
192.168.4.5, 27168, -57
192.168.4.5, 27184, -54
192.168.4.5, 27216, -55
192.168.4.5, 27264, -55
192.168.4.5, 27280, -56
192.168.4.5, 27296, -56
192.168.4.5, 27312, -51
192.168.4.5, 27344, -55
192.168.4.5, 27360, -55
192.168.4.5, 27376, -65
192.168.4.5, 27392, -55
192.168.4.5, 27408, -56
192.168.4.5, 27456, -50
192.168.4.5, 27488, -51
192.168.4.5, 27504, -56
192.168.4.5, 27520, -55
192.168.4.5, 27536, -56
192.168.4.5, 27552, -56
192.168.4.5, 27600, -58
192.168.4.5, 27616, -59
192.168.4.5, 27632, -55
192.168.4.5, 27664, -65
192.168.4.5, 27680, -55
192.168.4.5, 27696, -56
192.168.4.5, 27712, -57
192.168.4.5, 27728, -57
192.168.4.5, 27744, -57
192.168.4.5, 27760, -58
192.168.4.5, 27776, -56
192.168.4.5, 27808, -56
192.168.4.5, 27840, -56
192.168.4.5, 27856, -55
192.168.4.5, 27872, -56
192.168.4.5, 27888, -56
192.168.4.5, 27904, -55
192.168.4.5, 27920, -55
192.168.4.5, 27936, -56
192.168.4.5, 27952, -57
192.168.4.5, 27968, -56
192.168.4.5, 27984, -55
192.168.4.5, 28000, -56
192.168.4.5, 28016, -54
192.168.4.5, 28048, -55
192.168.4.5, 28064, -57
192.168.4.5, 28080, -56
192.168.4.5, 28096, -55
192.168.4.5, 28128, -56
192.168.4.5, 28144, -56
192.168.4.5, 28160, -58
192.168.4.5, 28176, -59
192.168.4.5, 28192, -58
192.168.4.5, 28224, -55
192.168.4.5, 28256, -55
192.168.4.5, 28272, -57
192.168.4.5, 28288, -55
192.168.4.5, 28304, -55
192.168.4.5, 28320, -57
192.168.4.5, 28336, -58
192.168.4.5, 28352, -55
192.168.4.5, 28368, -56
192.168.4.5, 28400, -56
192.168.4.5, 28416, -56
192.168.4.5, 28432, -55
192.168.4.5, 28448, -56
192.168.4.5, 28464, -55
192.168.4.5, 28480, -55
192.168.4.5, 28496, -54
192.168.4.5, 28512, -57
192.168.4.5, 28528, -55
192.168.4.5, 28544, -54
192.168.4.5, 28560, -57
192.168.4.5, 28576, -56
192.168.4.5, 28592, -56
192.168.4.5, 28608, -55
192.168.4.5, 28672, -56
192.168.4.5, 28720, -55
192.168.4.5, 28752, -56
192.168.4.5, 28768, -55
192.168.4.5, 28784, -54
192.168.4.5, 28800, -54
192.168.4.5, 28816, -55
192.168.4.5, 28832, -56
192.168.4.5, 28848, -56
192.168.4.5, 28864, -53
192.168.4.5, 28896, -54
192.168.4.5, 28912, -56
192.168.4.5, 28928, -57
192.168.4.5, 28944, -56
192.168.4.5, 28960, -56
192.168.4.5, 28976, -56
192.168.4.5, 28992, -54
192.168.4.5, 29008, -55
192.168.4.5, 29024, -54
192.168.4.5, 29040, -57
192.168.4.5, 29056, -50
192.168.4.5, 29072, -54
192.168.4.5, 29104, -56
192.168.4.5, 29120, -55
192.168.4.5, 29152, -56
192.168.4.5, 29168, -54
192.168.4.5, 29200, -56
192.168.4.5, 29248, -55
192.168.4.5, 29280, -55
192.168.4.5, 29296, -55
192.168.4.5, 29312, -56
192.168.4.5, 29328, -54
192.168.4.5, 29344, -55
192.168.4.5, 29360, -55
192.168.4.5, 29376, -51
192.168.4.5, 29392, -55
192.168.4.5, 29408, -55
192.168.4.5, 29424, -55
192.168.4.5, 29456, -56
192.168.4.5, 29472, -54
192.168.4.5, 29488, -55
192.168.4.5, 29504, -54
192.168.4.5, 29520, -55
192.168.4.5, 29536, -55
192.168.4.5, 29552, -50
192.168.4.5, 29568, -55
192.168.4.5, 29584, -56
192.168.4.5, 29632, -56
192.168.4.5, 29648, -55
192.168.4.5, 29664, -55
192.168.4.5, 29680, -55
192.168.4.5, 29696, -56
192.168.4.5, 29712, -55
192.168.4.5, 29728, -56
192.168.4.5, 29744, -55
192.168.4.5, 29808, -55
192.168.4.5, 29824, -55
192.168.4.5, 29840, -56
192.168.4.5, 29856, -56
192.168.4.5, 29872, -54
192.168.4.5, 29888, -55
192.168.4.5, 29904, -54
192.168.4.5, 29920, -56
192.168.4.5, 29936, -53
192.168.4.5, 29952, -57
192.168.4.5, 29984, -53
192.168.4.5, 30032, -55
192.168.4.5, 30048, -55
192.168.4.5, 30064, -54
192.168.4.5, 30096, -49
192.168.4.5, 30112, -54
192.168.4.5, 30144, -54
192.168.4.5, 30192, -56
192.168.4.5, 30208, -57
192.168.4.5, 30224, -50
192.168.4.5, 30256, -55
192.168.4.5, 30272, -54
192.168.4.5, 30304, -55
192.168.4.5, 30320, -62
192.168.4.5, 30336, -54
192.168.4.5, 30352, -56
192.168.4.5, 30368, -50
192.168.4.5, 30400, -58
192.168.4.5, 30432, -57
192.168.4.5, 30448, -56
192.168.4.5, 30464, -56
192.168.4.5, 30480, -57
192.168.4.5, 30496, -49
192.168.4.5, 30512, -55
192.168.4.5, 30528, -54
192.168.4.5, 30576, -49
192.168.4.5, 30624, -53
192.168.4.5, 30640, -53
192.168.4.5, 30656, -55
192.168.4.5, 30672, -56
192.168.4.5, 30688, -56
192.168.4.5, 30704, -54
192.168.4.5, 30720, -55
192.168.4.5, 30736, -55
192.168.4.5, 30752, -55
192.168.4.5, 30784, -56
192.168.4.5, 30800, -55
192.168.4.5, 30816, -54
