distance,rssi
0.10,-40.00
0.10,-46.00
0.10,-46.00
0.10,-39.00
0.10,-40.00
0.10,-46.00
0.10,-47.00
0.10,-40.00
0.10,-40.00
0.10,-40.00
0.10,-46.00
0.10,-46.00
0.10,-40.00
0.10,-46.00
0.10,-41.00
0.10,-46.00
0.10,-46.00
0.10,-47.00
0.10,-46.00
0.10,-47.00
0.10,-46.00
0.10,-40.00
0.10,-40.00
0.10,-46.00
0.10,-46.00
0.10,-40.00
0.10,-40.00
0.10,-46.00
0.10,-40.00
0.10,-45.00
0.10,-45.00
0.10,-45.00
0.10,-40.00
0.10,-41.00
0.10,-46.00
0.10,-40.00
0.10,-40.00
0.10,-46.00
0.10,-46.00
0.10,-47.00
0.10,-40.00
0.10,-46.00
0.10,-40.00
0.10,-40.00
0.10,-41.00
0.10,-47.00
0.10,-41.00
0.10,-46.00
0.10,-46.00
0.10,-47.00
0.10,-40.00
0.10,-45.00
0.10,-41.00
0.10,-40.00
0.10,-40.00
0.10,-46.00
0.10,-46.00
0.10,-40.00
0.10,-40.00
0.10,-46.00
0.10,-46.00
0.10,-40.00
0.10,-45.00
0.10,-46.00
0.10,-40.00
0.10,-40.00
0.10,-46.00
0.10,-46.00
0.10,-45.00
0.10,-45.00
0.10,-46.00
0.10,-47.00
0.10,-46.00
0.10,-46.00
0.10,-46.00
0.10,-41.00
0.10,-40.00
0.10,-39.00
0.10,-46.00
0.10,-45.00
0.10,-40.00
0.10,-40.00
0.10,-40.00
0.10,-40.00
0.10,-47.00
0.10,-46.00
0.10,-46.00
0.10,-46.00
0.10,-39.00
0.10,-47.00
0.10,-40.00
0.10,-45.00
0.10,-40.00
0.10,-46.00
0.10,-40.00
0.10,-46.00
0.10,-46.00
0.10,-45.00
0.10,-46.00
0.10,-46.00
0.10,-40.00
0.10,-45.00
0.10,-46.00
0.10,-47.00
0.10,-40.00
0.10,-45.00
0.10,-46.00
0.10,-45.00
0.10,-46.00
0.10,-40.00
0.10,-46.00
0.10,-45.00
0.10,-39.00
0.10,-41.00
0.10,-40.00
0.10,-46.00
0.10,-46.00
0.10,-40.00
0.10,-40.00
0.10,-46.00
0.10,-46.00
0.10,-45.00
0.10,-39.00
0.10,-46.00
0.10,-40.00
0.10,-40.00
0.10,-40.00
0.10,-46.00
0.10,-47.00
0.10,-46.00
0.10,-40.00
0.10,-46.00
0.10,-45.00
0.10,-40.00
0.10,-41.00
0.10,-46.00
0.10,-47.00
0.10,-46.00
0.10,-46.00
0.10,-45.00
0.10,-46.00
0.10,-45.00
0.10,-46.00
0.10,-46.00
0.10,-40.00
0.10,-46.00
0.10,-46.00
0.10,-40.00
0.10,-40.00
0.10,-45.00
0.10,-46.00
0.10,-45.00
0.10,-46.00
0.10,-46.00
0.10,-46.00
0.10,-45.00
0.10,-46.00
0.10,-40.00
0.10,-45.00
0.10,-46.00
0.10,-40.00
0.10,-46.00
0.10,-45.00
0.10,-45.00
0.10,-47.00
0.10,-46.00
0.10,-45.00
0.10,-40.00
0.10,-46.00
0.10,-46.00
0.10,-45.00
0.10,-40.00
0.10,-45.00
0.10,-39.00
0.10,-41.00
0.10,-47.00
0.10,-45.00
0.10,-45.00
0.10,-47.00
0.10,-40.00
0.10,-46.00
0.10,-46.00
0.10,-40.00
0.10,-40.00
0.10,-46.00
0.10,-40.00
0.10,-40.00
0.10,-46.00
0.10,-40.00
0.10,-41.00
0.10,-40.00
0.10,-46.00
0.10,-46.00
0.10,-47.00
0.10,-46.00
0.10,-41.00
0.10,-46.00
1.00,-56.00
1.00,-57.00
1.00,-56.00
1.00,-57.00
1.00,-55.00
1.00,-56.00
1.00,-56.00
1.00,-56.00
1.00,-55.00
1.00,-56.00
1.00,-57.00
1.00,-55.00
1.00,-55.00
1.00,-57.00
1.00,-56.00
1.00,-55.00
1.00,-56.00
1.00,-57.00
1.00,-56.00
1.00,-57.00
1.00,-57.00
1.00,-56.00
1.00,-57.00
1.00,-57.00
1.00,-56.00
1.00,-55.00
1.00,-57.00
1.00,-56.00
1.00,-56.00
1.00,-56.00
1.00,-57.00
1.00,-55.00
1.00,-56.00
1.00,-57.00
1.00,-57.00
1.00,-56.00
1.00,-56.00
1.00,-55.00
1.00,-55.00
1.00,-56.00
1.00,-56.00
1.00,-56.00
1.00,-57.00
1.00,-56.00
1.00,-55.00
1.00,-57.00
1.00,-57.00
1.00,-56.00
1.00,-55.00
1.00,-56.00
1.00,-55.00
1.00,-56.00
1.00,-57.00
1.00,-56.00
1.00,-56.00
1.00,-56.00
1.00,-56.00
1.00,-56.00
1.00,-57.00
1.00,-56.00
1.00,-57.00
1.00,-57.00
1.00,-57.00
1.00,-57.00
1.00,-56.00
1.00,-56.00
1.00,-57.00
1.00,-56.00
1.00,-56.00
1.00,-57.00
1.00,-56.00
1.00,-56.00
1.00,-55.00
1.00,-57.00
1.00,-56.00
1.00,-57.00
1.00,-57.00
1.00,-56.00
1.00,-55.00
1.00,-56.00
1.00,-56.00
1.00,-55.00
1.00,-56.00
1.00,-57.00
1.00,-56.00
1.00,-56.00
1.00,-55.00
1.00,-57.00
1.00,-55.00
1.00,-57.00
1.00,-57.00
1.00,-57.00
1.00,-56.00
1.00,-57.00
1.00,-56.00
1.00,-56.00
1.00,-56.00
1.00,-56.00
1.00,-55.00
1.00,-56.00
1.00,-57.00
1.00,-55.00
1.00,-55.00
1.00,-57.00
1.00,-56.00
1.00,-56.00
1.00,-57.00
1.00,-56.00
1.00,-56.00
1.00,-56.00
1.00,-55.00
1.00,-56.00
1.00,-55.00
1.00,-55.00
1.00,-56.00
1.00,-57.00
1.00,-56.00
1.00,-56.00
1.00,-57.00
1.00,-56.00
1.00,-55.00
1.00,-56.00
1.00,-55.00
1.00,-57.00
1.00,-57.00
1.00,-56.00
1.00,-57.00
1.00,-55.00
1.00,-56.00
1.00,-56.00
1.00,-55.00
1.00,-57.00
1.00,-57.00
1.00,-57.00
1.00,-57.00
1.00,-56.00
1.00,-57.00
1.00,-57.00
1.00,-56.00
1.00,-55.00
1.00,-57.00
1.00,-57.00
1.00,-56.00
1.00,-55.00
1.00,-55.00
1.00,-55.00
1.00,-57.00
1.00,-56.00
1.00,-58.00
1.00,-57.00
1.00,-57.00
1.00,-56.00
1.00,-56.00
1.00,-55.00
1.00,-56.00
1.00,-56.00
1.00,-55.00
1.00,-57.00
1.00,-57.00
1.00,-56.00
1.00,-56.00
1.00,-56.00
1.00,-57.00
1.00,-55.00
1.00,-56.00
1.00,-56.00
1.00,-55.00
1.00,-56.00
1.00,-56.00
1.00,-56.00
1.00,-57.00
1.00,-55.00
1.00,-56.00
1.00,-56.00
1.00,-57.00
1.00,-57.00
1.00,-56.00
1.00,-56.00
1.00,-55.00
1.00,-56.00
1.00,-56.00
1.00,-56.00
1.00,-55.00
1.00,-56.00
1.00,-55.00
1.00,-56.00
1.00,-55.00
1.00,-56.00
1.00,-55.00
1.00,-56.00
