sender,sequence,rssi
192.168.4.6,47008,-37
192.168.4.6,47024,-39
192.168.4.6,47040,-38
192.168.4.6,47056,-39
192.168.4.6,47072,-38
192.168.4.6,47104,-38
192.168.4.6,47120,-39
192.168.4.6,47136,-38
192.168.4.6,47152,-40
192.168.4.6,47168,-40
192.168.4.6,47184,-42
192.168.4.6,47216,-45
192.168.4.6,47232,-52
192.168.4.6,47248,-53
192.168.4.6,47264,-56
192.168.4.6,47280,-57
192.168.4.6,47296,-55
192.168.4.6,47312,-56
192.168.4.6,47328,-55
192.168.4.6,47344,-59
192.168.4.6,47376,-58
192.168.4.6,47392,-60
192.168.4.6,47408,-55
192.168.4.6,47424,-47
192.168.4.6,47440,-47
192.168.4.6,47456,-54
192.168.4.6,47472,-58
192.168.4.6,47488,-56
192.168.4.6,47504,-60
192.168.4.6,47520,-65
192.168.4.6,47536,-66
192.168.4.6,47568,-72
192.168.4.6,47584,-70
192.168.4.6,47600,-68
192.168.4.6,47632,-62
192.168.4.6,47664,-62
192.168.4.6,47680,-60
192.168.4.6,47696,-55
192.168.4.6,47712,-57
192.168.4.6,47744,-61
192.168.4.6,47776,-64
192.168.4.6,47792,-66
192.168.4.6,47808,-73
192.168.4.6,47840,-72
192.168.4.6,47872,-73
192.168.4.6,47888,-68
192.168.4.6,47920,-81
192.168.4.6,47936,-71
192.168.4.6,47952,-69
192.168.4.6,48000,-70
192.168.4.6,48016,-67
192.168.4.6,48048,-63
192.168.4.6,48064,-65
192.168.4.6,48080,-69
192.168.4.6,48112,-82
192.168.4.6,48128,-77
192.168.4.6,48144,-72
192.168.4.6,48160,-74
192.168.4.6,48192,-74
192.168.4.6,48208,-78
192.168.4.6,48224,-69
192.168.4.6,48240,-67
192.168.4.6,48256,-63
192.168.4.6,48272,-61
192.168.4.6,48288,-63
192.168.4.6,48304,-68
192.168.4.6,48320,-70
192.168.4.6,48352,-78
192.168.4.6,48400,-77
192.168.4.6,48416,-77
192.168.4.6,48432,-75
192.168.4.6,48448,-72
192.168.4.6,48480,-76
192.168.4.6,48496,-70
192.168.4.6,48528,-64
192.168.4.6,48576,-63
192.168.4.6,48592,-64
192.168.4.6,48608,-68
192.168.4.6,48624,-71
192.168.4.6,48640,-76
192.168.4.6,48656,-78
192.168.4.6,48672,-78
192.168.4.6,48704,-75
192.168.4.6,48720,-76
192.168.4.6,48736,-80
192.168.4.6,48768,-71
192.168.4.6,48784,-69
192.168.4.6,48800,-69
192.168.4.6,48816,-66
192.168.4.6,48832,-66
192.168.4.6,48848,-66
192.168.4.6,48864,-70
192.168.4.6,48880,-72
192.168.4.6,48896,-74
192.168.4.6,48912,-79
192.168.4.6,48928,-85
192.168.4.6,48944,-78
192.168.4.6,48960,-77
192.168.4.6,48992,-67
192.168.4.6,49008,-80
192.168.4.6,49088,-68
192.168.4.6,49104,-66
192.168.4.6,49120,-66
192.168.4.6,49136,-72
192.168.4.6,49152,-74
192.168.4.6,49168,-75
192.168.4.6,49184,-76
192.168.4.6,49200,-81
192.168.4.6,49248,-78
192.168.4.6,49280,-78
192.168.4.6,49296,-74
192.168.4.6,49376,-73
192.168.4.6,49408,-72
