sender,sequence,rssi
192.168.4.3,47008,-47
192.168.4.3,47024,-48
192.168.4.3,47040,-49
192.168.4.3,47056,-48
192.168.4.3,47072,-47
192.168.4.3,47104,-49
192.168.4.3,47168,-48
192.168.4.3,47184,-48
192.168.4.3,47216,-48
192.168.4.3,47232,-47
192.168.4.3,47248,-50
192.168.4.3,47280,-47
192.168.4.3,47296,-49
192.168.4.3,47328,-52
192.168.4.3,47392,-54
192.168.4.3,47408,-59
192.168.4.3,47424,-57
192.168.4.3,47440,-54
192.168.4.3,47456,-54
192.168.4.3,47472,-59
192.168.4.3,47488,-55
192.168.4.3,47504,-58
192.168.4.3,47520,-58
192.168.4.3,47568,-58
192.168.4.3,47600,-58
192.168.4.3,47632,-62
192.168.4.3,47664,-60
192.168.4.3,47680,-56
192.168.4.3,47776,-57
192.168.4.3,47792,-58
192.168.4.3,47808,-59
192.168.4.3,47840,-59
192.168.4.3,47872,-61
192.168.4.3,47920,-70
192.168.4.3,47952,-69
192.168.4.3,48000,-72
192.168.4.3,48048,-66
192.168.4.3,48064,-64
192.168.4.3,48080,-67
192.168.4.3,48128,-66
192.168.4.3,48144,-64
192.168.4.3,48160,-67
192.168.4.3,48176,-65
192.168.4.3,48192,-68
192.168.4.3,48224,-69
192.168.4.3,48240,-66
192.168.4.3,48256,-63
192.168.4.3,48272,-61
192.168.4.3,48288,-65
192.168.4.3,48304,-65
192.168.4.3,48320,-64
192.168.4.3,48400,-62
192.168.4.3,48416,-63
192.168.4.3,48432,-63
192.168.4.3,48448,-66
192.168.4.3,48464,-65
192.168.4.3,48480,-70
192.168.4.3,48496,-68
192.168.4.3,48528,-66
192.168.4.3,48544,-64
192.168.4.3,48576,-66
192.168.4.3,48592,-66
192.168.4.3,48608,-66
192.168.4.3,48624,-66
192.168.4.3,48640,-64
192.168.4.3,48656,-64
192.168.4.3,48672,-63
192.168.4.3,48704,-64
192.168.4.3,48720,-66
192.168.4.3,48736,-65
192.168.4.3,48768,-67
192.168.4.3,48784,-67
192.168.4.3,48800,-67
192.168.4.3,48816,-64
192.168.4.3,48832,-64
192.168.4.3,48848,-67
192.168.4.3,48864,-69
192.168.4.3,48880,-67
192.168.4.3,48896,-68
192.168.4.3,48912,-69
192.168.4.3,48928,-68
192.168.4.3,48944,-68
192.168.4.3,48960,-69
192.168.4.3,48976,-68
192.168.4.3,49008,-68
192.168.4.3,49040,-70
192.168.4.3,49088,-68
192.168.4.3,49104,-67
192.168.4.3,49120,-69
192.168.4.3,49136,-69
192.168.4.3,49152,-67
192.168.4.3,49200,-70
192.168.4.3,49232,-69
192.168.4.3,49248,-71
192.168.4.3,49280,-71
192.168.4.3,49296,-70
192.168.4.3,49312,-69
192.168.4.3,49376,-73
192.168.4.3,49408,-71
192.168.4.3,49424,-70
192.168.4.3,49440,-72
192.168.4.3,49488,-71
192.168.4.3,49504,-70
192.168.4.3,49520,-70
192.168.4.3,49536,-70
192.168.4.3,49552,-72
192.168.4.3,49600,-71
192.168.4.3,49616,-72
192.168.4.3,49632,-71
192.168.4.3,49648,-78
192.168.4.3,49664,-77
192.168.4.3,49680,-75
192.168.4.3,49696,-74
192.168.4.3,49744,-78
192.168.4.3,49760,-73
192.168.4.3,49776,-73
192.168.4.3,49824,-74
192.168.4.3,49840,-75
192.168.4.3,49856,-73
192.168.4.3,49872,-71
192.168.4.3,49936,-75
192.168.4.3,49952,-73
192.168.4.3,49968,-72
192.168.4.3,49984,-71
192.168.4.3,50000,-72
192.168.4.3,50016,-69
192.168.4.3,50032,-71
192.168.4.3,50064,-70
192.168.4.3,50080,-70
192.168.4.3,50128,-73
192.168.4.3,50144,-74
192.168.4.3,50160,-73
192.168.4.3,50176,-79
192.168.4.3,50192,-76
192.168.4.3,50208,-74
192.168.4.3,50224,-74
192.168.4.3,50240,-75
192.168.4.3,50272,-77
192.168.4.3,50288,-74
192.168.4.3,50320,-73
192.168.4.3,50336,-73
192.168.4.3,50352,-73
192.168.4.3,50432,-75
192.168.4.3,50448,-77
192.168.4.3,50464,-79
192.168.4.3,50480,-75
192.168.4.3,50496,-75
192.168.4.3,50528,-74
192.168.4.3,50560,-74
192.168.4.3,50576,-73
192.168.4.3,50656,-77
192.168.4.3,50672,-77
192.168.4.3,50688,-75
192.168.4.3,50720,-74
192.168.4.3,50768,-73
192.168.4.3,50816,-74
192.168.4.3,50912,-75
192.168.4.3,50944,-75
192.168.4.3,50960,-73
192.168.4.3,50976,-76
192.168.4.3,51024,-79
192.168.4.3,51072,-76
192.168.4.3,51088,-78
192.168.4.3,51120,-73
192.168.4.3,51136,-75
192.168.4.3,51168,-77
192.168.4.3,51184,-77
192.168.4.3,51248,-76
192.168.4.3,51296,-77
192.168.4.3,51312,-79
192.168.4.3,51328,-80
192.168.4.3,51344,-78
192.168.4.3,51376,-74
192.168.4.3,51408,-75
192.168.4.3,51440,-75
192.168.4.3,51472,-76
192.168.4.3,51488,-74
192.168.4.3,51520,-78
192.168.4.3,51552,-78
192.168.4.3,51648,-75
192.168.4.3,51680,-77
192.168.4.3,51744,-80
192.168.4.3,51824,-78
192.168.4.3,51904,-81
