distance,rssi
1,-41.0
1,-42.00049975012494
1,-42.00033288936988
1,-41.749375686532794
1,-41.39740590523812
1,-41.33056627496005
1,-41.28273105653948
1,-41.246774335029286
1,-41.21873736435748
1,-41.09341671629921
1,-40.990567782565726
1,-41.078196264458576
1,-41.314048767061244
1,-41.44141845413456
2,-41.694450561143334
2,-41.84951106212827
2,-41.986914863479086
2,-42.29241020513074
2,-42.68364276824374
2,-42.9253772862085
2,-43.792282414917786
2,-44.79242531445037
2,-45.407630576272325
2,-45.82765146551721
2,-46.16843071162646
2,-46.53078420492634
2,-47.228985147340445
2,-47.83629106156181
2,-48.05912597248057
2,-48.18348643012756
2,-48.25885519800343
3,-48.329822528150125
3,-48.637282295515206
3,-49.046233696904075
3,-49.47222658426441
3,-50.029510575467036
3,-50.482825457924434
3,-50.764081061983724
3,-51.068760186549014
3,-51.32246603841681
3,-51.89062743917232
3,-52.18178166503814
3,-52.38885221992667
3,-52.69281244713901
4,-52.98378855145126
4,-53.36686868797716
4,-53.734122428395786
4,-54.08643683714204
4,-54.62931374036329
4,-54.913271927775796
4,-55.05117640975739
4,-55.11661367368731
4,-55.38009349267599
4,-55.70021229639073
4,-56.372962496907
4,-57.02092244924847
4,-57.51365574895718
5,-57.98856993786815
5,-58.34841846766998
5,-58.72805253525051
5,-59.094290177338515
5,-59.22085769934338
5,-59.24604417197056
5,-59.270360075868986
5,-59.32602169390902
5,-59.47612847289051
5,-59.84551396892368
5,-60.20241665005238
5,-60.48343218194722
5,-60.72314879865286
5,-60.98671973248523
5,-61.36874086071958
5,-61.51582147431059
6,-61.94352843118422
6,-62.5789684718372
6,-62.78218256308671
6,-62.82068507291683
6,-62.731591498628404
6,-62.70850432353835
6,-62.71769544497123
6,-62.85261366102965
6,-63.077632038796786
6,-63.29541447663151
6,-63.41188707985259
6,-63.556049359682184
6,-63.82121237814777
6,-63.952366706800134
7,-64.17344957253857
7,-64.23072079139922
7,-64.28617146064727
7,-64.2458787156984
7,-64.26949425848748
7,-64.22975436339041
7,-64.31644323458069
7,-64.43167461803736
7,-64.57454014913526
7,-64.61910583462594
7,-64.75603349365441
7,-64.76365689229108
7,-65.08344329942308
7,-65.42440367443811
7,-65.31747056401326
7,-65.43244149768505
8,-65.48137264618832
8,-65.55997766958536
8,-65.63611708409447
8,-65.86586748767449
8,-66.18200332300358
8,-66.23870837985623
8,-66.32482482972235
8,-66.34587903269349
8,-66.3662744252635
8,-66.44838500875599
8,-66.62144845869274
8,-66.78910147146043
8,-67.07618646159094
9,-67.22963927258165
9,-67.3159722051697
9,-67.43076959615098
9,-67.54198233974505
9,-67.77435017713425
9,-68.0306198061783
9,-68.31004479682352
9,-68.36268958355517
9,-68.5694422221458
9,-68.61400214083783
9,-68.5637303483223
9,-68.73304856285147
9,-69.17739057223594
10,-69.48330332397369
10,-69.71739350231998
10,-69.85076121164542
10,-70.07339419851299
10,-70.16452850933909
10,-70.25282260874555
10,-70.30722685537744
10,-70.39107348687406
10,-70.53458154845816
10,-70.64248204241139
10,-70.52907058262086
10,-70.66827390828506
11,-71.02108368797032
11,-71.1449640726571
11,-71.10931705421902
11,-71.26158022276373
11,-71.44023393239819
11,-71.51992593063152
11,-71.59713603320513
11,-71.57854608843184
11,-71.56053506418715
11,-71.63647861961519
11,-71.89684305705632
11,-72.14909999956579
11,-72.30011072868184
11,-72.25963798577989
11,-72.34494549145613
12,-72.3964670270443
12,-72.53977327295819
12,-72.61635876713618
12,-72.75281835882784
12,-72.88502939804867
