sender, sequence, rssi
192.168.4.11, 32976, -73
192.168.4.11, 33056, -73
192.168.4.11, 33072, -72
192.168.4.11, 33104, -72
192.168.4.11, 33120, -72
192.168.4.11, 33136, -72
192.168.4.11, 33200, -73
192.168.4.11, 33216, -73
192.168.4.11, 33296, -74
192.168.4.11, 33328, -73
192.168.4.11, 33456, -77
192.168.4.11, 33472, -74
192.168.4.11, 33504, -73
192.168.4.11, 33520, -74
192.168.4.11, 33536, -72
192.168.4.11, 33552, -74
192.168.4.11, 33600, -72
192.168.4.11, 33616, -75
192.168.4.11, 33632, -72
192.168.4.11, 33648, -72
192.168.4.11, 33680, -72
192.168.4.11, 33760, -74
192.168.4.11, 33776, -75
192.168.4.11, 33792, -73
192.168.4.11, 33808, -73
192.168.4.11, 33824, -73
192.168.4.11, 33840, -72
192.168.4.11, 33888, -73
192.168.4.11, 33936, -73
192.168.4.11, 33952, -71
192.168.4.11, 33968, -72
192.168.4.11, 33984, -74
192.168.4.11, 34032, -71
192.168.4.11, 34048, -72
192.168.4.11, 34064, -71
192.168.4.11, 34096, -71
192.168.4.11, 34112, -72
192.168.4.11, 34128, -73
192.168.4.11, 34176, -71
192.168.4.11, 34192, -71
192.168.4.11, 34208, -73
192.168.4.11, 34224, -73
192.168.4.11, 34240, -72
192.168.4.11, 34256, -72
192.168.4.11, 34272, -71
192.168.4.11, 34288, -73
192.168.4.11, 34320, -72
192.168.4.11, 34336, -72
192.168.4.11, 34352, -71
192.168.4.11, 34400, -71
192.168.4.11, 34416, -71
192.168.4.11, 34432, -71
192.168.4.11, 34448, -73
192.168.4.11, 34464, -72
192.168.4.11, 34496, -72
192.168.4.11, 34592, -73
192.168.4.11, 34608, -72
192.168.4.11, 34624, -73
192.168.4.11, 34640, -73
192.168.4.11, 34656, -73
192.168.4.11, 34704, -73
192.168.4.11, 34720, -73
192.168.4.11, 34736, -73
192.168.4.11, 34768, -73
192.168.4.11, 34784, -74
192.168.4.11, 34800, -73
192.168.4.11, 34848, -74
192.168.4.11, 34864, -73
192.168.4.11, 34880, -74
192.168.4.11, 34896, -72
192.168.4.11, 34912, -74
192.168.4.11, 34928, -73
192.168.4.11, 34960, -73
192.168.4.11, 34976, -74
192.168.4.11, 34992, -72
192.168.4.11, 35008, -74
192.168.4.11, 35040, -73
192.168.4.11, 35072, -73
192.168.4.11, 35104, -74
192.168.4.11, 35184, -74
192.168.4.11, 35200, -81
192.168.4.11, 35216, -72
192.168.4.11, 35232, -72
192.168.4.11, 35248, -71
192.168.4.11, 35264, -70
192.168.4.11, 35296, -72
192.168.4.11, 35312, -70
192.168.4.11, 35328, -68
192.168.4.11, 35344, -67
192.168.4.11, 35360, -67
192.168.4.11, 35392, -71
192.168.4.11, 35424, -70
192.168.4.11, 35440, -68
192.168.4.11, 35456, -69
192.168.4.11, 35472, -69
192.168.4.11, 35488, -66
192.168.4.11, 35504, -67
192.168.4.11, 35536, -68
192.168.4.11, 35552, -67
192.168.4.11, 35568, -67
192.168.4.11, 35600, -69
192.168.4.11, 35616, -72
192.168.4.11, 35648, -68
192.168.4.11, 35664, -68
192.168.4.11, 35680, -70
192.168.4.11, 35696, -70
192.168.4.11, 35776, -71
192.168.4.11, 35792, -73
192.168.4.11, 35872, -70
192.168.4.11, 35936, -68
192.168.4.11, 35952, -68
192.168.4.11, 35984, -67
192.168.4.11, 36000, -67
192.168.4.11, 36048, -69
192.168.4.11, 36064, -67
192.168.4.11, 36080, -70
192.168.4.11, 36112, -65
192.168.4.11, 36128, -65
192.168.4.11, 36144, -65
192.168.4.11, 36176, -66
192.168.4.11, 36192, -65
192.168.4.11, 36224, -64
192.168.4.11, 36240, -61
192.168.4.11, 36256, -65
192.168.4.11, 36272, -67
192.168.4.11, 36288, -65
192.168.4.11, 36304, -66
192.168.4.11, 36320, -68
192.168.4.11, 36352, -67
192.168.4.11, 36368, -67
192.168.4.11, 36416, -65
192.168.4.11, 36448, -65
192.168.4.11, 36464, -66
192.168.4.11, 36480, -65
192.168.4.11, 36496, -65
192.168.4.11, 36512, -65
192.168.4.11, 36528, -66
192.168.4.11, 36544, -66
192.168.4.11, 36560, -66
192.168.4.11, 36592, -67
192.168.4.11, 36608, -67
192.168.4.11, 36624, -68
192.168.4.11, 36672, -67
192.168.4.11, 36688, -69
192.168.4.11, 36704, -71
192.168.4.11, 36720, -66
192.168.4.11, 36752, -66
192.168.4.11, 36768, -66
192.168.4.11, 36784, -69
192.168.4.11, 36800, -68
192.168.4.11, 36848, -74
192.168.4.11, 36864, -72
192.168.4.11, 36880, -70
192.168.4.11, 36896, -72
192.168.4.11, 36912, -71
192.168.4.11, 36960, -77
192.168.4.11, 36976, -72
192.168.4.11, 36992, -71
192.168.4.11, 37024, -71
192.168.4.11, 37040, -75
192.168.4.11, 37056, -74
192.168.4.11, 37072, -69
192.168.4.11, 37088, -70
192.168.4.11, 37104, -83
192.168.4.11, 37120, -76
192.168.4.11, 37136, -75
192.168.4.11, 37152, -74
192.168.4.11, 37200, -90
192.168.4.11, 37216, -69
192.168.4.11, 37232, -72
192.168.4.11, 37264, -74
192.168.4.11, 37280, -73
192.168.4.11, 37296, -73
192.168.4.11, 37328, -75
192.168.4.11, 37344, -71
192.168.4.11, 37360, -72
192.168.4.11, 37392, -74
192.168.4.11, 37424, -72
192.168.4.11, 37440, -73
192.168.4.11, 37472, -73
192.168.4.11, 37488, -73
192.168.4.11, 37504, -76
192.168.4.11, 37520, -73
192.168.4.11, 37536, -80
192.168.4.11, 37552, -71
192.168.4.11, 37568, -76
192.168.4.11, 37584, -84
192.168.4.11, 37600, -70
192.168.4.11, 37616, -77
192.168.4.11, 37632, -74
192.168.4.11, 37648, -73
192.168.4.11, 37680, -77
192.168.4.11, 37760, -78
192.168.4.11, 37776, -77
192.168.4.11, 37792, -77
192.168.4.11, 37808, -77
192.168.4.11, 37824, -83
192.168.4.11, 37840, -77
192.168.4.11, 37872, -80
192.168.4.11, 37888, -82
192.168.4.11, 37904, -83
192.168.4.11, 37920, -77
192.168.4.11, 37936, -80
192.168.4.11, 37952, -74
192.168.4.11, 38016, -79
192.168.4.11, 38032, -84
192.168.4.11, 38048, -75
192.168.4.11, 38064, -76
192.168.4.11, 38096, -72
192.168.4.11, 38112, -70
192.168.4.11, 38128, -76
192.168.4.11, 38144, -77
192.168.4.11, 38160, -76
192.168.4.11, 38176, -74
192.168.4.11, 38192, -82
192.168.4.11, 38208, -69
192.168.4.11, 38272, -76
192.168.4.11, 38288, -81
192.168.4.11, 38432, -85
192.168.4.11, 38448, -81
192.168.4.11, 38480, -90
192.168.4.11, 38496, -81
192.168.4.11, 38608, -72
192.168.4.11, 38624, -74
192.168.4.11, 38640, -76
192.168.4.11, 38656, -77
192.168.4.11, 38672, -78
192.168.4.11, 38688, -73
192.168.4.11, 38704, -76
192.168.4.11, 38720, -72
192.168.4.11, 38736, -78
192.168.4.11, 38752, -70
192.168.4.11, 38800, -74
192.168.4.11, 38816, -71
192.168.4.11, 38832, -75
192.168.4.11, 38880, -70
192.168.4.11, 38928, -70
192.168.4.11, 38944, -69
192.168.4.11, 38960, -73
192.168.4.11, 38976, -74
192.168.4.11, 38992, -71
192.168.4.11, 39024, -74
192.168.4.11, 39088, -78
192.168.4.11, 39136, -72
192.168.4.11, 39168, -74
192.168.4.11, 39184, -77
192.168.4.11, 39200, -73
192.168.4.11, 39216, -75
192.168.4.11, 39232, -77
192.168.4.11, 39248, -76
192.168.4.11, 39264, -79
192.168.4.11, 39280, -75
192.168.4.11, 39296, -72
192.168.4.11, 39312, -70
192.168.4.11, 39328, -71
192.168.4.11, 39344, -74
192.168.4.11, 39504, -73
192.168.4.11, 39520, -75
192.168.4.11, 39568, -75
192.168.4.11, 39584, -76
192.168.4.11, 39600, -75
192.168.4.11, 39616, -73
192.168.4.11, 39632, -78
192.168.4.11, 39664, -81
192.168.4.11, 39680, -78
192.168.4.11, 39744, -77
192.168.4.11, 39760, -81
192.168.4.11, 39808, -76
192.168.4.11, 39872, -79
192.168.4.11, 39984, -80
192.168.4.11, 40000, -80
192.168.4.11, 40016, -78
192.168.4.11, 40032, -79
192.168.4.11, 40080, -77
192.168.4.11, 40128, -75
192.168.4.11, 40144, -76
192.168.4.11, 40176, -77
192.168.4.11, 40192, -78
