sender,sequence,rssi
192.168.4.11, 32064, -70
192.168.4.11, 32080, -71
192.168.4.11, 32096, -71
192.168.4.11, 32112, -72
192.168.4.11, 32128, -72
192.168.4.11, 32192, -74
192.168.4.11, 32208, -75
192.168.4.11, 32256, -76
192.168.4.11, 32368, -75
192.168.4.11, 32384, -75
192.168.4.11, 32400, -75
192.168.4.11, 32416, -78
192.168.4.11, 32432, -78
192.168.4.11, 32448, -74
192.168.4.11, 32464, -73
192.168.4.11, 32480, -73
192.168.4.11, 32496, -73
192.168.4.11, 32512, -73
192.168.4.11, 32544, -73
192.168.4.11, 32576, -74
192.168.4.11, 32592, -74
192.168.4.11, 32608, -74
192.168.4.11, 32672, -73
192.168.4.11, 32720, -71
192.168.4.11, 32752, -73
192.168.4.11, 32768, -73
192.168.4.11, 32784, -74
192.168.4.11, 32832, -74
192.168.4.11, 32848, -73
192.168.4.11, 32864, -74
192.168.4.11, 32896, -73
192.168.4.11, 32912, -73
192.168.4.11, 32928, -74
192.168.4.11, 32944, -74
192.168.4.11, 32976, -73
192.168.4.11, 33120, -73
192.168.4.11, 33152, -73
192.168.4.11, 33216, -74
192.168.4.11, 33232, -75
192.168.4.11, 33248, -77
192.168.4.11, 33296, -78
192.168.4.11, 33376, -76
192.168.4.11, 33392, -75
192.168.4.11, 33536, -75
192.168.4.11, 33552, -77
192.168.4.11, 33600, -75
192.168.4.11, 33680, -77
192.168.4.11, 33728, -74
192.168.4.11, 33760, -73
192.168.4.11, 33776, -75
192.168.4.11, 33840, -74
192.168.4.11, 33856, -74
192.168.4.11, 33952, -78
192.168.4.11, 34032, -76
192.168.4.11, 34192, -79
192.168.4.11, 34672, -77
192.168.4.11, 34832, -75
192.168.4.11, 34992, -76
192.168.4.11, 35104, -74
192.168.4.11, 35136, -71
192.168.4.5, 24608, -63
192.168.4.5, 24624, -63
192.168.4.5, 24640, -61
192.168.4.5, 24736, -64
192.168.4.5, 24784, -63
192.168.4.5, 24848, -64
192.168.4.5, 24880, -66
192.168.4.5, 24896, -64
192.168.4.5, 24928, -64
192.168.4.5, 24960, -63
192.168.4.5, 24992, -64
192.168.4.5, 25008, -63
192.168.4.5, 25024, -62
192.168.4.5, 25072, -64
192.168.4.5, 25088, -64
192.168.4.5, 25200, -65
192.168.4.5, 25232, -64
192.168.4.5, 25248, -63
192.168.4.5, 25264, -63
192.168.4.5, 25312, -63
192.168.4.5, 25328, -63
192.168.4.5, 25392, -64
192.168.4.5, 25424, -64
192.168.4.5, 25440, -65
192.168.4.5, 25456, -64
192.168.4.5, 25488, -63
192.168.4.5, 25520, -63
192.168.4.5, 25568, -64
192.168.4.5, 25632, -65
192.168.4.5, 25664, -64
192.168.4.3, 38400, -80
192.168.4.3, 38480, -91
192.168.4.3, 38496, -90
192.168.4.3, 38528, -87
192.168.4.3, 38560, -90
192.168.4.3, 38624, -92
192.168.4.3, 38640, -86
192.168.4.3, 38656, -94
192.168.4.3, 38832, -86
192.168.4.3, 38880, -91
192.168.4.3, 38896, -79
192.168.4.3, 38992, -78
192.168.4.3, 39008, -85
192.168.4.3, 39024, -86
192.168.4.3, 39056, -90
192.168.4.3, 39088, -86
192.168.4.3, 39136, -80
192.168.4.3, 39200, -76
192.168.4.3, 39216, -76
192.168.4.3, 39472, -78
192.168.4.3, 39616, -78
192.168.4.3, 39728, -75
192.168.4.3, 39744, -78
192.168.4.3, 39760, -79
192.168.4.3, 39920, -80
192.168.4.3, 39952, -80
192.168.4.3, 39984, -80
192.168.4.3, 40000, -79
192.168.4.3, 40016, -80
192.168.4.3, 40032, -80
192.168.4.10, 41312, -68
192.168.4.10, 41376, -68
192.168.4.10, 41424, -68
192.168.4.10, 41440, -67
192.168.4.10, 41456, -67
192.168.4.10, 41472, -69
192.168.4.10, 41488, -68
192.168.4.10, 41504, -69
192.168.4.10, 41520, -68
192.168.4.10, 41536, -67
192.168.4.10, 41712, -68
192.168.4.10, 41728, -68
192.168.4.10, 41744, -69
192.168.4.10, 41760, -68
192.168.4.10, 41776, -67
192.168.4.10, 41792, -66
192.168.4.10, 41808, -68
192.168.4.10, 41840, -67
192.168.4.10, 41888, -68
192.168.4.10, 41904, -69
192.168.4.10, 41920, -69
192.168.4.10, 41952, -68
192.168.4.10, 41968, -68
192.168.4.10, 41984, -69
192.168.4.10, 42000, -68
192.168.4.10, 42016, -68
192.168.4.10, 42032, -68
192.168.4.10, 42048, -68
192.168.4.10, 42064, -68
192.168.4.10, 42096, -69
192.168.4.11, 35168, -75
192.168.4.11, 35248, -73
192.168.4.11, 35280, -82
192.168.4.11, 35328, -78
192.168.4.11, 35392, -78
192.168.4.11, 35504, -78
192.168.4.11, 35584, -77
192.168.4.11, 35600, -76
192.168.4.11, 35648, -72
192.168.4.11, 35664, -73
192.168.4.11, 35680, -73
192.168.4.11, 35696, -74
192.168.4.11, 35712, -73
192.168.4.11, 35728, -73
192.168.4.11, 35744, -73
192.168.4.11, 35760, -73
192.168.4.11, 35776, -74
192.168.4.11, 35792, -76
192.168.4.11, 35808, -73
192.168.4.11, 35824, -76
192.168.4.11, 35840, -72
192.168.4.11, 35920, -72
192.168.4.11, 35952, -74
192.168.4.11, 35968, -75
192.168.4.11, 35984, -70
192.168.4.11, 36000, -72
192.168.4.11, 36016, -74
192.168.4.11, 36032, -73
192.168.4.11, 36064, -75
192.168.4.11, 36144, -72
192.168.4.5, 25696, -63
192.168.4.5, 25744, -64
192.168.4.5, 25760, -64
192.168.4.5, 25776, -64
192.168.4.5, 25840, -64
192.168.4.5, 26000, -62
192.168.4.5, 26016, -62
192.168.4.5, 26048, -64
192.168.4.5, 26080, -69
192.168.4.5, 26096, -69
192.168.4.5, 26112, -70
192.168.4.5, 26128, -70
192.168.4.5, 26144, -69
192.168.4.5, 26176, -74
192.168.4.5, 26192, -70
192.168.4.5, 26272, -64
192.168.4.5, 26288, -67
192.168.4.5, 26304, -66
192.168.4.5, 26352, -63
192.168.4.5, 26400, -66
192.168.4.5, 26416, -65
192.168.4.5, 26432, -65
192.168.4.5, 26448, -63
192.168.4.5, 26464, -64
192.168.4.5, 26480, -64
192.168.4.5, 26496, -71
192.168.4.5, 26512, -71
192.168.4.5, 26528, -70
192.168.4.5, 26544, -72
192.168.4.5, 26576, -65
192.168.4.5, 26640, -62
192.168.4.5, 26656, -64
192.168.4.5, 26704, -63
192.168.4.5, 26720, -63
192.168.4.5, 26736, -66
192.168.4.5, 26752, -65
192.168.4.5, 26768, -64
192.168.4.5, 26784, -63
192.168.4.5, 26800, -66
192.168.4.5, 26832, -64
192.168.4.5, 26864, -66
192.168.4.5, 26896, -67
192.168.4.5, 26944, -65
192.168.4.5, 26976, -67
192.168.4.5, 26992, -66
192.168.4.5, 27008, -66
192.168.4.5, 27024, -66
