sender, sequence, rssi
192.168.4.10, 36560, -66
192.168.4.10, 36624, -64
192.168.4.10, 36640, -66
192.168.4.10, 36672, -67
192.168.4.10, 36704, -65
192.168.4.10, 36720, -65
192.168.4.10, 36736, -64
192.168.4.10, 36784, -65
192.168.4.10, 36800, -67
192.168.4.10, 36816, -65
192.168.4.10, 36832, -66
192.168.4.10, 36848, -65
192.168.4.10, 36864, -67
192.168.4.10, 36880, -66
192.168.4.10, 36896, -66
192.168.4.10, 36912, -66
192.168.4.10, 36928, -66
192.168.4.10, 36944, -65
192.168.4.10, 36960, -65
192.168.4.10, 36976, -66
192.168.4.10, 36992, -66
192.168.4.10, 37008, -65
192.168.4.10, 37024, -65
192.168.4.10, 37056, -65
192.168.4.10, 37072, -66
192.168.4.10, 37088, -66
192.168.4.10, 37104, -66
192.168.4.10, 37120, -68
192.168.4.10, 37136, -68
192.168.4.10, 37152, -69
192.168.4.11, 43168, -77
192.168.4.11, 43200, -78
192.168.4.11, 43216, -76
192.168.4.11, 43232, -74
192.168.4.11, 43248, -70
192.168.4.11, 43264, -72
192.168.4.11, 43280, -75
192.168.4.11, 43296, -76
192.168.4.11, 43344, -75
192.168.4.11, 43360, -74
192.168.4.11, 43376, -74
192.168.4.11, 43392, -74
192.168.4.11, 43408, -76
192.168.4.11, 43424, -68
192.168.4.11, 43440, -74
192.168.4.11, 43472, -74
192.168.4.11, 43488, -73
192.168.4.11, 43504, -75
192.168.4.11, 43520, -73
192.168.4.11, 43536, -75
192.168.4.11, 43552, -74
192.168.4.11, 43568, -74
192.168.4.11, 43584, -73
192.168.4.11, 43600, -76
192.168.4.11, 43616, -75
192.168.4.11, 43632, -73
192.168.4.11, 43648, -74
192.168.4.11, 43664, -75
192.168.4.11, 43696, -75
192.168.4.11, 43712, -76
192.168.4.7, 40624, -73
192.168.4.7, 40640, -72
192.168.4.7, 40656, -81
192.168.4.7, 40672, -73
192.168.4.7, 40688, -84
192.168.4.7, 40704, -88
192.168.4.7, 40736, -87
192.168.4.7, 40768, -84
192.168.4.7, 40784, -79
192.168.4.7, 40800, -70
192.168.4.7, 40816, -69
192.168.4.7, 40832, -73
192.168.4.7, 40848, -72
192.168.4.7, 40864, -75
192.168.4.7, 40880, -73
192.168.4.7, 40896, -83
192.168.4.7, 40944, -73
192.168.4.7, 40960, -74
192.168.4.7, 40976, -75
192.168.4.7, 40992, -75
192.168.4.7, 41008, -85
192.168.4.7, 41024, -74
192.168.4.7, 41040, -72
192.168.4.7, 41056, -75
192.168.4.7, 41072, -82
192.168.4.7, 41088, -74
192.168.4.7, 41216, -72
192.168.4.7, 41232, -74
192.168.4.7, 41264, -70
192.168.4.7, 41280, -71
192.168.4.7, 41312, -72
192.168.4.7, 41328, -72
192.168.4.7, 41392, -71
192.168.4.7, 41424, -73
192.168.4.7, 41488, -84
192.168.4.7, 41504, -73
192.168.4.7, 41520, -73
192.168.4.7, 41536, -73
192.168.4.7, 41552, -71
192.168.4.7, 41568, -72
192.168.4.7, 41600, -73
192.168.4.7, 41648, -72
192.168.4.7, 41664, -72
192.168.4.7, 41680, -73
192.168.4.7, 41696, -74
192.168.4.7, 41712, -71
192.168.4.7, 41808, -69
192.168.4.7, 41824, -70
192.168.4.7, 41856, -70
192.168.4.7, 41872, -71
192.168.4.7, 41904, -81
192.168.4.7, 41936, -74
192.168.4.7, 41984, -70
