rssi,node,sequence
-34.0,192.168.4.12,29280
-34.500249875062465,192.168.4.12,29312
-35.000999000999,192.168.4.12,29344
-35.50249575723765,192.168.4.12,29360
-35.200197567579345,192.168.4.12,29376
-35.839285679670965,192.168.4.12,29408
-36.00724904206639,192.168.4.12,29424
-36.006327134901376,192.168.4.12,29472
-36.232835890932726,192.168.4.12,29504
-36.31172204485485,192.168.4.12,29520
-36.3764628273431,192.168.4.12,29536
-36.34378221196408,192.168.4.12,29552
-36.31603158174353,192.168.4.12,29568
-36.21660846233746,192.168.4.12,29584
-36.130101802686056,192.168.4.12,29600
-36.12135176229935,192.168.4.12,29632
-36.11359808677612,192.168.4.12,29648
-36.10667546619707,192.168.4.12,29664
-36.042126575699065,192.168.4.12,29696
-36.03976730677776,192.168.4.12,29712
-36.09155269927687,192.168.4.12,29728
-36.08678556431098,192.168.4.12,29744
-36.08241197355363,192.168.4.12,29760
-36.0295004171201,192.168.4.12,29776
-36.02809876606288,192.168.4.12,29824
-35.98053037132325,192.168.4.12,29840
-35.98140913035478,192.168.4.12,29872
-36.07042959737519,192.168.4.12,29888
-36.02423623388014,192.168.4.12,29920
-36.10778516656402,192.168.4.12,30000
-36.18629484737116,192.168.4.12,30016
-36.21946065996897,192.168.4.12,30032
-36.29083374270135,192.168.4.12,30048
-36.31882008209709,192.168.4.12,30064
-36.42309139327498,192.168.4.12,30080
-36.40686164811442,192.168.4.12,30096
-36.35358468507381,192.168.4.12,30112
-36.34035528968996,192.168.4.12,30128
-36.29077026106806,192.168.4.12,30144
-36.24352388416239,192.168.4.12,30176
-36.2709389438692,192.168.4.12,30192
-36.297114730690495,192.168.4.12,30224
-36.322130437279625,192.168.4.12,30240
-36.31075972998157,192.168.4.12,30256
-36.26484771012016,192.168.4.12,30288
-36.2556378381578,192.168.4.12,30304
-36.246808458598665,192.168.4.12,30320
-36.306976197500624,192.168.4.12,30352
-36.262389879312686,192.168.4.12,30368
-36.2195659183113,192.168.4.12,30384
-36.2121567822762,192.168.4.12,30400
-36.20503301826501,192.168.4.12,30416
-36.23160253392485,192.168.4.12,30432
-36.22389556441939,192.168.4.12,30448
-36.24961624792021,192.168.4.12,30464
-36.24137550694845,192.168.4.12,30480
-36.20054074608658,192.168.4.12,30496
-36.16118272553966,192.168.4.12,30512
-36.1559153473256,192.168.4.12,30544
-36.11825309144503,192.168.4.12,30576
-36.08191985118204,192.168.4.12,30592
-36.04685940870435,192.168.4.12,30608
-36.04534463635319,192.168.4.12,30624
-36.01163112320914,192.168.4.12,30640
-36.04343786525705,192.168.4.12,30656
-36.00992741938764,192.168.4.12,30672
-36.00960920647402,192.168.4.12,30688
-36.04129808291259,192.168.4.12,30704
-36.039978924880856,192.168.4.12,30720
-36.03870392639166,192.168.4.12,30736
-36.06931577353579,192.168.4.12,30752
-36.06711153877052,192.168.4.12,30768
-36.06498019478726,192.168.4.12,30784
-36.0629190769137,192.168.4.12,30800
-36.029243096613406,192.168.4.12,30816
-36.05996580543062,192.168.4.12,30848
-36.05806992683414,192.168.4.12,30864
-36.02464994934929,192.168.4.12,30880
-36.93903862276771,192.168.4.12,30896
-36.87789898714352,192.168.4.12,30912
-36.818733932900514,192.168.4.12,30928
-36.76147544150766,192.168.4.12,30944
-36.70605821751906,192.168.4.12,30960
-36.652419547123216,192.168.4.12,30976
-36.63191998859978,192.168.4.12,30992
-36.58067326197809,192.168.4.12,31008
-36.59383414063191,192.168.4.12,31024
-36.60657548349389,192.168.4.12,31040
-36.58755639880376,192.168.4.12,31056
-36.569141896798506,192.168.4.12,31072
-36.55131201175668,192.168.4.12,31088
-36.50273219315788,192.168.4.12,31120
-36.455691082640186,192.168.4.12,31168
-36.47272405798402,192.168.4.12,31200
-36.4892186419232,192.168.4.12,31232
-36.44264621233241,192.168.4.12,31248
-36.39754321112608,192.168.4.12,31280
-36.35386210104515,192.168.4.12,31296
-36.34280471493473,192.168.4.12,31312
-36.36333569135704,192.168.4.12,31328
-36.351987509235215,192.168.4.12,31344
-36.309769288674005,192.168.4.12,31360
-36.23765680829838,192.168.4.12,31376
-36.19902350115642,192.168.4.12,31392
-36.1928120832818,192.168.4.12,31408
-36.186795499356165,192.168.4.12,31424
-36.11856829446147,192.168.4.12,31440
-36.05247922796696,192.168.4.12,31456
-36.1132242653464,192.168.4.12,31504
-36.04731910336532,192.168.4.12,31536
-36.04584353665238,192.168.4.12,31568
-36.0132342937708,192.168.4.12,31584
-36.04399828402327,192.168.4.12,31616
-36.07380023451395,192.168.4.12,31632
-36.07149983233984,192.168.4.12,31648
-36.069271327857024,192.168.4.12,31664
-36.06711245650704,192.168.4.12,31680
-36.09618409205526,192.168.4.12,31696
-36.21783026468516,192.168.4.12,31712
-36.24220169280221,192.168.4.12,31728
-36.23465546723233,192.168.4.12,31744
-36.22734479016295,192.168.4.12,31760
-36.251415480680606,192.168.4.12,31776
-36.33703825077623,192.168.4.12,31792
-36.35768955112781,192.168.4.12,31808
-36.34654801070073,192.168.4.12,31824
-36.30460668950087,192.168.4.12,31840
-36.32626543001109,192.168.4.12,31856
-36.34724878962645,192.168.4.12,31920
-36.336434165106006,192.168.4.12,31936
-36.35709939231017,192.168.4.12,31952
-36.439403848769885,192.168.4.12,31968
-36.456861259169735,192.168.4.12,31984
-36.53605443112442,192.168.4.12,32000
-36.55050128989637,192.168.4.12,32016
-36.6267746738218,192.168.4.12,32032
-36.63839603392477,192.168.4.12,32048
-36.68079227202061,192.168.4.12,32064
-36.78414029719863,192.168.4.12,32096
-36.82199701747607,192.168.4.12,32112
-36.85867438754866,192.168.4.12,32128
-36.89420920674735,192.168.4.12,32144
-36.86636871656478,192.168.4.12,32160
-36.87052915874657,192.168.4.12,32176
-36.936826643414335,192.168.4.12,32208
-36.9076605033222,192.168.4.12,32224
-36.97280032902079,192.168.4.12,32256
-37.00477929002823,192.168.4.12,32272
-37.03576234415127,192.168.4.12,32288
-37.09691206540808,192.168.4.12,32320
-37.09389507315584,192.168.4.12,32336
-37.122102988077145,192.168.4.12,32368
-37.14943253600831,192.168.4.12,32400
-37.175911089037285,192.168.4.12,32448
-37.13930470918653,192.168.4.12,32480
-37.19722817815127,192.168.4.12,32496
-37.22221831398972,192.168.4.12,32512
-37.24643036465114,192.168.4.12,32528
-37.23875912400904,192.168.4.12,32544
-37.26245600374864,192.168.4.12,32560
-37.22315685567168,192.168.4.12,32576
-37.15395225885944,192.168.4.12,32592
-37.05577338844028,192.168.4.12,32608
-36.99177981644301,192.168.4.12,32624
-36.960907111292606,192.168.4.12,32656
-36.899867065367374,192.168.4.12,32672
-36.90298404010718,192.168.4.12,32688
-36.81261917884813,192.168.4.12,32720
-36.75619565651927,192.168.4.12,32736
-36.70152865065543,192.168.4.12,32752
-36.61743546427328,192.168.4.12,32768
-36.59821598068245,192.168.4.12,32784
-36.517339103785226,192.168.4.12,32800
