rssi,node,sequence
-90.0,192.168.4.5,32736
-61.0,192.168.4.7,47536
-66.0,192.168.4.12,47536
-78.0,192.168.4.11,47536
-66.0,192.168.4.6,47536
-74.49225387306348,192.168.4.5,47536
-64.0,192.168.4.3,47536
-79.50074962518741,192.168.4.11,47552
-68.31790535356014,192.168.4.5,47552
-67.00299850074963,192.168.4.7,47552
-66.50024987506247,192.168.4.12,47552
-68.00099950024988,192.168.4.6,47552
-64.0,192.168.4.3,47552
-67.000999000999,192.168.4.12,47568
-78.66577840686472,192.168.4.11,47568
-69.00532756147551,192.168.4.7,47568
-65.2276669887208,192.168.4.5,47568
-68.66844252049184,192.168.4.6,47568
-64.33388837087604,192.168.4.3,47568
-63.97467679063446,192.168.4.5,47584
-69.0039910164713,192.168.4.7,47584
-63.74837718403703,192.168.4.3,47584
-62.99421356564908,192.168.4.3,47632
-77.9970047421383,192.168.4.11,47632
-67.59480646838648,192.168.4.7,47632
-66.7498746882798,192.168.4.12,47632
-67.7481268100975,192.168.4.6,47632
-63.30617659056413,192.168.4.5,47632
-76.99162054721745,192.168.4.11,47664
-61.38068112485395,192.168.4.5,47664
-62.82699695847359,192.168.4.3,47664
-67.59760566603576,192.168.4.6,47664
-70.8585626029366,192.168.4.7,47664
-66.3978045091477,192.168.4.12,47664
-61.07791463977555,192.168.4.5,47696
-76.15208075310065,192.168.4.11,47696
-66.4879555133183,192.168.4.6,47696
-68.41901239635322,192.168.4.7,47696
-62.2732041209388,192.168.4.3,47696
-61.98410617565871,192.168.4.3,47744
-65.83851741722904,192.168.4.6,47744
-74.10417712466216,192.168.4.11,47744
-59.705696825910174,192.168.4.5,47744
-66.71243053872767,192.168.4.7,47744
-66.66727749087802,192.168.4.12,47792
-61.87229813054084,192.168.4.3,47792
-71.80175282430274,192.168.4.11,47792
-65.26812296055353,192.168.4.7,47792
-67.00364190649164,192.168.4.6,47792
-60.14727256853897,192.168.4.5,47792
-71.71066263691212,192.168.4.11,47808
-64.8292392838469,192.168.4.7,47808
-62.60522734365123,192.168.4.3,47808
-65.98070390914359,192.168.4.6,47824
-62.45423649246583,192.168.4.3,47824
-59.56904798168319,192.168.4.5,47824
-68.1624936564191,192.168.4.12,47824
-72.15172775381376,192.168.4.11,47824
-64.37499150833403,192.168.4.7,47824
-62.76204306724114,192.168.4.3,47856
-64.60286764019081,192.168.4.7,47856
-66.18834462167813,192.168.4.6,47856
-59.1724104151231,192.168.4.5,47856
-70.53840239956337,192.168.4.11,47888
-62.45836515023573,192.168.4.3,47888
-59.23921472245792,192.168.4.5,47888
-63.98915244156759,192.168.4.7,47888
-66.9231243395821,192.168.4.6,47888
-68.26900470875182,192.168.4.12,47888
-68.46566966666975,192.168.4.12,47936
-62.42373673121018,192.168.4.3,47936
-63.08339991152853,192.168.4.7,47936
-69.27632842429513,192.168.4.11,47936
-59.90107163594172,192.168.4.5,47936
-67.71108495815069,192.168.4.6,47936
-62.650841186218585,192.168.4.7,47952
-68.68897197466319,192.168.4.11,47952
-62.891340390055554,192.168.4.3,47952
-63.683154011634535,192.168.4.7,48000
-59.12595349149434,192.168.4.5,48000
-68.71246941722511,192.168.4.11,48000
-62.69688232212432,192.168.4.3,48000
-67.250077374523,192.168.4.6,48000
-62.524567144710566,192.168.4.3,48032
-64.27844656713515,192.168.4.7,48032
-67.38227995123752,192.168.4.6,48032
-68.80401897763248,192.168.4.11,48032
-59.05022711168466,192.168.4.5,48032
-67.35509802487665,192.168.4.6,48064
-64.68805526247598,192.168.4.7,48064
-68.81719974704028,192.168.4.11,48064
-62.43166065139147,192.168.4.3,48064
-58.91922946095656,192.168.4.5,48064
-69.24041177901634,192.168.4.12,48064
-67.5329817945355,192.168.4.6,48080
-68.82887962560288,192.168.4.11,48080
-58.68039323324847,192.168.4.5,48080
-62.23150270592425,192.168.4.3,48080
-64.99788424998589,192.168.4.7,48080
-69.87623198428868,192.168.4.12,48080
-58.05743957217416,192.168.4.5,48128
-67.62671577034529,192.168.4.6,48128
-68.53460969185066,192.168.4.11,48128
-61.88251182728936,192.168.4.3,48128
-65.11001131912154,192.168.4.7,48128
-57.60618839753095,192.168.4.5,48160
-68.03681281890148,192.168.4.11,48160
-64.83442817796897,192.168.4.7,48160
-61.56526769885361,192.168.4.3,48160
-57.51956658473417,192.168.4.5,48176
-67.64272111994049,192.168.4.11,48176
-61.22341521984597,192.168.4.3,48176
-67.64946355741971,192.168.4.6,48176
-67.76984927637109,192.168.4.11,48192
-61.06097001222962,192.168.4.3,48192
-65.1033987080148,192.168.4.7,48192
-57.4925128326028,192.168.4.5,48192
-67.55325554901937,192.168.4.6,48192
-67.46626657631437,192.168.4.6,48208
-70.3210246162587,192.168.4.12,48208
-65.40056012091932,192.168.4.7,48208
-60.96022359240585,192.168.4.3,48208
-57.36690172234753,192.168.4.5,48208
-67.99011257373839,192.168.4.11,48208
-57.00678538425628,192.168.4.5,48224
-67.83942473965277,192.168.4.11,48224
-67.54898088910039,192.168.4.6,48224
-70.6987187236513,192.168.4.12,48224
-60.724548869094974,192.168.4.3,48224
-65.42986254713543,192.168.4.7,48224
-60.59848859125916,192.168.4.3,48240
-65.69451606094421,192.168.4.7,48240
-57.006462990814256,192.168.4.5,48240
-67.62453523096448,192.168.4.6,48240
-68.14057220800598,192.168.4.11,48240
-67.89632859474705,192.168.4.11,48256
-57.05243227139454,192.168.4.5,48256
-67.64345691749841,192.168.4.6,48256
-60.481206163545714,192.168.4.3,48256
-57.09520061142404,192.168.4.5,48272
-67.5772471098957,192.168.4.11,48272
-67.7097688279521,192.168.4.6,48272
-67.67604563603825,192.168.4.6,48288
-57.13510253773413,192.168.4.5,48288
-65.66238197496867,192.168.4.7,48288
-60.41588452436901,192.168.4.3,48288
-67.552229520935,192.168.4.6,48304
-60.225321259408354,192.168.4.3,48304
-65.90329463561629,192.168.4.7,48304
-57.04296423376104,192.168.4.5,48304
-66.12806088152853,192.168.4.7,48336
-56.956573601353966,192.168.4.5,48336
-60.04664550498688,192.168.4.3,48336
-67.43703499004343,192.168.4.6,48336
-59.9202374661625,192.168.4.3,48352
-67.32956101093201,192.168.4.6,48352
-60.0,192.168.4.10,48352
-66.38145878717825,192.168.4.7,48352
-67.55119314042018,192.168.4.11,48352
-56.83390272613224,192.168.4.5,48352
-67.31533912131955,192.168.4.6,48384
-59.84197049717466,192.168.4.3,48384
-60.0,192.168.4.10,48384
-67.70328656456063,192.168.4.11,48384
-56.67763666474337,192.168.4.5,48384
-67.88870711537874,192.168.4.11,48416
-59.66611162912396,192.168.4.10,48416
-56.369877894947095,192.168.4.5,48416
-66.66133640399552,192.168.4.7,48416
-67.3442913101617,192.168.4.6,48416
-59.68796475746132,192.168.4.3,48416
-56.31581741575178,192.168.4.5,48448
-67.00731499253224,192.168.4.7,48448
-59.74987543665773,192.168.4.10,48448
-67.28851546494175,192.168.4.6,48448
-59.5818876659304,192.168.4.3,48448
-56.30353525004803,192.168.4.5,48480
-59.59900247353694,192.168.4.10,48480
-67.27675586158799,192.168.4.6,48480
-67.25157087228585,192.168.4.7,48480
-59.48147783873344,192.168.4.3,48480
-68.2739954828111,192.168.4.11,48528
-56.02337234018138,192.168.4.5,48528
-59.38628858746439,192.168.4.3,48528
-59.16187669826972,192.168.4.10,48528
-71.25031351075661,192.168.4.12,48528
-67.26566207749589,192.168.4.6,48528
-68.42859073286486,192.168.4.11,48560
-58.70433134673949,192.168.4.10,48560
-55.719532291515776,192.168.4.5,48560
-71.5880388556769,192.168.4.12,48560
-67.17625062114939,192.168.4.6,48560
-59.25805197502921,192.168.4.3,48560
-68.61491682723933,192.168.4.11,48576
-71.88476678258012,192.168.4.12,48576
-55.43070545830166,192.168.4.5,48576
-67.13050613614782,192.168.4.6,48576
-58.233227774862826,192.168.4.10,48576
-59.0613215976601,192.168.4.3,48576
-68.00310337322517,192.168.4.7,48576
-55.2667961883827,192.168.4.5,48608
-69.03120383860022,192.168.4.11,48608
-58.94807123769328,192.168.4.3,48608
-72.14770637625142,192.168.4.12,48608
-58.09311607746373,192.168.4.10,48608
-67.01042022180205,192.168.4.6,48608
-68.47654555584042,192.168.4.7,48624
-66.85854813813226,192.168.4.6,48624
-55.220427340273766,192.168.4.5,48624
-58.289197641821225,192.168.4.10,48624
-58.94997199877385,192.168.4.3,48624
-72.1996447983376,192.168.4.12,48624
-69.7797831200282,192.168.4.11,48624
-58.16793316794176,192.168.4.10,48640
-66.6393501553958,192.168.4.6,48640
-69.86612754012032,192.168.4.11,48640
-72.07134645292446,192.168.4.12,48640
-54.92251508418147,192.168.4.5,48640
-68.53579282654822,192.168.4.7,48640
-66.39373440708009,192.168.4.6,48656
-58.77058262341574,192.168.4.3,48656
-69.83290297097017,192.168.4.11,48656
-68.59195967292021,192.168.4.7,48656
-54.85349021365646,192.168.4.5,48656
-57.89292592183827,192.168.4.10,48656
-71.89933787846307,192.168.4.12,48656
-58.5633989598323,192.168.4.3,48688
-69.87710019915089,192.168.4.11,48688
-54.71634438810287,192.168.4.5,48688
-72.01262668152053,192.168.4.12,48688
-66.2329094810018,192.168.4.6,48688
-57.65940448088383,192.168.4.10,48688
-59.46868830935964,192.168.4.3,48704
-57.760683348519926,192.168.4.10,48704
-71.95989936600718,192.168.4.12,48704
-54.655760080005216,192.168.4.5,48704
-66.1157472803813,192.168.4.6,48704
-59.52274124879439,192.168.4.3,48720
-71.96192025235604,192.168.4.12,48720
-54.6678177818726,192.168.4.5,48720
-66.07568813483772,192.168.4.6,48720
-58.133223731400975,192.168.4.10,48720
-70.18101905555277,192.168.4.11,48736
-54.43594963390363,192.168.4.5,48736
-71.8660156830359,192.168.4.12,48736
