sender, sequence, rssi
192.168.4.11, 4176, -69
192.168.4.11, 4192, -64
192.168.4.11, 4208, -61
192.168.4.11, 4224, -59
192.168.4.11, 4304, -57
192.168.4.11, 4320, -58
192.168.4.11, 4336, -57
192.168.4.11, 4352, -59
192.168.4.11, 4368, -56
192.168.4.11, 4384, -55
192.168.4.11, 4400, -55
192.168.4.11, 4416, -56
192.168.4.11, 4432, -56
192.168.4.11, 4448, -56
192.168.4.11, 4480, -58
192.168.4.11, 4496, -57
192.168.4.11, 4512, -57
192.168.4.11, 4528, -57
192.168.4.11, 4576, -58
192.168.4.11, 4608, -56
192.168.4.11, 4624, -56
192.168.4.11, 4640, -56
192.168.4.11, 4672, -58
192.168.4.11, 4688, -59
192.168.4.11, 4704, -60
192.168.4.11, 4752, -59
192.168.4.11, 4816, -60
192.168.4.11, 4848, -60
192.168.4.11, 4864, -59
192.168.4.11, 4880, -59
192.168.4.11, 4896, -58
192.168.4.11, 4944, -58
192.168.4.11, 4992, -64
192.168.4.11, 5008, -64
192.168.4.11, 5040, -61
192.168.4.11, 5056, -61
192.168.4.11, 5088, -63
192.168.4.11, 5104, -62
192.168.4.11, 5120, -61
192.168.4.11, 5136, -65
192.168.4.11, 5152, -62
192.168.4.11, 5168, -60
192.168.4.11, 5184, -60
192.168.4.11, 5200, -60
192.168.4.11, 5216, -60
192.168.4.11, 5248, -60
192.168.4.11, 5296, -60
192.168.4.11, 5312, -60
192.168.4.11, 5328, -64
192.168.4.11, 5376, -63
192.168.4.11, 5392, -61
192.168.4.11, 5424, -66
192.168.4.11, 5456, -64
192.168.4.11, 5488, -61
192.168.4.11, 5504, -61
192.168.4.11, 5520, -63
192.168.4.11, 5584, -62
192.168.4.11, 5664, -64
192.168.4.11, 5696, -65
192.168.4.11, 5760, -67
192.168.4.11, 5792, -67
192.168.4.11, 5872, -63
192.168.4.11, 5968, -77
192.168.4.11, 5984, -62
192.168.4.11, 6000, -65
192.168.4.11, 6016, -65
192.168.4.11, 6064, -65
192.168.4.11, 6096, -64
192.168.4.11, 6112, -65
192.168.4.11, 6128, -68
192.168.4.11, 6144, -69
192.168.4.11, 6176, -68
192.168.4.11, 6288, -70
192.168.4.11, 6352, -67
192.168.4.11, 6400, -65
192.168.4.11, 6416, -65
192.168.4.11, 6432, -65
192.168.4.11, 6496, -64
192.168.4.11, 6512, -65
192.168.4.11, 6528, -65
192.168.4.11, 6560, -66
192.168.4.11, 6576, -65
192.168.4.11, 6592, -66
192.168.4.11, 6608, -63
192.168.4.11, 6624, -62
192.168.4.11, 6640, -64
192.168.4.11, 6656, -63
192.168.4.11, 6672, -65
192.168.4.11, 6704, -65
192.168.4.11, 6720, -66
192.168.4.11, 6752, -66
192.168.4.11, 6768, -67
192.168.4.11, 6800, -64
192.168.4.11, 6816, -64
192.168.4.11, 6864, -66
192.168.4.11, 6880, -64
192.168.4.11, 6944, -63
192.168.4.11, 6960, -64
192.168.4.11, 6976, -64
192.168.4.11, 7008, -65
192.168.4.11, 7040, -63
192.168.4.11, 7056, -62
192.168.4.11, 7072, -63
192.168.4.11, 7088, -66
192.168.4.11, 7104, -63
192.168.4.11, 7136, -62
192.168.4.11, 7152, -62
192.168.4.11, 7168, -63
192.168.4.11, 7184, -64
192.168.4.11, 7200, -64
192.168.4.11, 7232, -63
192.168.4.11, 7264, -70
192.168.4.11, 7280, -72
192.168.4.11, 7312, -70
192.168.4.11, 7328, -75
192.168.4.11, 7344, -70
192.168.4.11, 7360, -60
192.168.4.11, 7376, -60
192.168.4.11, 7408, -69
192.168.4.11, 7440, -67
192.168.4.11, 7456, -72
192.168.4.11, 7472, -72
192.168.4.11, 7488, -72
192.168.4.11, 7504, -69
192.168.4.11, 7552, -73
192.168.4.11, 7584, -67
192.168.4.11, 7600, -65
192.168.4.11, 7616, -67
192.168.4.11, 7632, -69
192.168.4.11, 7664, -64
192.168.4.11, 7680, -63
192.168.4.11, 7696, -62
192.168.4.11, 7712, -63
192.168.4.11, 7744, -63
192.168.4.11, 7760, -61
192.168.4.11, 7776, -62
192.168.4.11, 7808, -64
192.168.4.11, 7824, -65
192.168.4.11, 7840, -61
192.168.4.11, 7856, -61
192.168.4.11, 7872, -61
192.168.4.11, 7888, -61
192.168.4.11, 7936, -64
192.168.4.11, 7968, -63
192.168.4.11, 8000, -67
192.168.4.11, 8016, -71
192.168.4.11, 8048, -71
192.168.4.11, 8080, -71
192.168.4.11, 8096, -71
192.168.4.11, 8112, -69
192.168.4.11, 8160, -70
192.168.4.11, 8192, -69
192.168.4.11, 8240, -71
192.168.4.11, 8256, -71
192.168.4.11, 8288, -72
192.168.4.11, 8304, -72
192.168.4.11, 8320, -64
192.168.4.11, 8336, -62
192.168.4.11, 8352, -67
192.168.4.11, 8368, -71
192.168.4.11, 8384, -73
192.168.4.11, 8400, -70
192.168.4.11, 8432, -63
192.168.4.11, 8448, -69
192.168.4.11, 8512, -70
192.168.4.11, 8560, -62
192.168.4.11, 8576, -65
192.168.4.11, 8592, -65
192.168.4.11, 8624, -66
192.168.4.11, 8656, -64
192.168.4.11, 8688, -66
192.168.4.11, 8752, -72
192.168.4.11, 8768, -73
192.168.4.11, 8784, -71
192.168.4.11, 8816, -72
192.168.4.11, 8912, -79
192.168.4.11, 8928, -82
192.168.4.11, 8960, -80
192.168.4.11, 8992, -68
192.168.4.11, 9008, -69
192.168.4.11, 9024, -68
192.168.4.11, 9056, -71
192.168.4.11, 9088, -72
192.168.4.11, 9152, -68
192.168.4.11, 9184, -64
192.168.4.11, 9200, -62
192.168.4.11, 9216, -61
192.168.4.11, 9232, -63
192.168.4.11, 9248, -62
192.168.4.11, 9264, -64
192.168.4.11, 9280, -67
192.168.4.11, 9328, -70
192.168.4.11, 9344, -68
192.168.4.11, 9360, -78
192.168.4.11, 9408, -71
192.168.4.11, 9440, -73
192.168.4.11, 9472, -75
192.168.4.11, 9488, -73
192.168.4.11, 9520, -76
192.168.4.11, 9568, -80
192.168.4.11, 9616, -79
192.168.4.11, 9648, -81
192.168.4.11, 9696, -75
192.168.4.11, 9712, -75
192.168.4.11, 9728, -74
192.168.4.11, 9760, -77
192.168.4.11, 9776, -75
192.168.4.11, 9792, -74
192.168.4.11, 9808, -72
192.168.4.11, 9824, -70
192.168.4.11, 9840, -71
192.168.4.11, 9856, -72
192.168.4.11, 9904, -75
192.168.4.11, 9920, -77
192.168.4.11, 9936, -79
192.168.4.11, 9968, -80
192.168.4.11, 9984, -73
192.168.4.11, 10000, -72
192.168.4.11, 10016, -75
192.168.4.11, 10048, -78
192.168.4.11, 10080, -75
192.168.4.11, 10112, -75
192.168.4.11, 10128, -79
192.168.4.11, 10144, -76
192.168.4.11, 10160, -76
192.168.4.11, 10208, -73
192.168.4.11, 10240, -73
192.168.4.11, 10272, -80
192.168.4.11, 10304, -76
192.168.4.11, 10320, -78
192.168.4.11, 10336, -82
192.168.4.11, 10352, -79
192.168.4.11, 10384, -70
192.168.4.11, 10416, -71
192.168.4.11, 10448, -71
192.168.4.11, 10464, -72
192.168.4.11, 10480, -75
192.168.4.11, 10496, -80
192.168.4.11, 10512, -76
192.168.4.11, 10528, -73
192.168.4.11, 10608, -83
192.168.4.11, 10672, -81
192.168.4.11, 10688, -77
192.168.4.11, 10704, -71
192.168.4.11, 10720, -71
192.168.4.11, 10736, -82
192.168.4.11, 10752, -74
192.168.4.11, 10768, -72
192.168.4.11, 10784, -71
192.168.4.11, 10800, -64
192.168.4.11, 10816, -61
192.168.4.11, 10832, -59
192.168.4.11, 10928, -62
192.168.4.11, 10944, -65
192.168.4.11, 10960, -61
192.168.4.11, 10976, -64
192.168.4.11, 10992, -61
192.168.4.11, 11008, -59
192.168.4.11, 11024, -58
192.168.4.11, 11040, -58
192.168.4.11, 11088, -61
192.168.4.11, 11120, -60
192.168.4.11, 11136, -60
192.168.4.11, 11152, -57
192.168.4.11, 11168, -61
192.168.4.11, 11184, -59
192.168.4.11, 11200, -62
192.168.4.11, 11232, -60
192.168.4.11, 11296, -56
192.168.4.11, 11312, -57
192.168.4.11, 11328, -57
192.168.4.11, 11344, -57
192.168.4.11, 11360, -60
192.168.4.11, 11376, -64
192.168.4.11, 11392, -67
192.168.4.11, 11408, -76
192.168.4.11, 11424, -66
192.168.4.11, 11440, -65
192.168.4.11, 11456, -61
192.168.4.11, 11472, -62
192.168.4.11, 11488, -62
192.168.4.11, 11504, -65
192.168.4.11, 11520, -67
192.168.4.11, 11536, -65
192.168.4.11, 11568, -62
192.168.4.11, 11584, -63
192.168.4.11, 11600, -65
192.168.4.11, 11632, -62
192.168.4.11, 11648, -63
192.168.4.11, 11664, -63
192.168.4.11, 11680, -60
192.168.4.11, 11696, -64
192.168.4.11, 11728, -67
192.168.4.11, 11744, -64
192.168.4.11, 11760, -67
192.168.4.11, 11776, -69
192.168.4.11, 11792, -66
192.168.4.11, 11808, -66
192.168.4.11, 11824, -66
192.168.4.11, 11840, -61
192.168.4.11, 11856, -60
192.168.4.11, 11872, -58
192.168.4.11, 11888, -58
192.168.4.11, 11952, -62
192.168.4.11, 11968, -65
192.168.4.11, 11984, -59
192.168.4.11, 12016, -57
192.168.4.11, 12032, -64
192.168.4.11, 12080, -55
192.168.4.11, 12096, -54
192.168.4.11, 12112, -56
192.168.4.11, 12128, -58
192.168.4.11, 12144, -56
192.168.4.11, 12160, -54
192.168.4.11, 12176, -55
192.168.4.11, 12192, -55
192.168.4.11, 12208, -55
192.168.4.11, 12224, -56
192.168.4.11, 12240, -53
192.168.4.11, 12256, -53
192.168.4.11, 12272, -53
192.168.4.11, 12336, -55
192.168.4.11, 12368, -57
192.168.4.11, 12400, -59
192.168.4.11, 12416, -55
192.168.4.11, 12432, -56
192.168.4.11, 12448, -56
192.168.4.11, 12464, -56
192.168.4.11, 12480, -55
192.168.4.11, 12496, -57
192.168.4.11, 12512, -62
192.168.4.11, 12528, -56
192.168.4.11, 12544, -58
192.168.4.11, 12560, -57
192.168.4.11, 12576, -55
192.168.4.11, 12592, -60
192.168.4.11, 12624, -56
192.168.4.11, 12640, -57
192.168.4.11, 12656, -58
192.168.4.11, 12672, -54
192.168.4.11, 12688, -55
192.168.4.11, 12704, -56
192.168.4.11, 12736, -55
192.168.4.11, 12752, -53
192.168.4.11, 12784, -57
192.168.4.11, 12800, -54
192.168.4.11, 12816, -54
192.168.4.11, 12832, -57
192.168.4.11, 12848, -56
192.168.4.11, 12880, -58
192.168.4.11, 12896, -56
192.168.4.11, 12912, -52
192.168.4.11, 12928, -52
192.168.4.11, 12960, -55
192.168.4.11, 12976, -57
192.168.4.11, 12992, -57
192.168.4.11, 13008, -57
192.168.4.11, 13024, -57
192.168.4.11, 13040, -58
192.168.4.11, 13104, -54
192.168.4.11, 13120, -55
192.168.4.11, 13136, -55
192.168.4.11, 13152, -56
192.168.4.11, 13168, -58
192.168.4.11, 13184, -60
192.168.4.11, 13200, -60
192.168.4.11, 13216, -59
192.168.4.11, 13232, -61
192.168.4.11, 13264, -62
192.168.4.11, 13280, -64
192.168.4.11, 13296, -62
192.168.4.11, 13312, -62
192.168.4.11, 13328, -60
192.168.4.11, 13360, -59
192.168.4.11, 13376, -61
192.168.4.11, 13408, -59
192.168.4.11, 13424, -61
192.168.4.11, 13472, -69
192.168.4.11, 13504, -63
192.168.4.11, 13552, -67
192.168.4.11, 13568, -68
192.168.4.11, 13584, -69
192.168.4.11, 13600, -68
192.168.4.11, 13648, -64
192.168.4.11, 13712, -65
192.168.4.11, 13728, -68
192.168.4.11, 13744, -69
192.168.4.11, 13792, -70
192.168.4.11, 13824, -72
192.168.4.11, 13840, -72
192.168.4.11, 13888, -73
192.168.4.11, 13936, -73
192.168.4.11, 13968, -73
192.168.4.11, 13984, -72
192.168.4.11, 14000, -71
192.168.4.11, 14016, -78
192.168.4.11, 14032, -75
192.168.4.11, 14048, -72
192.168.4.11, 14080, -72
192.168.4.11, 14096, -73
192.168.4.11, 14112, -75
192.168.4.11, 14144, -72
192.168.4.11, 14160, -72
192.168.4.11, 14176, -71
192.168.4.11, 14240, -68
192.168.4.11, 14272, -71
192.168.4.11, 14288, -71
192.168.4.11, 14304, -66
192.168.4.11, 14384, -65
192.168.4.11, 14448, -66
192.168.4.11, 14544, -65
192.168.4.11, 14624, -63
192.168.4.11, 14656, -63
192.168.4.11, 14672, -62
192.168.4.11, 14720, -65
192.168.4.11, 14752, -70
192.168.4.11, 14784, -75
192.168.4.11, 14800, -69
192.168.4.11, 14848, -68
192.168.4.11, 14896, -74
