rssi,node,sequence
-62.0,192.168.4.9,11008
-68.0,192.168.4.6,11008
-55.0,192.168.4.11,11008
-68.0,192.168.4.5,11008
-68.0,192.168.4.10,11008
-69.0,192.168.4.7,11008
-55.0,192.168.4.11,11024
-69.50024987506247,192.168.4.7,11024
-62.0,192.168.4.9,11024
-69.00049975012493,192.168.4.6,11024
-66.99950024987507,192.168.4.10,11024
-68.0,192.168.4.5,11024
-55.33388837087604,192.168.4.11,11040
-69.33422126024591,192.168.4.6,11040
-65.66411362712596,192.168.4.10,11040
-66.66444651649583,192.168.4.5,11040
-60.66444651649584,192.168.4.9,11040
-65.49750499114029,192.168.4.10,11056
-68.2468791809172,192.168.4.6,11056
-60.4977543673257,192.168.4.9,11056
-65.99600698802047,192.168.4.5,11056
-70.000999000999,192.168.4.7,11056
-55.25012456334227,192.168.4.11,11056
-55.60219489304603,192.168.4.11,11072
-65.59860566364395,192.168.4.10,11072
-65.7956130049325,192.168.4.5,11072
-73.26210634341642,192.168.4.7,11072
-60.80000223258054,192.168.4.9,11072
-68.1972077398525,192.168.4.6,11072
-67.82765975115855,192.168.4.6,11088
-72.60577913760743,192.168.4.7,11088
-61.00182964896169,192.168.4.9,11088
-65.16154662776381,192.168.4.10,11088
-55.66910166499145,192.168.4.11,11088
-65.32541933848893,192.168.4.5,11088
-64.84420823969846,192.168.4.5,11104
-61.00156488614604,192.168.4.9,11104
-72.3357034229509,192.168.4.7,11104
-55.71698493478976,192.168.4.11,11104
-65.13816971726342,192.168.4.10,11104
-67.99730546554163,192.168.4.6,11104
-64.73684486425968,192.168.4.5,11136
-72.14241793129064,192.168.4.7,11136
-68.76070662255663,192.168.4.6,11136
-61.00136586953981,192.168.4.9,11136
-65.12059778828755,192.168.4.10,11136
-55.752977775503865,192.168.4.11,11136
-64.99328241198887,192.168.4.10,11168
-71.86995290443174,192.168.4.7,11168
-64.76674291999555,192.168.4.5,11168
-68.67427985024281,192.168.4.6,11168
-55.78104290984071,192.168.4.11,11168
-61.00121068790707,192.168.4.9,11168
-71.99834185246577,192.168.4.7,11184
-60.7954296659706,192.168.4.9,11184
-55.90638615192184,192.168.4.11,11184
-65.09680143440575,192.168.4.10,11184
-64.68790007621469,192.168.4.5,11184
-68.70777308795505,192.168.4.6,11184
-60.72060998214324,192.168.4.9,11200
-72.10134062139907,192.168.4.7,11200
-65.0876961004886,192.168.4.10,11200
-68.64119855480925,192.168.4.6,11200
-64.52913286468448,192.168.4.5,11200
-55.91519165517966,192.168.4.11,11200
-60.571244390218574,192.168.4.9,11232
-68.7591556655289,192.168.4.6,11232
-65.08008323057915,192.168.4.10,11232
-72.09180832259715,192.168.4.7,11232
-64.39638933893755,192.168.4.5,11232
-55.8357441657898,192.168.4.11,11232
-55.929724691869644,192.168.4.11,11248
-64.52583526407318,192.168.4.5,11248
-65.0736187887281,192.168.4.10,11248
-68.77859699156038,192.168.4.6,11248
-60.52513266225002,192.168.4.9,11248
-55.93503382764455,192.168.4.11,11264
-64.71275264461539,192.168.4.5,11264
-65.14360473060177,192.168.4.10,11264
-68.7197758031216,192.168.4.6,11264
-71.99702879785566,192.168.4.7,11264
-60.40991244345551,192.168.4.9,11264
-64.80428206620554,192.168.4.5,11296
-68.73970107898141,192.168.4.6,11296
-55.79744370072698,192.168.4.11,11296
-65.275603281261,192.168.4.10,11296
-60.380765715210046,192.168.4.9,11296
-60.35515718929284,192.168.4.9,11312
-65.12255681915161,192.168.4.10,11312
-68.75720757024061,192.168.4.6,11312
-55.81106669258896,192.168.4.11,11312
-64.8174451415031,192.168.4.5,11312
-64.9568977696626,192.168.4.5,11328
-68.77272060181247,192.168.4.6,11328
-60.33246469967966,192.168.4.9,11328
-64.98693771858412,192.168.4.10,11328
-55.82313843784785,192.168.4.11,11328
-71.91654709599432,192.168.4.7,11328
-64.80491496533314,192.168.4.10,11344
-60.31220443793469,192.168.4.9,11344
-68.7256313268803,192.168.4.6,11344
-64.95952440181112,192.168.4.5,11344
-55.77297672077168,192.168.4.11,11344
-60.23566769056619,192.168.4.9,11360
-71.99839943824821,192.168.4.7,11360
-68.68330753956289,192.168.4.6,11360
-64.96188521583035,192.168.4.5,11360
-64.75796681337307,192.168.4.10,11360
-55.78621827282466,192.168.4.11,11360
-68.58903509759054,192.168.4.6,11376
-55.85419525549293,192.168.4.11,11376
-60.27847357813882,192.168.4.9,11376
-65.07602838527966,192.168.4.5,11376
-71.92740848012619,192.168.4.7,11376
-64.6035088428213,192.168.4.10,11376
-60.20952544034788,192.168.4.9,11408
-71.86503531166473,192.168.4.7,11408
-64.51703153853099,192.168.4.10,11408
-55.86205851194715,192.168.4.11,11408
-65.125858216178,192.168.4.5,11408
-68.55726840818309,192.168.4.6,11408
-65.119304798225,192.168.4.5,11424
-71.80976455996161,192.168.4.7,11424
-68.63239122020359,192.168.4.6,11424
-64.5942494781638,192.168.4.10,11424
-55.86924110400765,192.168.4.11,11424
-60.25068532905383,192.168.4.9,11424
-68.60052162970582,192.168.4.6,11440
-55.97662149022311,192.168.4.11,11440
-64.71548816953273,192.168.4.10,11440
-60.33884269182813,192.168.4.9,11440
-65.11329238859253,192.168.4.5,11440
-65.15663732653422,192.168.4.5,11488
-64.7782789754993,192.168.4.10,11488
-68.57116632426198,192.168.4.6,11488
-56.12441333524011,192.168.4.11,11488
-60.46892807385469,192.168.4.9,11488
-71.82135742925588,192.168.4.7,11488
-71.8901039340435,192.168.4.7,11504
-56.21352794066628,192.168.4.11,11504
-60.54167377691448,192.168.4.9,11504
-65.29173379927539,192.168.4.5,11504
-68.59154146582428,192.168.4.6,11504
-64.93135235956943,192.168.4.10,11504
-60.609148069977344,192.168.4.9,11520
-65.46330901778406,192.168.4.5,11520
-56.24991667548925,192.168.4.11,11520
-65.11960181906218,192.168.4.10,11520
-68.61044015282772,192.168.4.6,11520
-71.95226287411478,192.168.4.7,11520
-65.62293708229117,192.168.4.5,11536
-56.283771583908674,192.168.4.11,11536
-65.2947430610465,192.168.4.10,11536
-71.90090729431998,192.168.4.7,11536
-68.62802288333103,192.168.4.6,11536
-60.71705884534102,192.168.4.9,11536
-65.72776627489945,192.168.4.5,11552
-56.27125717135161,192.168.4.11,11552
-60.77363693774442,192.168.4.9,11552
-65.4581460111422,192.168.4.10,11552
-68.60032688449623,192.168.4.6,11552
-56.25955132806438,192.168.4.11,11568
-60.95602158562369,192.168.4.9,11568
-68.74703651993035,192.168.4.6,11568
-72.27055595930366,192.168.4.7,11568
-65.8258223438522,192.168.4.5,11568
-65.61099132591572,192.168.4.10,11568
-61.08474200857859,192.168.4.9,11584
-65.9600484896434,192.168.4.5,11584
-68.9691680822725,192.168.4.6,11584
-65.75430201033637,192.168.4.10,11584
-56.24857570597417,192.168.4.11,11584
-72.66008416349509,192.168.4.7,11584
-65.68151445554233,192.168.4.10,11600
-66.04468789691902,192.168.4.5,11600
-61.12271687881687,192.168.4.9,11600
-68.97044732603314,192.168.4.6,11600
-72.62781726205553,192.168.4.7,11600
-56.23826207826784,192.168.4.11,11600
-66.24666148900394,192.168.4.5,11616
-56.22855075296596,192.168.4.11,11616
-65.6944956095248,192.168.4.10,11616
-69.09392887941323,192.168.4.6,11616
-61.15847406616954,192.168.4.9,11616
-72.9780912153552,192.168.4.7,11616
-65.70674178103377,192.168.4.10,11632
-66.39711440742317,192.168.4.5,11632
-69.41084446532093,192.168.4.6,11632
-61.27237689381385,192.168.4.9,11632
-56.2193892750737,192.168.4.11,11632
-56.21073135790857,192.168.4.11,11648
-66.46037023741327,192.168.4.5,11648
-65.79724228381085,192.168.4.10,11648
-69.59194961945306,192.168.4.6,11648
-61.41948277246426,192.168.4.9,11648
-61.48094921958851,192.168.4.9,11664
-69.5300385656513,192.168.4.6,11664
-56.20253599778048,192.168.4.11,11664
-66.55913665121605,192.168.4.5,11664
-65.76623746473685,192.168.4.10,11664
-69.50970633724268,192.168.4.6,11680
-56.348206351732514,192.168.4.11,11680
-61.53921986144959,192.168.4.9,11680
-66.65276793455622,192.168.4.5,11680
-65.77520457311039,192.168.4.10,11680
-72.88656827332954,192.168.4.7,11696
-66.6659173938097,192.168.4.5,11696
-69.4904040798194,192.168.4.6,11696
-65.7458480649947,192.168.4.10,11696
-61.55666931459539,192.168.4.9,11696
-56.448628104205056,192.168.4.11,11696
-65.71794210819107,192.168.4.10,11712
-61.53584149378832,192.168.4.9,11712
-69.39722543937401,192.168.4.6,11712
-66.75324725553553,192.168.4.5,11712
-56.4318426527379,192.168.4.11,11712
-72.80141827194507,192.168.4.7,11712
-65.69138259799452,192.168.4.10,11728
-72.67787488004818,192.168.4.7,11728
-69.3455365596154,192.168.4.6,11728
-61.479024659465374,192.168.4.9,11728
-56.41586708979509,192.168.4.11,11728
-66.68838772462182,192.168.4.5,11728
-65.66607575308484,192.168.4.10,11744
-61.46149080368109,192.168.4.9,11744
-69.25968231608029,192.168.4.6,11744
-66.62658725926683,192.168.4.5,11744
-56.73007418854582,192.168.4.11,11744
-72.56231375577467,192.168.4.7,11744
-61.40852567126642,192.168.4.9,11760
-56.70361594743238,192.168.4.11,11760
-72.4539614399932,192.168.4.7,11760
-66.56763895158396,192.168.4.5,11760
