sender, sequence, rssi
192.168.4.5, 56176, -72
192.168.4.5, 56256, -74
192.168.4.5, 56272, -74
192.168.4.5, 56304, -71
192.168.4.5, 56320, -69
192.168.4.5, 56352, -69
192.168.4.5, 56400, -71
192.168.4.5, 56480, -72
192.168.4.5, 56496, -70
192.168.4.5, 56576, -70
192.168.4.5, 56592, -70
192.168.4.5, 56608, -71
192.168.4.5, 56736, -76
192.168.4.5, 56784, -75
192.168.4.5, 56800, -74
192.168.4.5, 56832, -74
192.168.4.5, 56896, -73
192.168.4.5, 56912, -73
192.168.4.5, 56960, -73
192.168.4.5, 57008, -72
192.168.4.5, 57040, -71
192.168.4.5, 57120, -76
192.168.4.5, 57136, -76
192.168.4.5, 57184, -74
192.168.4.5, 57200, -73
192.168.4.5, 57216, -72
192.168.4.5, 57248, -73
192.168.4.5, 57264, -73
192.168.4.5, 57472, -73
192.168.4.5, 57536, -74
192.168.4.5, 57568, -75
192.168.4.5, 57632, -73
192.168.4.5, 57744, -71
192.168.4.5, 57760, -74
192.168.4.5, 57824, -73
192.168.4.5, 57872, -74
192.168.4.5, 57888, -75
192.168.4.5, 57904, -73
192.168.4.5, 57968, -75
192.168.4.5, 58016, -74
192.168.4.5, 58048, -74
192.168.4.5, 58080, -78
192.168.4.5, 58112, -77
192.168.4.5, 58128, -78
192.168.4.5, 58272, -76
192.168.4.5, 58304, -79
192.168.4.5, 58320, -75
192.168.4.5, 58400, -74
192.168.4.5, 58448, -71
192.168.4.5, 58640, -75
192.168.4.5, 58672, -73
192.168.4.5, 58688, -76
192.168.4.5, 58704, -77
192.168.4.5, 58736, -76
192.168.4.5, 58800, -72
192.168.4.5, 58832, -70
192.168.4.5, 58992, -68
192.168.4.5, 59008, -63
192.168.4.5, 59312, -68
192.168.4.5, 59328, -66
192.168.4.5, 59344, -66
192.168.4.5, 4080, -56
192.168.4.5, 4144, -57
192.168.4.5, 4224, -57
192.168.4.5, 4240, -58
192.168.4.5, 4256, -56
192.168.4.5, 4288, -58
192.168.4.5, 4336, -59
192.168.4.5, 4352, -56
192.168.4.5, 4368, -55
192.168.4.5, 4384, -58
192.168.4.5, 4416, -57
192.168.4.5, 4432, -57
192.168.4.5, 4464, -56
192.168.4.5, 4480, -57
192.168.4.5, 4512, -57
192.168.4.5, 4528, -58
192.168.4.5, 4560, -57
192.168.4.5, 4592, -57
192.168.4.5, 4624, -56
192.168.4.5, 4640, -57
192.168.4.5, 4656, -57
192.168.4.5, 4688, -59
192.168.4.5, 4720, -58
192.168.4.5, 4736, -57
192.168.4.5, 4752, -58
192.168.4.5, 4768, -59
192.168.4.5, 4784, -59
192.168.4.5, 4800, -57
192.168.4.5, 4816, -56
