distance,rssi
7,-43.8377
8,-44.9713
8,-46.0141
8,-46.9796
8,-47.8785
9,-48.7193
9,-49.5092
9,-50.2538
9,-50.9583
10,-51.6265
10,-52.2622
10,-52.8683
10,-53.4474
11,-54.0019
11,-54.5338
11,-55.0448
11,-55.5365
12,-56.0103
12,-56.4675
12,-56.9092
12,-57.3364
13,-57.75
13,-58.1509
13,-58.5399
13,-58.9175
14,-59.2846
14,-59.6415
14,-59.989
14,-60.3274
15,-60.6573
15,-60.979
15,-61.2929
15,-61.5995
16,-61.899
16,-62.1918
16,-62.4782
16,-62.7584
17,-63.0327
17,-63.3013
17,-63.5645
17,-63.8225
18,-64.0755
18,-64.3237
18,-64.5672
18,-64.8063
19,-65.0411
19,-65.2717
19,-65.4983
19,-65.721
20,-65.9399
20,-66.1553
20,-66.3672
20,-66.5756
21,-66.7808
21,-66.9828
21,-67.1817
21,-67.3776
22,-67.5707
22,-67.7609
22,-67.9483
22,-68.1331
23,-68.3154
23,-68.4951
23,-68.6723
23,-68.8472
24,-69.0198
24,-69.1901
24,-69.3582
24,-69.5242
25,-69.6881
25,-69.8499
25,-70.0098
25,-70.1677
26,-70.3238
26,-70.4779
26,-70.6303
26,-70.781
27,-70.9299
27,-71.0771
27,-71.2226
27,-71.3666
28,-71.509
28,-71.6499
28,-71.7892
28,-71.9271
29,-72.0635
29,-72.1985
29,-72.3321
29,-72.4644
30,-72.5954
30,-72.725
30,-72.8534
30,-72.9805
31,-73.1064
31,-73.231
31,-73.3545
31,-73.4769
32,-73.5981
32,-73.7182
32,-73.8371
32,-73.955
33,-74.0719
33,-74.1877
33,-74.3025
33,-74.4163
34,-74.5291
34,-74.6409
34,-74.7518
34,-74.8618
35,-74.9708
35,-75.0789
35,-75.1861
35,-75.2925
36,-75.398
36,-75.5027
36,-75.6065
36,-75.7095
37,-75.8117
37,-75.913
37,-76.0137
37,-76.1135
38,-76.2126
38,-76.3109
38,-76.4085
38,-76.5054
39,-76.6015
39,-76.697
39,-76.7917
39,-76.8858
40,-76.9792
40,-77.0719
40,-77.164
40,-77.2554
41,-77.3462
41,-77.4364
41,-77.5259
41,-77.6149
42,-77.7032
42,-77.7909
42,-77.8781
42,-77.9647
43,-78.0507
43,-78.1361
43,-78.221
43,-78.3053
44,-78.3891
44,-78.4723
44,-78.5551
44,-78.6373
45,-78.7189
45,-78.8001
45,-78.8808
45,-78.961
46,-79.0407
46,-79.1199
46,-79.1986
46,-79.2768
47,-79.3546
47,-79.4319
47,-79.5088
47,-79.5852
48,-79.6612
48,-79.7367
48,-79.8118
48,-79.8865
49,-79.9607
49,-80.0345
49,-80.1079
49,-80.1809
50,-80.2535
50,-80.3257
50,-80.3975
50,-80.4689
51,-80.5399
51,-80.6105
51,-80.6807
51,-80.7506
52,-80.8201
52,-80.8892
52,-80.9579
52,-81.0263
53,-81.0944
53,-81.1621
53,-81.2294
53,-81.2964
54,-81.363
54,-81.4293
54,-81.4953
54,-81.5609
55,-81.6262
55,-81.6912
55,-81.7559
55,-81.8202
56,-81.8842
56,-81.9479
