distance,rssi
1,-41.0
1,-40.499750124937535
1,-40.66677774075308
1,-42.50649026597305
1,-43.81296732434017
1,-44.685373450448466
1,-44.441488295702506
1,-44.89404704856219
1,-44.565243357474394
1,-44.30146383500497
1,-44.084983605712715
1,-43.99079653242027
1,-43.91081790863428
1,-44.295293756910446
2,-44.345401729205854
2,-44.79295896841844
2,-45.18955297913855
2,-45.604578813086874
2,-46.0359304125048
2,-46.53795675656947
2,-46.99431513074119
2,-47.567379448650115
2,-48.24432135202674
2,-48.72120829890237
2,-49.0670449710274
2,-49.34155278691698
2,-49.68721575603181
2,-50.05381205187656
2,-50.35356813633032
2,-50.76148587439076
2,-51.10330917209327
3,-51.34365242457701
3,-51.65055781927553
3,-51.980057876885404
3,-52.36973426381021
3,-52.700790427543716
3,-53.166553734617054
3,-53.42222759803733
3,-53.62857139831564
3,-53.86178634463278
3,-54.22920010279825
3,-54.580005255579294
3,-55.02203321936087
3,-55.51543387478122
3,-55.98775817160125
4,-56.5097971389942
4,-57.01026882922076
4,-57.69629593886698
4,-58.21836804701138
4,-58.61803549963875
4,-58.86713599579062
4,-59.24095339198124
4,-59.500277508697685
4,-59.71656686523243
4,-59.95794530590403
4,-60.487551926027294
4,-61.03072509528224
4,-61.52147147868727
4,-62.02730275586579
5,-62.384817285164836
5,-62.56726058378788
5,-63.00255880583768
5,-63.29340915006942
5,-63.57420627175647
5,-63.684451889543794
5,-63.726701270376054
5,-63.703407630856184
5,-63.712897499905715
5,-63.81789529540399
5,-63.98316176239663
5,-64.33398579819573
5,-64.67316399835437
5,-64.9376096084059
5,-65.16162277293701
5,-65.44164504730372
6,-65.74414977836338
6,-65.87870271711044
6,-65.91411978076343
6,-65.82215753989811
6,-65.82776507297223
6,-65.83319150371739
6,-65.90140829089553
6,-66.03035279357158
6,-66.28091943619084
6,-66.5234592933466
6,-66.75824300844687
6,-66.9855308877169
6,-67.20557339964408
7,-67.32454708523876
7,-67.37705716107386
7,-67.4279001659735
7,-67.41450033906321
7,-67.4015249357623
7,-67.35766723122497
7,-67.44032637831815
7,-67.58292134236486
7,-67.93986576024504
7,-68.22304607118218
7,-68.43481047325345
7,-68.6711492470299
7,-68.8063536541154
7,-68.87485417252347
7,-69.09730580056133
7,-69.15669816919801
8,-69.15180770247714
8,-69.11586624284354
8,-69.08105163178001
8,-69.10971836863767
8,-69.29344189190412
8,-69.40903838419894
8,-69.58338312589687
8,-69.81463211537898
8,-69.97629420603626
8,-70.22642145876739
8,-70.46872904890849
8,-70.76579939643725
8,-70.89776011750168
9,-71.08792461817403
9,-71.08518481344629
9,-71.02021306946642
9,-71.01958329524854
9,-71.05012811914037
9,-71.17317930991487
9,-71.41699719647299
9,-71.62205814949193
9,-71.88301958246889
9,-72.16698881418274
9,-72.34866395220804
9,-72.43123940585133
9,-72.76039009229468
10,-73.17270720153961
10,-73.32303737619436
10,-73.43754091926691
10,-73.67303539417127
10,-73.80777328319381
10,-73.96945073179393
10,-74.09495256988792
10,-74.27881792505124
10,-74.51922737962059
10,-74.75214694747562
10,-75.00894558313247
11,-75.19547520552096
11,-75.28279184732952
11,-75.27398747832211
11,-75.32772396838128
11,-75.41091969904389
11,-75.49152432357626
11,-75.56961862998115
11,-75.5518853526635
11,-75.53470431788362
11,-75.51805831227531
11,-75.78210928739595
11,-75.78889237765938
11,-75.76433379819294
11,-75.70940968547532
11,-75.5939357130012
