distance,rssi
1,-47.0
1,-47.500249875062465
1,-48.000999000999
1,-48.00074837793242
1,-47.799400439680234
1,-48.00132907150491
1,-48.0011367456975
1,-48.000992178457615
1,-48.00087945328985
1,-47.897960756134275
1,-48.09568271490335
2,-48.00056685542815
2,-48.08124263986363
2,-48.37729562699944
2,-48.777096703987766
2,-49.464641494780146
2,-49.94610730700751
2,-50.193149856563004
2,-50.4151914220957
2,-50.895977522961374
2,-51.11730764044093
2,-51.475688372695465
2,-51.804483481164894
3,-52.10733898344188
3,-52.38731653460879
3,-52.832079174817
3,-53.155602302400894
3,-53.28104109995008
3,-53.4415292074486
3,-53.63429282419225
3,-53.856920799744216
3,-54.06654759193094
4,-54.34447566755181
4,-54.96230091357404
4,-55.50822820472248
4,-56.140850984901604
4,-56.51421073807508
4,-56.79429205971244
4,-57.17184144845919
4,-57.494980676941246
4,-57.73072571819501
5,-58.06352438512189
5,-58.31039374819005
5,-58.652421895089795
5,-59.01486681966557
5,-59.257769362420106
5,-59.3870208649955
5,-59.442376657649895
5,-59.63196998244387
5,-59.81406927830582
5,-59.95532130133849
5,-60.023977171642045
5,-60.12344229026813
5,-60.219164656400764
5,-60.41074587849731
6,-60.562253862388566
6,-60.87270634388768
6,-61.106364527564985
6,-61.266286310676314
6,-61.35535669520728
6,-61.50626612923425
6,-61.65188902146042
6,-61.79244560277896
6,-61.928143855337915
6,-61.99481834853685
6,-62.05921560056981
6,-62.08937144804054
6,-62.150504560846954
6,-62.27346651134292
6,-62.36042047744241
7,-62.50816486448068
7,-62.651004778983804
7,-62.78912118887894
7,-62.827529260268726
7,-62.86467611593389
7,-62.995551674080126
7,-63.18538828151052
7,-63.305875816891884
7,-63.454010489196115
7,-63.628880537623594
7,-63.766596954675144
7,-63.89987553239796
7,-64.06032894169951
7,-64.18419266170287
7,-64.30408846523983
7,-64.48295558085967
8,-64.5933406114893
8,-64.66883704161452
8,-64.80464001643605
8,-64.93612605758445
8,-65.00078240311284
8,-65.1573344585035
8,-65.27762419159306
8,-65.45669361879536
8,-65.63010288161087
8,-65.76676295296366
8,-65.86784712258627
9,-66.09076713856297
9,-66.24416950376278
9,-66.36150276697511
9,-66.5376117896115
9,-66.67695781789138
9,-66.78070532865782
9,-66.88119522131994
9,-66.97853146370925
9,-67.13522333884634
9,-67.25580293086142
9,-67.403798894166
9,-67.51596784955528
9,-67.84293354288958
10,-68.12848127079096
10,-68.3427341827737
10,-68.51910844199053
10,-68.81466132238536
10,-68.9451211001464
10,-69.07150343573917
10,-69.2251021952869
10,-69.40506571337421
10,-69.5170868760356
10,-69.56329258941568
10,-69.73268290210531
11,-69.8344759711853
11,-69.90193899743882
11,-69.93614534041733
11,-70.00043454338712
11,-69.96927237531524
11,-70.00137674740813
11,-70.00133386719284
11,-70.00129232410416
11,-70.09468328335349
11,-70.21630536365032
11,-70.30299438756894
11,-70.57382606540483
11,-70.74279676234688
11,-70.84422321907536
11,-70.94248894707985
11,-71.0688303118276
12,-71.25350903526828
12,-71.33902474884704
12,-71.39074048161274
12,-71.44084511443148
12,-71.48938891854574
12,-71.59868899352882
12,-71.76685202819128
12,-71.99204389626983
12,-72.08569032459157
12,-72.17642016293246
12,-72.2331921714826
13,-72.28819615404394
13,-72.31035569601185
13,-72.45635011343892
13,-72.59779828973203
13,-72.67258050893253
13,-72.71390368301796
13,-72.72280992648398
13,-72.7625688703318
14,-72.83221968060916
14,-72.89970186469753
14,-72.9028240900489
14,-72.99923694356909
14,-73.18603543415348
14,-73.27363127010474
14,-73.42075763886385
14,-73.40765999667846
14,-73.4572272923692
15,-73.56750840029679
15,-73.67435625859753
15,-73.74674951709511
15,-73.8480172590486
15,-74.00838861042078
15,-74.19489549539907
15,-74.3133404954342
15,-74.3035868795437
15,-74.32526467475458
15,-74.3462676448
16,-74.39774445695305
16,-74.3853636268485
16,-74.49787838695012
16,-74.60689066336153
16,-74.61912715418222
16,-74.69323754719898
16,-74.85842307087341
17,-74.95621195567453
17,-75.14433868736172
17,-75.29548208965166
17,-75.4107934399285
17,-75.49138816839482
17,-75.63172846460057
17,-75.76770024932479
18,-75.8371852928308
18,-75.90450741694315
18,-76.00086101944291
18,-76.15646944610413
18,-76.33836117443057
19,-76.4834640431967
19,-76.59292322579513
19,-76.66784824395381
19,-76.802694957401
20,-76.83996340638106
20,-76.90719871936729
20,-77.00346809718133
21,-77.22124850371128
21,-77.30774241606596
21,-77.26703646569928
22,-77.44548571818704
23,-77.55612661583109
24,-77.75670415860017
24,-77.88878459899463
