distance,rssi
1.1,-40
1.1,-46
1.1,-46
1.1,-39
1.1,-40
1.1,-46
1.1,-47
1.1,-40
1.1,-40
1.1,-40
1.1,-46
1.1,-46
1.1,-40
1.1,-46
1.1,-41
1.1,-46
1.1,-46
1.1,-47
1.1,-46
1.1,-47
1.1,-46
1.1,-40
1.1,-40
1.1,-46
1.1,-46
1.1,-40
1.1,-40
1.1,-46
1.1,-40
1.1,-45
1.1,-45
1.1,-45
1.1,-40
1.1,-41
1.1,-46
1.1,-40
1.1,-40
1.1,-46
1.1,-46
1.1,-47
1.1,-40
1.1,-46
1.1,-40
1.1,-40
1.1,-41
1.1,-47
1.1,-41
1.1,-46
1.1,-46
1.1,-47
1.1,-40
1.1,-45
1.1,-41
1.1,-40
1.1,-40
1.1,-46
1.1,-46
1.1,-40
1.1,-40
1.1,-46
1.1,-46
1.1,-40
1.1,-45
1.1,-46
1.1,-40
1.1,-40
1.1,-46
1.1,-46
1.1,-45
1.1,-45
1.1,-46
1.1,-47
1.1,-46
1.1,-46
1.1,-46
1.1,-41
1.1,-40
1.1,-39
1.1,-46
1.1,-45
1.1,-40
1.1,-40
1.1,-40
1.1,-40
1.1,-47
1.1,-46
1.1,-46
1.1,-46
1.1,-39
1.1,-47
1.1,-40
1.1,-45
1.1,-40
1.1,-46
1.1,-40
1.1,-46
1.1,-46
1.1,-45
1.1,-46
1.1,-46
1.1,-40
1.1,-45
1.1,-46
1.1,-47
1.1,-40
1.1,-45
1.1,-46
1.1,-45
1.1,-46
1.1,-40
1.1,-46
1.1,-45
1.1,-39
1.1,-41
1.1,-40
1.1,-46
1.1,-46
1.1,-40
1.1,-40
1.1,-46
1.1,-46
1.1,-45
1.1,-39
1.1,-46
1.1,-40
1.1,-40
1.1,-40
1.1,-46
1.1,-47
1.1,-46
1.1,-40
1.1,-46
1.1,-45
1.1,-40
1.1,-41
1.1,-46
1.1,-47
1.1,-46
1.1,-46
1.1,-45
1.1,-46
1.1,-45
1.1,-46
1.1,-46
1.1,-40
1.1,-46
1.1,-46
1.1,-40
1.1,-40
1.1,-45
1.1,-46
1.1,-45
1.1,-46
1.1,-46
1.1,-46
1.1,-45
1.1,-46
1.1,-40
1.1,-45
1.1,-46
1.1,-40
1.1,-46
1.1,-45
1.1,-45
1.1,-47
1.1,-46
1.1,-45
1.1,-40
1.1,-46
1.1,-46
1.1,-45
1.1,-40
1.1,-45
1.1,-39
1.1,-41
1.1,-47
1.1,-45
1.1,-45
1.1,-47
1.1,-40
1.1,-46
1.1,-46
1.1,-40
1.1,-40
1.1,-46
1.1,-40
1.1,-40
1.1,-46
1.1,-40
1.1,-41
1.1,-40
1.1,-46
1.1,-46
1.1,-47
1.1,-46
1.1,-41
1.1,-46
2,-56
2,-57
2,-56
2,-57
2,-55
2,-56
2,-56
2,-56
2,-55
2,-56
2,-57
2,-55
2,-55
2,-57
2,-56
2,-55
2,-56
2,-57
2,-56
2,-57
2,-57
2,-56
2,-57
2,-57
2,-56
2,-55
2,-57
2,-56
2,-56
2,-56
2,-57
2,-55
2,-56
2,-57
2,-57
2,-56
2,-56
2,-55
2,-55
2,-56
2,-56
2,-56
2,-57
2,-56
2,-55
2,-57
2,-57
2,-56
2,-55
2,-56
2,-55
2,-56
2,-57
2,-56
2,-56
2,-56
2,-56
2,-56
2,-57
2,-56
2,-57
2,-57
2,-57
2,-57
2,-56
2,-56
2,-57
2,-56
2,-56
2,-57
2,-56
2,-56
2,-55
2,-57
2,-56
2,-57
2,-57
2,-56
2,-55
2,-56
2,-56
2,-55
2,-56
2,-57
2,-56
2,-56
2,-55
2,-57
2,-55
2,-57
2,-57
2,-57
2,-56
2,-57
2,-56
2,-56
2,-56
2,-56
2,-55
2,-56
2,-57
2,-55
2,-55
2,-57
2,-56
2,-56
2,-57
2,-56
2,-56
2,-56
2,-55
2,-56
2,-55
2,-55
2,-56
2,-57
2,-56
2,-56
2,-57
2,-56
2,-55
2,-56
2,-55
2,-57
2,-57
2,-56
2,-57
2,-55
2,-56
2,-56
2,-55
2,-57
2,-57
2,-57
2,-57
2,-56
2,-57
2,-57
2,-56
2,-55
2,-57
2,-57
2,-56
2,-55
2,-55
2,-55
2,-57
2,-56
2,-58
2,-57
2,-57
2,-56
2,-56
2,-55
2,-56
2,-56
2,-55
2,-57
2,-57
2,-56
2,-56
2,-56
2,-57
2,-55
2,-56
2,-56
2,-55
2,-56
2,-56
2,-56
2,-57
2,-55
2,-56
2,-56
2,-57
2,-57
2,-56
2,-56
2,-55
2,-56
2,-56
2,-56
2,-55
2,-56
2,-55
2,-56
2,-55
2,-56
2,-55
2,-56
2,-56
2,-56
2,-57
2,-56
2,-56
2,-55
2,-56
3,-64
3,-64
3,-63
3,-62
3,-61
3,-63
3,-64
3,-63
3,-64
3,-62
3,-62
3,-63
3,-62
3,-62
3,-61
3,-63
3,-61
3,-62
3,-62
3,-62
3,-61
3,-63
3,-62
3,-62
3,-62
3,-64
3,-63
3,-62
3,-63
3,-62
3,-62
3,-61
3,-61
3,-61
3,-62
3,-61
3,-63
3,-64
3,-61
3,-61
3,-61
3,-62
3,-61
3,-62
3,-61
3,-61
3,-62
3,-60
3,-61
3,-63
3,-62
3,-62
3,-62
3,-63
3,-62
3,-64
3,-62
3,-62
3,-63
3,-62
3,-63
3,-65
3,-64
3,-63
3,-62
3,-64
3,-63
3,-64
3,-63
3,-62
3,-63
3,-63
3,-62
3,-62
3,-62
3,-62
3,-63
3,-63
3,-63
3,-61
3,-61
3,-63
3,-63
3,-62
3,-63
3,-62
3,-62
3,-63
3,-63
3,-63
3,-63
3,-63
3,-61
3,-61
3,-62
3,-60
3,-64
3,-62
3,-63
3,-62
3,-64
3,-64
3,-65
3,-62
3,-64
3,-62
3,-65
3,-64
3,-64
3,-65
3,-63
3,-62
3,-61
3,-62
3,-62
3,-62
3,-63
3,-63
3,-62
3,-60
3,-62
3,-61
3,-61
3,-61
3,-60
3,-60
3,-60
3,-61
3,-61
3,-62
3,-61
3,-61
3,-60
