distance,rssi
1.1,-40.0
1.1,-43.00149925037481
1.1,-44.002663780737755
1.1,-42.74762705997257
1.1,-42.194811731153976
1.1,-42.83480568613989
1.1,-43.437538012030316
1.1,-43.00036425937596
1.1,-42.659481465649144
1.1,-42.38601160206634
1.1,-42.72595048146329
1.1,-43.010169653386114
1.1,-42.76718411764541
1.1,-43.0114158245041
1.1,-42.868394573596866
1.1,-43.07901174715269
1.1,-43.26564599696171
1.1,-43.49321599047635
1.1,-43.639428797640974
1.1,-43.827635198564366
1.1,-43.94479093038607
1.1,-43.739386273550096
1.1,-43.55093851298092
1.1,-43.67065601264434
1.1,-43.78132995495541
1.1,-43.6063741998513
1.1,-43.44360099283224
1.1,-43.556338961150004
1.1,-43.40286856127799
1.1,-43.470406305085874
1.1,-43.53387051149116
1.1,-43.59362849102824
1.1,-43.44957756340588
1.1,-43.35290811761639
1.1,-43.455853742242866
1.1,-43.323287525013484
1.1,-43.197436723066645
1.1,-43.302294821406164
1.1,-43.40209357590279
1.1,-43.5337886173144
1.1,-43.405722411512706
1.1,-43.49886585476819
1.1,-43.374341120164516
1.1,-43.25523208618061
1.1,-43.17623800514162
1.1,-43.30920633766449
1.1,-43.229449524735195
1.1,-43.32453198074407
1.1,-43.415803167347406
1.1,-43.53738961848909
1.1,-43.418022272709386
1.1,-43.47114164923494
1.1,-43.38855075142968
1.1,-43.27579094320821
1.1,-43.1672287727033
1.1,-43.26074886248476
1.1,-43.35085589658921
1.1,-43.24100285273575
1.1,-43.13508835252462
1.1,-43.228433454129245
1.1,-43.31848461874158
1.1,-43.21094657979962
1.1,-43.268779333788814
1.1,-43.356864201331476
1.1,-43.248836807664176
1.1,-43.144499047260055
1.1,-43.236029105831925
1.1,-43.324466046802755
1.1,-43.37798654741482
1.1,-43.429715419756114
1.1,-43.51156445757856
1.1,-43.622496363936584
1.1,-43.69800168184056
1.1,-43.77101915884239
1.1,-43.841638942160714
1.1,-43.7517061840427
1.1,-43.63309226059867
