distance,rssi
0.1,-34
0.1,-34
0.1,-35
0.1,-34
0.1,-34
0.1,-34
0.1,-33
0.1,-34
0.1,-34
0.1,-34
0.1,-35
0.1,-34
0.1,-34
0.1,-35
0.1,-35
0.1,-34
0.1,-34
0.1,-34
0.1,-34
0.1,-35
0.1,-34
0.1,-34
0.1,-35
0.1,-34
0.1,-35
0.1,-34
0.1,-35
0.1,-34
0.1,-34
0.1,-35
0.1,-34
0.1,-34
0.1,-34
0.1,-33
0.1,-33
0.1,-33
0.1,-35
0.1,-33
0.1,-35
0.1,-35
0.1,-34
0.1,-34
0.1,-34
0.1,-34
0.1,-35
0.1,-34
0.1,-34
0.1,-34
0.1,-34
0.1,-34
0.1,-34
0.1,-34
0.1,-34
0.1,-34
0.1,-34
0.1,-34
0.1,-33
0.1,-34
0.1,-35
0.1,-34
0.1,-34
0.1,-34
0.1,-34
0.1,-36
0.1,-34
0.1,-34
0.1,-34
0.1,-34
0.1,-34
0.1,-34
0.1,-33
0.1,-33
0.1,-35
0.1,-34
0.1,-34
0.1,-34
0.1,-35
0.1,-34
0.1,-34
0.1,-33
0.1,-34
0.1,-34
0.1,-34
0.1,-34
0.1,-35
0.1,-36
0.1,-34
0.1,-34
0.1,-34
0.1,-34
0.1,-33
0.1,-34
0.1,-35
0.1,-34
0.1,-34
0.1,-34
0.1,-34
0.1,-34
0.1,-33
0.1,-34
0.1,-33
0.1,-34
0.1,-35
0.1,-33
0.1,-33
0.1,-34
0.1,-34
0.1,-35
0.1,-34
0.1,-34
0.1,-34
0.1,-34
0.1,-33
0.1,-34
0.1,-34
0.1,-35
0.1,-35
0.1,-34
0.1,-34
0.1,-34
0.1,-34
0.1,-35
0.1,-34
0.1,-33
0.1,-34
0.1,-35
0.1,-34
0.1,-34
0.1,-34
0.1,-35
0.1,-35
0.1,-35
0.1,-35
0.1,-35
0.1,-34
0.1,-34
0.1,-34
0.1,-36
0.1,-34
0.1,-34
0.1,-35
0.1,-35
0.1,-34
0.1,-34
0.1,-34
0.1,-35
0.1,-34
0.1,-34
0.1,-33
0.1,-34
0.1,-34
0.1,-33
0.1,-34
0.1,-34
0.1,-34
0.1,-34
0.1,-34
0.1,-33
0.1,-35
0.1,-34
0.1,-34
